ticker,sector,exchange,volume of listed
FUEKIV30,Dịch vụ tài chính,HOSE,75000000
FUEKIVFS,Dịch vụ tài chính,HOSE,28000000
FUEKIVND,Dịch vụ tài chính,HOSE,0
FUEMAV30,Dịch vụ tài chính,HOSE,27200000
FUEMAVND,Dịch vụ tài chính,HOSE,19900000
FUESSV30,Dịch vụ tài chính,HOSE,8200000
FUESSV50,Dịch vụ tài chính,HOSE,8900000
FUESSVFL,Dịch vụ tài chính,HOSE,235200000
FUEVFVND,Dịch vụ tài chính,HOSE,789800000
FUEVN100,Dịch vụ tài chính,HOSE,19200000
G20,Hàng tiêu dùng và trang trí,UPCoM,14400000
G36,Tư liệu sản xuất,UPCoM,103745067
GAB,Nguyên vật liệu,UPCoM,14903987
GAS,Dịch vụ tiện ích,HOSE,1913950000
GCB,Phân phối và bán lẻ hàng lâu bền,UPCoM,4039147
GCF,"Thực phẩm, đồ uống và thuốc lá",UPCoM,30679999
GDA,Nguyên vật liệu,UPCoM,114691510
GDT,Hàng tiêu dùng và trang trí,HOSE,17136968
GDW,Dịch vụ tiện ích,HNX,9500000
GEE,Hàng tiêu dùng và trang trí,HOSE,0
GEG,Dịch vụ tiện ích,HOSE,271175188
GER,Xe và linh kiện,UPCoM,2200000
GEX,Hàng tiêu dùng và trang trí,HOSE,488244000
GGG,Tư liệu sản xuất,UPCoM,29388589
GH3,Tư liệu sản xuất,UPCoM,11500000
GHC,Dịch vụ tiện ích,UPCoM,47662500
GIC,Vận tải,HNX,12120000
GIL,Hàng tiêu dùng và trang trí,HOSE,36000000
GKM,Nguyên vật liệu,HNX,31434237
GLC,Nguyên vật liệu,UPCoM,10500000
GLT,Dịch vụ viễn thông,HNX,10456092
GLW,Dịch vụ tiện ích,UPCoM,18000000
GMA,Phân phối và bán lẻ hàng lâu bền,HNX,19999999
GMC,Hàng tiêu dùng và trang trí,HOSE,30005280
GMD,Vận tải,HOSE,301377957
GMH,Nguyên vật liệu,HOSE,0
GMX,Nguyên vật liệu,HNX,9040697
GND,Nguyên vật liệu,UPCoM,9000000
GPC,Phân phối và bán lẻ hàng lâu bền,UPCoM,41594000
GSM,Dịch vụ tiện ích,UPCoM,28562000
GSP,Vận tải,HOSE,36000000
GTA,Nguyên vật liệu,HOSE,10400000
GTD,Hàng tiêu dùng và trang trí,UPCoM,9300000
GTS,Tư liệu sản xuất,UPCoM,28499764
GTT,Vận tải,UPCoM,43503000
GVR,Nguyên vật liệu,HOSE,4000000000
GVT,Nguyên vật liệu,UPCoM,11605100
H11,Tư liệu sản xuất,UPCoM,1060000
HAC,Dịch vụ tài chính,UPCoM,29181096
HAD,"Thực phẩm, đồ uống và thuốc lá",HNX,4000000
HAF,"Thực phẩm, đồ uống và thuốc lá",UPCoM,14500000
HAG,"Thực phẩm, đồ uống và thuốc lá",HOSE,927467947
HAH,Vận tải,HOSE,70344667
HAI,Phân phối và bán lẻ hàng lâu bền,UPCoM,182682799
HAM,Phân phối và bán lẻ hàng lâu bền,UPCoM,9638061
HAN,Tư liệu sản xuất,UPCoM,141048000
HAP,Nguyên vật liệu,HOSE,0
HAR,Phát triển và quản lý bất động sản,HOSE,101350100
HAS,Tư liệu sản xuất,HOSE,8000000
HAT,"Thực phẩm, đồ uống và thuốc lá",HNX,3123000
HAV,"Thực phẩm, đồ uống và thuốc lá",UPCoM,3297860
HAX,Phân phối và bán lẻ hàng lâu bền,HOSE,47766982
HBC,Tư liệu sản xuất,UPCoM,347213270
HBD,Nguyên vật liệu,UPCoM,2011100
HBH,"Thực phẩm, đồ uống và thuốc lá",UPCoM,16000000
HBS,Dịch vụ tài chính,HNX,32999980
HC1,Tư liệu sản xuất,UPCoM,8000000
HC3,Phát triển và quản lý bất động sản,UPCoM,20685717
HCB,Hàng tiêu dùng và trang trí,UPCoM,5199274
HCC,Nguyên vật liệu,HNX,6518586
HCD,Nguyên vật liệu,HOSE,27000000
HCI,Phát triển và quản lý bất động sản,UPCoM,5232000
HCM,Dịch vụ tài chính,HOSE,305882263
HCT,Vận tải,HNX,2016385
HD2,Phát triển và quản lý bất động sản,UPCoM,8962353
HD6,Phát triển và quản lý bất động sản,UPCoM,15120000
HD8,Phát triển và quản lý bất động sản,UPCoM,10000000
HDA,Nguyên vật liệu,HNX,27599967
HDB,Tổ chức tín dụng,HOSE,2530342922
HDC,Phát triển và quản lý bất động sản,HOSE,83143874
HDG,Phát triển và quản lý bất động sản,HOSE,154275018
HDM,Hàng tiêu dùng và trang trí,UPCoM,20096259
HDO,Tư liệu sản xuất,UPCoM,16959879
HDP,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,9934418
HDS,"Thực phẩm, đồ uống và thuốc lá",UPCoM,5162924
HDW,Dịch vụ tiện ích,UPCoM,31882470
HEC,Tư liệu sản xuất,UPCoM,6000000
HEJ,Dịch vụ chuyên biệt và thương mại,UPCoM,4400000
HEP,Dịch vụ tiện ích,UPCoM,6000000
HES,Dịch vụ tiêu dùng,UPCoM,9297450
HEV,Truyền thông và giải trí,HNX,1000000
HFB,Tư liệu sản xuất,UPCoM,9100000
HFC,Phân phối và bán lẻ hàng lâu bền,UPCoM,10198105
HFX,Phân phối và bán lẻ hàng lâu bền,UPCoM,1270000
HGM,Nguyên vật liệu,HNX,12600000
HGT,Dịch vụ tiêu dùng,UPCoM,20000000
HHC,"Thực phẩm, đồ uống và thuốc lá",HNX,16425000
HHG,Vận tải,UPCoM,34896354
HHN,Vận tải,UPCoM,1440000
HHP,Nguyên vật liệu,HOSE,20069824
HHS,Phân phối và bán lẻ hàng lâu bền,HOSE,274744063
HHV,Tư liệu sản xuất,HOSE,0
HID,Dịch vụ tiện ích,HOSE,58765032
HIG,Dịch vụ viễn thông,UPCoM,22559030
HII,Nguyên vật liệu,HOSE,32027500
HIO,Dịch vụ tiện ích,UPCoM,21000000
HJC,"Thực phẩm, đồ uống và thuốc lá",UPCoM,12853052
HJS,Dịch vụ tiện ích,HNX,20999900
HKB,"Thực phẩm, đồ uống và thuốc lá",UPCoM,51599999
HKT,"Thực phẩm, đồ uống và thuốc lá",HNX,6135029
HLA,Nguyên vật liệu,UPCoM,34459293
HLB,"Thực phẩm, đồ uống và thuốc lá",UPCoM,3000000
HLC,Năng lượng,HNX,25415199
HLD,Phát triển và quản lý bất động sản,HNX,20000000
HLO,Tư liệu sản xuất,UPCoM,8000000
HLS,Hàng tiêu dùng và trang trí,UPCoM,11169125
HLT,Hàng tiêu dùng và trang trí,UPCoM,5500000
HLY,Nguyên vật liệu,UPCoM,1000000
HMC,Phân phối và bán lẻ hàng lâu bền,HOSE,21000000
HMG,Phân phối và bán lẻ hàng lâu bền,UPCoM,9000000
HMH,Vận tải,HNX,13199847
HMR,Nguyên vật liệu,HNX,5612444
HMS,Tư liệu sản xuất,UPCoM,10919846
HNA,Dịch vụ tiện ích,HOSE,0
HNB,Vận tải,UPCoM,9500000
HND,Dịch vụ tiện ích,UPCoM,500000000
HNF,"Thực phẩm, đồ uống và thuốc lá",UPCoM,30000000
HNG,"Thực phẩm, đồ uống và thuốc lá",UPCoM,1108553895
HNI,Hàng tiêu dùng và trang trí,UPCoM,23778900
HNM,"Thực phẩm, đồ uống và thuốc lá",UPCoM,44400000
HNP,Nguyên vật liệu,UPCoM,5000000
HNR,"Thực phẩm, đồ uống và thuốc lá",UPCoM,20000000
HOM,Nguyên vật liệu,HNX,74769131
HOT,Dịch vụ tiêu dùng,UPCoM,8000000
HPB,Nguyên vật liệu,UPCoM,3880000
HPD,Dịch vụ tiện ích,UPCoM,8306590
HPG,Nguyên vật liệu,HOSE,4472922706
HPH,Đồ gia dụng và cá nhân,UPCoM,8400000
HPI,Phát triển và quản lý bất động sản,UPCoM,60000000
HPM,Nguyên vật liệu,UPCoM,3800000
HPP,Nguyên vật liệu,UPCoM,8007177
HPT,Phần mềm và dịch vụ,UPCoM,10507382
HPW,Dịch vụ tiện ích,UPCoM,74206940
HPX,Phát triển và quản lý bất động sản,HOSE,264494582
HQC,Phát triển và quản lý bất động sản,HOSE,476600000
HRB,Phát triển và quản lý bất động sản,UPCoM,6338400
HRC,Nguyên vật liệu,HOSE,30206622
HSA,Dịch vụ tài chính,UPCoM,7872727
HSG,Nguyên vật liệu,HOSE,489081896
HSI,Nguyên vật liệu,UPCoM,10000000
HSL,"Thực phẩm, đồ uống và thuốc lá",HOSE,17167144
HSM,Hàng tiêu dùng và trang trí,UPCoM,20500000
HSP,Nguyên vật liệu,UPCoM,12027086
HSV,Phân phối và bán lẻ hàng lâu bền,UPCoM,15749994
HT1,Nguyên vật liệu,HOSE,381589911
HTC,Phân phối và bán lẻ hàng lâu bền,HNX,16499993
HTE,Tư liệu sản xuất,UPCoM,23608165
HTG,Hàng tiêu dùng và trang trí,HOSE,0
HTI,Tư liệu sản xuất,HOSE,24949200
HTL,Phân phối và bán lẻ hàng lâu bền,HOSE,12000000
HTM,Phân phối và bán lẻ hàng lâu bền,UPCoM,220000000
HTN,Tư liệu sản xuất,HOSE,49509201
HTP,Dịch vụ chuyên biệt và thương mại,UPCoM,91804980
HTT,Phát triển và quản lý bất động sản,UPCoM,20000000
HTV,Vận tải,HOSE,13104000
HU1,Phát triển và quản lý bất động sản,HOSE,10000000
HU3,Tư liệu sản xuất,UPCoM,9999944
HU4,Phát triển và quản lý bất động sản,UPCoM,15000000
HU6,Phát triển và quản lý bất động sản,UPCoM,7500000
HUB,Tư liệu sản xuất,HOSE,19057316
HUG,Hàng tiêu dùng và trang trí,UPCoM,19511389
HUT,Phân phối và bán lẻ hàng lâu bền,HNX,892511965
HVA,Dịch vụ tài chính,UPCoM,13650000
HVG,"Thực phẩm, đồ uống và thuốc lá",UPCoM,227038291
HVH,Tư liệu sản xuất,HOSE,36949995
HVN,Vận tải,HOSE,1418290847
HVT,Nguyên vật liệu,HNX,10988059
HVX,Nguyên vật liệu,HOSE,38525250
HWS,Dịch vụ tiện ích,UPCoM,87600000
IBC,Dịch vụ tiêu dùng,UPCoM,83150661
IBD,Dịch vụ chuyên biệt và thương mại,UPCoM,9000000
ICC,Phát triển và quản lý bất động sản,UPCoM,3800000
ICF,"Thực phẩm, đồ uống và thuốc lá",UPCoM,12807000
ICG,Phát triển và quản lý bất động sản,HNX,20000000
ICI,Tư liệu sản xuất,UPCoM,4000000
ICN,Tư liệu sản xuất,UPCoM,20399960
ICT,Dịch vụ viễn thông,HOSE,32185000
IDC,Phát triển và quản lý bất động sản,HNX,329999929
IDI,"Thực phẩm, đồ uống và thuốc lá",HOSE,227644608
IDJ,Phát triển và quản lý bất động sản,HNX,173490193
IDP,"Thực phẩm, đồ uống và thuốc lá",UPCoM,61804472
IDV,Phát triển và quản lý bất động sản,HNX,35858385
IFS,"Thực phẩm, đồ uống và thuốc lá",UPCoM,87140984
IHK,Dịch vụ chuyên biệt và thương mại,UPCoM,2141928
IJC,Phát triển và quản lý bất động sản,HOSE,217097323
ILA,Nguyên vật liệu,UPCoM,18529939
ILB,Vận tải,HOSE,24502245
ILC,Vận tải,UPCoM,6100391
ILS,Vận tải,UPCoM,36000000
IME,Tư liệu sản xuất,UPCoM,3599948
IMP,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HOSE,66705370
IN4,Dịch vụ chuyên biệt và thương mại,UPCoM,1200000
INC,Dịch vụ chuyên biệt và thương mại,HNX,1800000
ING,Phát triển và quản lý bất động sản,UPCoM,20809702
INN,Nguyên vật liệu,HNX,18000000
IPA,Dịch vụ tài chính,HNX,213835775
IRC,Nguyên vật liệu,UPCoM,17500000
ISG,Vận tải,UPCoM,8800000
ISH,Dịch vụ tiện ích,UPCoM,45000000
IST,Vận tải,UPCoM,15008492
ITA,Phát triển và quản lý bất động sản,HOSE,938463607
ITC,Phát triển và quản lý bất động sản,HOSE,79726294
ITD,Phần mềm và dịch vụ,HOSE,19064798
ITQ,Nguyên vật liệu,HNX,31843305
ITS,Năng lượng,UPCoM,26459924
IVS,Dịch vụ tài chính,HNX,69350000
JOS,"Thực phẩm, đồ uống và thuốc lá",UPCoM,15322723
JVC,Phân phối và bán lẻ hàng lâu bền,HOSE,112500171
KAC,Phát triển và quản lý bất động sản,UPCoM,23999999
KBC,Phát triển và quản lý bất động sản,HOSE,475711167
KCB,Nguyên vật liệu,UPCoM,8000000
KCE,Nguyên vật liệu,UPCoM,1500000
KDC,"Thực phẩm, đồ uống và thuốc lá",HOSE,279741356
KDH,Phát triển và quản lý bất động sản,HOSE,642937069
KDM,Phân phối và bán lẻ hàng lâu bền,HNX,7596981
KGM,"Thực phẩm, đồ uống và thuốc lá",UPCoM,25430000
KHD,Nguyên vật liệu,UPCoM,3262818
KHG,Phát triển và quản lý bất động sản,HOSE,0
KHL,Nguyên vật liệu,UPCoM,12000000
KHP,Dịch vụ tiện ích,HOSE,57571016
KHS,"Thực phẩm, đồ uống và thuốc lá",HNX,12090969
KHW,Dịch vụ tiện ích,UPCoM,28599996
KIP,Hàng tiêu dùng và trang trí,UPCoM,9800000
KKC,Nguyên vật liệu,HNX,5200000
KLB,Tổ chức tín dụng,UPCoM,365281878
KLF,Phân phối và bán lẻ hàng lâu bền,UPCoM,165352561
KMR,Hàng tiêu dùng và trang trí,HOSE,56881443
KMT,Phân phối và bán lẻ hàng lâu bền,HNX,9846562
KOS,Phát triển và quản lý bất động sản,HOSE,165031335
KPF,Nguyên vật liệu,HOSE,57968933
KSB,Nguyên vật liệu,HOSE,73631202
KSD,Hàng tiêu dùng và trang trí,HNX,12000000
KSF,Phát triển và quản lý bất động sản,HNX,300000000
KSH,Nguyên vật liệu,UPCoM,57509675
KSQ,Nguyên vật liệu,HNX,30000000
KST,Dịch vụ viễn thông,HNX,5992020
KSV,Nguyên vật liệu,HNX,200000000
KTC,"Thực phẩm, đồ uống và thuốc lá",UPCoM,36473833
KTL,Xe và linh kiện,UPCoM,6519500
KTS,"Thực phẩm, đồ uống và thuốc lá",HNX,5070000
KTT,Tư liệu sản xuất,HNX,2955000
KTW,Dịch vụ tiện ích,UPCoM,8330200
KVC,Nguyên vật liệu,UPCoM,49500000
L10,Tư liệu sản xuất,HOSE,9890000
L12,Tư liệu sản xuất,UPCoM,7000000
L14,Phát triển và quản lý bất động sản,HNX,30859515
L18,Tư liệu sản xuất,HNX,38116528
L35,Tư liệu sản xuất,UPCoM,3265155
L40,Tư liệu sản xuất,HNX,3600000
L43,Tư liệu sản xuất,UPCoM,3500000
L44,Tư liệu sản xuất,UPCoM,4000000
L45,Hàng tiêu dùng và trang trí,UPCoM,4800000
L61,Tư liệu sản xuất,UPCoM,7576200
L62,Tư liệu sản xuất,UPCoM,8298243
L63,Tư liệu sản xuất,UPCoM,8279361
LAF,"Thực phẩm, đồ uống và thuốc lá",HOSE,0
LAI,Phát triển và quản lý bất động sản,UPCoM,17100000
LAS,Nguyên vật liệu,HNX,112856400
LAW,Dịch vụ tiện ích,UPCoM,12200000
LBE,Truyền thông và giải trí,HNX,1999934
LBM,Nguyên vật liệu,HOSE,10000000
LCC,Nguyên vật liệu,UPCoM,5838999
LCD,Tư liệu sản xuất,HNX,1474000
LCG,Tư liệu sản xuất,HOSE,117248510
LCM,Nguyên vật liệu,UPCoM,24633000
LCS,Tư liệu sản xuất,UPCoM,7600000
LDG,Phát triển và quản lý bất động sản,HOSE,240212451
LDP,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HNX,12703167
LDW,Dịch vụ tiện ích,UPCoM,78800000
LEC,Phát triển và quản lý bất động sản,HOSE,26100000
LG9,Tư liệu sản xuất,UPCoM,5026600
LGC,Tư liệu sản xuất,HOSE,192854765
LGL,Phát triển và quản lý bất động sản,HOSE,51500000
LGM,Hàng tiêu dùng và trang trí,UPCoM,7400000
LHC,Tư liệu sản xuất,HNX,14400000
LHG,Phát triển và quản lý bất động sản,HOSE,50012010
LIC,Tư liệu sản xuất,UPCoM,90000000
LIG,Tư liệu sản xuất,HNX,95084569
LIX,Đồ gia dụng và cá nhân,HOSE,32400000
LKW,Dịch vụ tiện ích,UPCoM,2500000
LLM,Tư liệu sản xuất,UPCoM,79726104
LM3,Tư liệu sản xuất,UPCoM,5150000
LM7,Tư liệu sản xuất,UPCoM,5000000
LM8,Tư liệu sản xuất,HOSE,9388682
LMC,Nguyên vật liệu,UPCoM,1500000
LMH,Phân phối và bán lẻ hàng lâu bền,UPCoM,25629995
LMI,Tư liệu sản xuất,UPCoM,5500000
LNC,"Thực phẩm, đồ uống và thuốc lá",UPCoM,8230067
LO5,Tư liệu sản xuất,UPCoM,5149791
LPB,Tổ chức tín dụng,HOSE,1074638915
LPT,Phân phối và bán lẻ hàng lâu bền,UPCoM,12000000
LQN,Nguyên vật liệu,UPCoM,1893540
LSG,Phát triển và quản lý bất động sản,UPCoM,90000000
LSS,"Thực phẩm, đồ uống và thuốc lá",HOSE,70000000
LTC,Tư liệu sản xuất,UPCoM,4586000
LTG,"Thực phẩm, đồ uống và thuốc lá",UPCoM,100741465
LUT,Tư liệu sản xuất,UPCoM,15000000
M10,Hàng tiêu dùng và trang trí,UPCoM,31751000
MA1,Phát triển và quản lý bất động sản,UPCoM,5289715
MAC,Vận tải,HNX,15139745
MAS,Vận tải,HNX,4267683
MBB,Tổ chức tín dụng,HOSE,2798756872
MBG,Hàng tiêu dùng và trang trí,HNX,120218540
MBN,Dịch vụ tiện ích,UPCoM,5750000
MBS,Dịch vụ tài chính,HNX,547079981
MCC,Nguyên vật liệu,HNX,5016124
MCF,"Thực phẩm, đồ uống và thuốc lá",HNX,10777838
MCG,Tư liệu sản xuất,UPCoM,57510000
MCH,"Thực phẩm, đồ uống và thuốc lá",UPCoM,735553179
MCM,"Thực phẩm, đồ uống và thuốc lá",HOSE,0
MCO,Tư liệu sản xuất,HNX,4103929
MCP,Nguyên vật liệu,HOSE,15071337
MDA,Dịch vụ tiện ích,UPCoM,1200000
MDC,Năng lượng,HNX,21418346
MDF,Nguyên vật liệu,UPCoM,55113595
MDG,Nguyên vật liệu,HOSE,10889031
MEC,Tư liệu sản xuất,UPCoM,8353620
MED,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HNX,12410000
MEF,Hàng tiêu dùng và trang trí,UPCoM,3940522
MEL,Nguyên vật liệu,HNX,15000000
MES,Tư liệu sản xuất,UPCoM,18600000
MFS,Dịch vụ viễn thông,UPCoM,7062979
MGC,Năng lượng,UPCoM,10800000
MGG,Hàng tiêu dùng và trang trí,UPCoM,8999622
MGR,Phát triển và quản lý bất động sản,UPCoM,20000000
MH3,Phát triển và quản lý bất động sản,UPCoM,24000000
MHC,Vận tải,HOSE,41406964
MHL,Hàng tiêu dùng và trang trí,UPCoM,5430923
MIC,Nguyên vật liệu,UPCoM,5544946
MIE,Tư liệu sản xuất,UPCoM,141991500
MIG,Bảo hiểm,HOSE,143000000
MIM,Nguyên vật liệu,UPCoM,3409860
MKP,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,25545867
MKV,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HNX,5000038
MLC,Dịch vụ tiện ích,UPCoM,4171175
MLS,"Thực phẩm, đồ uống và thuốc lá",UPCoM,4000000
MML,"Thực phẩm, đồ uống và thuốc lá",UPCoM,327417947
MNB,Hàng tiêu dùng và trang trí,UPCoM,20000000
MND,Dịch vụ tiện ích,UPCoM,2194475
MPC,"Thực phẩm, đồ uống và thuốc lá",UPCoM,399887300
MPT,Hàng tiêu dùng và trang trí,UPCoM,17107164
MPY,Dịch vụ tiện ích,UPCoM,6143000
MQB,Dịch vụ tiện ích,UPCoM,3675675
MQN,Dịch vụ tiện ích,UPCoM,7018925
MRF,Xe và linh kiện,UPCoM,6796172
MSB,Tổ chức tín dụng,HOSE,1175000000
MSH,Hàng tiêu dùng và trang trí,HOSE,50009400
MSN,"Thực phẩm, đồ uống và thuốc lá",HOSE,1180534692
MSR,Nguyên vật liệu,UPCoM,1099155420
MST,Tư liệu sản xuất,HNX,76004301
MTA,Nguyên vật liệu,UPCoM,110113591
MTB,Dịch vụ chuyên biệt và thương mại,UPCoM,6278259
MTC,Dịch vụ tiêu dùng,UPCoM,5200000
MTG,Dịch vụ tiện ích,UPCoM,10450000
MTH,Dịch vụ tiện ích,UPCoM,4787910
MTL,Dịch vụ tiện ích,UPCoM,6000000
MTP,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,7455406
MTS,Phân phối và bán lẻ hàng lâu bền,UPCoM,15000000
MTV,Dịch vụ tiện ích,UPCoM,5400000
MTX,Dịch vụ chuyên biệt và thương mại,UPCoM,645000
MVB,Nguyên vật liệu,HNX,105000000
MVC,Phân phối và bán lẻ hàng lâu bền,UPCoM,100000000
MVN,Vận tải,UPCoM,6374700
MWG,Phân phối và bán lẻ hàng lâu bền,HOSE,475431197
NAB,Tổ chức tín dụng,HOSE,0
NAC,Dịch vụ chuyên biệt và thương mại,UPCoM,2835000
NAF,"Thực phẩm, đồ uống và thuốc lá",HOSE,47567852
NAG,Hàng tiêu dùng và trang trí,HNX,31646541
NAP,Vận tải,HNX,21517200
NAS,Vận tải,UPCoM,8315764
NAU,Dịch vụ tiện ích,UPCoM,3669999
NAV,Hàng tiêu dùng và trang trí,HOSE,8000000
NAW,Dịch vụ tiện ích,UPCoM,37385983
NBB,Phát triển và quản lý bất động sản,HOSE,100475656
NBC,Năng lượng,HNX,36999124
NBE,Truyền thông và giải trí,UPCoM,5000000
NBP,Dịch vụ tiện ích,HNX,12865500
NBT,Dịch vụ tiện ích,UPCoM,29400000
NBW,Dịch vụ tiện ích,HNX,10900000
NCG,"Thực phẩm, đồ uống và thuốc lá",UPCoM,119784325
NCS,Vận tải,UPCoM,17949098
NCT,Vận tải,HOSE,26166940
ND2,Tư liệu sản xuất,UPCoM,49993960
NDC,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,5964000
NDF,"Thực phẩm, đồ uống và thuốc lá",UPCoM,7853800
NDN,Phát triển và quản lý bất động sản,HNX,71657936
NDP,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,11100000
NDT,Hàng tiêu dùng và trang trí,UPCoM,15639976
NDW,Dịch vụ tiện ích,UPCoM,34311748
NDX,Tư liệu sản xuất,HNX,9987557
NED,Dịch vụ tiện ích,UPCoM,40500000
NEM,Hàng tiêu dùng và trang trí,UPCoM,8848500
NET,Đồ gia dụng và cá nhân,HNX,22398374
NFC,Nguyên vật liệu,HNX,15731260
NGC,"Thực phẩm, đồ uống và thuốc lá",UPCoM,2299854
NHA,Phát triển và quản lý bất động sản,HOSE,28116550
NHC,Nguyên vật liệu,HNX,3041542
NHH,Tư liệu sản xuất,HOSE,36440000
NHP,Nguyên vật liệu,UPCoM,27576490
NHT,Nguyên vật liệu,HOSE,0
NHV,Phân phối và bán lẻ hàng lâu bền,UPCoM,5480112
NJC,Hàng tiêu dùng và trang trí,UPCoM,3150000
NKG,Nguyên vật liệu,HOSE,181999868
NLG,Phát triển và quản lý bất động sản,HOSE,285270660
NLS,Dịch vụ tiện ích,UPCoM,5009800
NNC,Nguyên vật liệu,HOSE,21920000
NNT,Dịch vụ tiện ích,UPCoM,9490841
NO1,Phân phối và bán lẻ hàng lâu bền,HOSE,0
NOS,Vận tải,UPCoM,20056000
NQB,Dịch vụ tiện ích,UPCoM,17230204
NQN,Dịch vụ tiện ích,UPCoM,50831593
NQT,Dịch vụ tiện ích,UPCoM,18233269
NRC,Phát triển và quản lý bất động sản,HNX,92597762
NS2,Dịch vụ tiện ích,UPCoM,56800000
NSC,"Thực phẩm, đồ uống và thuốc lá",HOSE,0
NSG,Nguyên vật liệu,UPCoM,8639208
NSH,Nguyên vật liệu,HNX,20693437
NSL,Dịch vụ tiện ích,UPCoM,10000000
NSS,"Thực phẩm, đồ uống và thuốc lá",UPCoM,10263942
NST,"Thực phẩm, đồ uống và thuốc lá",HNX,11202003
NT2,Dịch vụ tiện ích,HOSE,287876029
NTB,Tư liệu sản xuất,UPCoM,39779577
NTC,Phát triển và quản lý bất động sản,UPCoM,23999980
NTF,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,6000000
NTH,Dịch vụ tiện ích,HNX,10802053
NTL,Phát triển và quản lý bất động sản,HOSE,60989950
NTP,Nguyên vật liệu,HNX,142532284
NTT,Hàng tiêu dùng và trang trí,UPCoM,23500000
NTW,Dịch vụ tiện ích,UPCoM,10000000
NUE,Dịch vụ tiện ích,UPCoM,6000000
NVB,Tổ chức tín dụng,HNX,560155587
NVL,Phát triển và quản lý bất động sản,HOSE,1473605619
NVP,Dịch vụ tiện ích,UPCoM,10963000
NVT,Dịch vụ tiêu dùng,HOSE,90500000
NWT,Vận tải,UPCoM,8500000
NXT,Phân phối và bán lẻ hàng lâu bền,UPCoM,6600000
OCB,Tổ chức tín dụng,HOSE,1095906343
OCH,Dịch vụ tiêu dùng,HNX,200000000
ODE,Dịch vụ chuyên biệt và thương mại,UPCoM,10000000
OGC,"Thực phẩm, đồ uống và thuốc lá",HOSE,300000000
OIL,Phân phối và bán lẻ hàng lâu bền,UPCoM,201425936
ONE,Dịch vụ viễn thông,HNX,7960310
ONW,Dịch vụ tiêu dùng,UPCoM,2000000
OPC,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HOSE,26577280
ORS,Dịch vụ tài chính,HOSE,0
PAC,Hàng tiêu dùng và trang trí,HOSE,46471707
PAI,Phần mềm và dịch vụ,UPCoM,4235290
PAN,"Thực phẩm, đồ uống và thuốc lá",HOSE,0
PAP,Vận tải,UPCoM,200000000
PAS,Nguyên vật liệu,UPCoM,28049968
PAT,Nguyên vật liệu,UPCoM,25000000
PBC,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,113299902
PBP,Nguyên vật liệu,HNX,4799516
PBT,Nguyên vật liệu,UPCoM,17522284
PC1,Tư liệu sản xuất,HOSE,191188159
PCC,Tư liệu sản xuất,UPCoM,11500000
PCE,Nguyên vật liệu,HNX,10000000
PCF,Phân phối và bán lẻ hàng lâu bền,UPCoM,3000000
PCG,Dịch vụ tiện ích,HNX,18870000
PCH,Nguyên vật liệu,HNX,24199964
PCM,Công nghệ phần cứng và thiết bị,UPCoM,4000000
PCN,Phân phối và bán lẻ hàng lâu bền,UPCoM,3924550
PCT,Phân phối và bán lẻ hàng lâu bền,HNX,50035493
PDB,Nguyên vật liệu,HNX,8909981
PDC,Dịch vụ tiêu dùng,UPCoM,15000000
PDN,Vận tải,HOSE,18521954
PDR,Phát triển và quản lý bất động sản,HOSE,486771916
PDV,Vận tải,UPCoM,66095966
PEC,Nguyên vật liệu,UPCoM,3115409
PEG,Phân phối và bán lẻ hàng lâu bền,UPCoM,231898919
PEN,Tư liệu sản xuất,HNX,5000000
PEQ,Phân phối và bán lẻ hàng lâu bền,UPCoM,4965514
PET,Phân phối và bán lẻ hàng lâu bền,HOSE,86600124
PFL,Tư liệu sản xuất,UPCoM,50000000
PGB,Tổ chức tín dụng,UPCoM,420000000
PGC,Dịch vụ tiện ích,HOSE,60342638
PGD,Dịch vụ tiện ích,HOSE,89999025
PGI,Bảo hiểm,HOSE,88717773
PGN,Đồ gia dụng và cá nhân,HNX,9464859
PGS,Dịch vụ tiện ích,HNX,50000000
PGT,Vận tải,HNX,9241801
PGV,Dịch vụ tiện ích,HOSE,0
PHC,Tư liệu sản xuất,HOSE,25674340
PHH,Tư liệu sản xuất,UPCoM,20000000
PHN,Hàng tiêu dùng và trang trí,HNX,7253911
PHP,Vận tải,UPCoM,326960000
PHR,Nguyên vật liệu,HOSE,135499198
PHS,Dịch vụ tài chính,UPCoM,150009819
PIA,Phần mềm và dịch vụ,HNX,3900000
PIC,Dịch vụ tiện ích,HNX,33339891
