ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
VIN,2024,2,0.94474346,525300000000.0,25500000.0,22.8756461594,3.9533045131,-31.9868763613,232.2567990980392,21804.861184549,-91.7054547685,0.16272594734188137,0.18740044818738974,0.0409981738,-0.0121042184,0.0389772312,-0.08926604572853682,-5667934822.0,-2821137726,0.0194174757,8.8437208212,0.3602778386,8.7827882455,1.0409616989733796,0.2255402654,6.3430650883,71.85015545670402,4.9008529425,28.2221270818,104.97313548100401,74.4768317432,0.0,0.040961699,0.04520783062660762,2.1890915572235294
VIN,2024,1,0.8401142526,476850000000.0,25500000.0,12.3107835816,3.4552839846,-80.9408460745,380.7822016862745,22258.8772209804,-75.454461413,0.1881190086268424,0.34093787895067007,0.0694121015,-0.0122814462,0.0654891864,-0.058594751915187954,-6153560492.0,-1668784610,0.0213903743,10.6906665561,0.8068889213,10.648831813,1.0341752774517017,0.2333305176,7.3746455883,73.17605512865741,5.9314367908,31.8568860934,110.96437801285742,61.5365235906,0.0,0.0341752775,0.04506646885165262,2.2344667968
VIN,2023,4,1.0421382657,581400000000.0,25500000.0,13.4404904681,4.0820434518,-52.7550207914,-148.64703898039215,21878.0950192941,-67.3042544391,0.1789968964040672,-0.10965324954549632,0.0768392481,-0.0165756908,0.071502438,-0.014575052571934036,-8410695059.0,-503831210,0.0438596491,6.8108334094,1.2681032092,6.7301954845,1.0585054873107667,0.235428125,8.642601847,85.33327436094912,6.3141594094,46.2842165533,137.93165032364914,57.8065861716,0.0,0.0586994353,0.029168307352569024,2.1965732897960786
VIN,2023,3,0.9321431654,520939500000.0,25500000.0,43.8890167119,3.2220792853,-35.7475581871,436.1290489019608,21916.1613355686,-26.756316626,0.1835815054561735,0.2909480569531371,0.0212931733,-0.0355115373,0.0198270114,-0.04612360294059185,-18897035318.0,-1763043218,0.048950022,6.7701181191,0.5600000885,6.7304200531,1.0576228608235005,0.2700703357,9.8156486325,75.67903281057193,6.0009471834,32.8584795817,114.53845957567194,60.8237314619,0.0,0.0576228608,0.029483860620042605,2.200058912145098
VIN,2023,2,0.8803990491,482230500000.0,25500000.0,8.5325994612,2.7022627106,-32.7396295077,850.7292688627451,21480.0322866667,-23.1996767371,0.16850128511796428,0.5905663278719502,0.099786473,-0.0384429953,0.0927078079,-0.0833617915883354,-19866913559.0,-3062174345,0.0528792766,5.4934724243,0.5958409897,5.4222569125,1.073612452726376,0.292731935,10.7985047935,72.723704854132,8.1755851961,35.2900065398,116.189296590032,44.6451221834,0.0,0.0736124527,0.029638227524498868,2.15634604892549
VIN,2023,1,0.7898481788,446250000000.0,25500000.0,5.0061469301,2.1876665729,-20.390871629,447.57466415686275,22156.1566772941,-26.8346877854,0.14829052511166757,0.34498325696053644,0.1580080585,-0.030942604,0.1466398161,-0.11632915636937398,-16026669638.0,-3848542044,0.0571428571,6.9517495879,0.5218798551,6.8463370792,1.0638647337420255,0.3355632318,12.1761211428,67.84742508246433,7.4735414466,32.9472928928,108.26825942186431,48.8389611014,0.0,0.0638647337,0.028831743712636318,2.223860217752941
VIN,2022,4,0.7442103585,415650000000.0,25500000.0,4.8243732354,1.9406971377,-15.2078034531,-1268.9634514901961,21902.4094641176,-31.7865420288,0.04993728080177414,-0.6032884534984202,0.162826434,-0.0254794529,0.1499694275,-0.2097199956285037,-12593396841.0,-11248746272,0.1165644172,5.837094732,0.6156735761,5.8031934572,1.084547580851551,0.3728085533,12.3372409887,59.39168331381488,1.6528714919,32.5278047382,93.57235954391487,220.8278149759,0.0,0.0835825194,0.02980418349308958,2.1970590186588237
VIN,2022,3,0.8576822974,510000000000.0,25500000.0,3.5211696094,2.450258237,-11.9495410319,2186.9829361960783,23318.6578080392,-39.1426417383,0.1529336034594288,1.0139537085629156,0.2688642506,-0.0242218376,0.2508637348,-0.054165217195044836,-12637127082.0,-2979119580,0.03,6.7709983518,0.4509973368,6.6167930651,1.0677890533089105,0.360506393,11.9426374748,61.14386357676737,4.7545213911,31.6065739667,97.50495893456737,76.7690309872,0.0,0.0677890533,0.02808277862567768,2.3401969443764705
VIN,2022,2,0.9464465132,510000000000.0,25500000.0,5.1313847208,2.4350556978,-13.4085996498,2130.1082834117647,21131.6748718431,-47.0242717185,0.15125189933905295,0.8723827930823063,0.1945948194,-0.0227019172,0.1804569,0.008501606135734118,-10394078262.0,529341266,0.03,5.6953888334,0.5748221542,5.6111906293,1.078359811068327,0.3802762213,11.9231010458,56.51431935945469,1.9374715657,31.4036503626,89.85544128775469,188.389861538,0.0,0.0783598111,0.0318006051310545,2.1216864519568626
VIN,2022,1,1.1759771153,612000000000.0,25500000.0,10.144157534,2.6560226309,-21.175948171,985.9542999215686,20408.5604119608,-50.3142375213,0.14484238964744608,0.580986895506205,0.1220949448,-0.0267964984,0.1128122034,-0.024697410741803143,-11989115759.0,-1068764583,0.025,8.0117393354,0.3980487456,8.0030252753,1.054114345546159,0.4308640861,13.0024301508,48.65420987073503,0.3603168797,28.0775985569,77.09212530733504,1012.9972269748,0.0,0.0541143455,0.03377752373217583,2.0493685079058825
