ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Payable Outstanding,Cash Cycle,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
HCM,2024,3,2.0823501247,21275146418700,719971114.0,18.2817718977,5.3776797887,-1.1799067218,308.89283067264836,14190.6971596474,32.5737771816,0.33072470621326683,0.19547288092669649,0.1054593798,0.0382869956,0.0401610666,0.24161642071576864,1264249412248.0,274892463725.0,0.0236886633,1.4361306109,0.4829560718,1.4361306109,3.2530285827337493,0.1601840594,77.3590425859,0.0,1.156440794,0.0,2.202252064,2.2530285827,0.004452099112521866,1.426890961038929
HCM,2024,2,2.0620441821,22319104534000,719971114.0,17.9153208986,6.1280255473,-1.4036460843,435.23503939492775,15033.625500917,28.680333213,0.4640736501874444,0.2864582237771695,0.1102149862,0.0454428798,0.0475522657,0.35539122002057066,1255652467884.0,388762462001.0,0.0225806452,1.6132474111,0.496722606,1.6132474111,2.6028592348434105,0.1760790602,68.7575818744,0.0,1.2456486122,0.0,1.5264540345,1.6028592348,0.0046664766843721095,1.512996824710581
HCM,2024,1,1.8870795424,19570396969200,703971114.0,19.2886383755,6.2410458117,-2.9770169201,393.27585469082186,14731.758452758,24.3457081261,0.5204642825476489,0.32077612914860154,0.1004424323,0.0565128323,0.0477730493,0.3992138982833452,1062660289419.0,344552759713.0,0.0251798561,1.710699144,0.4767313444,1.710699144,2.376180492162796,0.1810420118,56.5566874201,0.0,1.5062136902,0.0,1.1249441558,1.3761804922,0.006413924671422559,1.2186151445046163
HCM,2023,4,2.0574004117,20767147863000,703971114.0,23.1717377041,7.1532814928,-3.4317900269,254.6762185770594,14338.4825980672,30.1174870124,0.38645028138488696,0.208109135234974,0.0832340529,0.0480747399,0.0404320609,0.26095798193247405,870985916733.0,224813647849.0,0.0237288136,1.8469602722,0.5257772135,1.8469602722,2.154775195693303,0.1740629527,51.2868227262,0.0,1.4231110563,0.0,1.102041595,1.1547751957,0.006609337772112513,1.1793344532891383
HCM,2023,3,1.7775905274,18520467315700,754397854.0,21.053920205,6.3245416945,-23.3002651959,283.8110898019601,13810.829671753,29.818221095,0.4300869980529,0.259943767786226,0.0776502865,0.0480506721,0.0409850646,0.323156178428212,804381536090.0,266172301424.0,0.0285132383,1.9321607816,0.5488593849,1.9321607816,2.048839651707804,0.1934520807,50.8571543482,0.0,1.3061984545,0.0,0.9813329631,1.0488396517,0.006405455451457878,1.153897199050086
HCM,2023,2,1.8187565151,14402176393500,457211949.0,25.2068096761,5.0292855775,6.0799590761,343.8488261578658,17319.5255866815,23.3094443551,0.4780773918338291,0.2675855678522064,0.0718248871,0.051490389,0.0353936886,0.3333982032389278,742198114669.0,195878011625.0,0.0222222222,2.2120709634,0.7686012082,2.2120709634,1.8058588017517663,0.1773845681,51.3627157177,0.0,1.2778434209,0.0,0.7500088126,0.8058588018,0.0075337457453240764,1.1235193650665183
HCM,2023,1,1.6998023958,13624916080200,457211949.0,19.6476463629,3.9333667338,1.5273911644,270.6751120999246,17531.4495811066,16.0214437038,0.3796980040169984,0.19628655650167387,0.0874178177,0.0640040119,0.0399393825,0.24285187068519942,893195928420.0,153114667036.0,0.0234899329,2.2779177602,1.0469646536,2.2779177602,1.7640058877496028,0.1994921735,65.6876900169,0.0,0.7306600326,0.0,0.687858819,0.7640058877,0.007521888643182422,1.1372668958789114
HCM,2022,4,1.462854407,11544601712250,457211949.0,13.5429201892,2.9590580733,1.7150355654,274.11917959082035,17260.7744690067,14.6366299477,0.27864154803652263,0.1413482661704968,0.1120435171,0.0717778207,0.0428213095,0.17944850935018436,1090392507160.0,159113256636.0,0.0475247525,2.0201481261,0.9351464082,2.0201481261,1.9573344170417202,0.1959734324,79.3940050032,0.0,0.6335440646,0.0,0.8791440751,0.957334417,0.007384276943075938,1.1197081741596702
HCM,2022,3,1.3067107244,10447293034650,457211949.0,10.927734952,2.5252531433,3.4689680298,361.0812770184184,17486.6552894159,12.2998109405,0.38999831904878673,0.21751714471387343,0.1236445987,0.0622416488,0.0436981153,0.27067561801109963,1208340763889.0,205436773195.0,0.0525164114,1.6156332657,0.7000001909,1.6156332657,2.5876687262450186,0.1901437231,90.0855099693,0.0,0.3332886593,0.0,1.3794604173,1.5876687262,0.005602127783251418,1.1343610856760216
HCM,2022,2,1.1444871854,8961354200400,457211949.0,7.3812086824,2.0041897147,25.1310846679,610.9208943312196,17125.5740123975,9.8118958299,0.3587862744277418,0.235159788536302,0.158372292,0.0758792688,0.0518228498,0.2931977234088829,1399392424360.0,348257183693.0,0.0612244898,1.6737667093,0.6547471752,1.6737667093,2.4495235620156226,0.2098611184,102.0039969519,0.0,0.2159747718,0.0,1.3156891932,1.449523562,0.006076100236029173,1.1109377069545452
