ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Inventory Outstanding,Days Payable Outstanding,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
VND,2024,3,1.1497172606,22377808647600,1522299908,8.5606877845,3.701807549,-8.9476582319,331.8322747182351,12785.752205051,11.9912858566,0.7017008458769272,0.3978867634969627,0.130013192,0.0870611598,0.0533395591,0.6254388698551114,3608598834139.0,794043366398.0,1.7682739037,1.0482503876,1.7682739037,-4.5823126359037065,2.224463724918408,0.1409619346,60.0139059314,0.0,3.7514026545,0.0,1.0969361114,1.2244637249,0.005137995255269087,1.2785752205051044
VND,2024,2,1.1695262716,23062843606200,1522299908,8.3927942961,3.5293316233,10.7224567446,226.55684751049725,12953.962957334,10.5449117877,0.4492391157792108,0.23651088982461746,0.1453675488,0.0999799479,0.0570364295,0.3949818412056655,3973535319896.0,575974693041.0,1.5783559535,0.871931181,1.5783559535,-3.730435835881356,2.612420696541591,0.1539178286,65.6527927168,0.0,3.6959372716,0.0,1.2696574225,1.6124206965,0.005946257291039205,1.1353971847040931
VND,2024,1,1.2802238239,25041917414500,1522305010,8.5881559558,3.7487720226,6.0647093733,405.3524287251738,12849.3156375134,9.2889022347,0.7764831440374647,0.44560336863304917,0.1555609198,0.1199811154,0.0601152154,0.6654881213497702,4341905869459.0,921565692613.0,1.665591259,0.8220791933,1.665591259,-5.836761955927255,2.4144441982410636,0.1602720574,69.1294683222,0.0,4.0801152144,0.0,1.0892995424,1.4144441982,0.0054948581173028775,1.1249353343623798
VND,2023,4,1.6193341558,26731675997550,1217844009,13.2186759557,4.0740673774,12.2902285258,673.6023365517907,13554.9540047817,11.6951412192,0.7512498481332294,0.42449856292610766,0.1303732241,0.1064763039,0.0501720214,0.6529120938865105,3982195067089.0,1261751232802.0,1.6338005847,0.8728818913,1.6338005847,-4.566502350421213,2.529321584969103,0.1627888062,71.4194050457,0.0,6.8495425454,0.0,1.2399265773,1.5286253041,0.006425098342137513,1.0840895475078094
VND,2023,3,1.6889897866,26548999396200,1217844009,22.7794553791,4.0299638644,-6.1528769025,524.858775250583,12907.1236382927,14.9248065215,0.7040972202124912,0.36336636513377923,0.0777449676,0.0801524999,0.0292235657,0.661039606825055,3108225021466.0,1162831756304.0,1.5637348068,0.8584566248,1.5637348068,-3.1809746303075292,2.645154858536151,0.1651888079,78.4503100993,0.0,0.9411044335,0.0,1.4333571702,1.6451548585,0.00605789571782209,1.0325733525773162
VND,2023,2,1.780772762,26853460398450,1217844009,47.2249229859,4.3344116644,-101.649557404,352.22345670380514,12382.2648630421,20.1506737101,0.6438689896334945,0.2674868705973072,0.0386547519,0.0601584063,0.0142097371,0.5903177968322719,2324570498358.0,946658514831.0,1.5317621939,0.8969079712,1.5317621939,-2.2957232218227457,2.788508052781323,0.1548255015,87.3210782933,0.0,0.6557447234,0.0,1.5212724685,1.7885080528,0.006045684416668056,0.9905845097973296
VND,2023,1,1.4630409096,21434054558400,1217844009,36.1527132537,3.3759634868,13.16007931,111.40704478515852,12029.738802764,18.272416972,0.5094301578736504,0.10509467924309633,0.0408285848,0.0638609794,0.0146504447,0.4455967141342207,2142444992404.0,575261843657.0,1.6548246351,0.9498269671,1.6548246351,-1.4743350248542273,2.527238892851014,0.1562741,105.0050723352,0.0,0.6522802526,0.0,1.2558496765,1.5272388929,0.004901062725200094,0.9623823304324209
VND,2022,4,1.245956546,18084646765350,1217821331,13.5555003528,2.6481262611,-5.4001843788,-31.49869902549769,11918.553698522,12.3344598235,0.24401776353479468,-0.019832682685769435,0.1002812328,0.0775742196,0.0321272613,0.19700933629152062,2652101787431.0,381049624480.0,1.6435015192,0.9188151853,1.6435015192,-1.0375424433840044,2.6780221232720716,0.1797983199,101.6538129425,0.0,1.0898080826,0.0,1.3305148565,1.6780221233,0.005353852549484554,0.9534697369717636
VND,2022,3,1.2432657863,18145537831900,1217821331,7.1217464264,2.6029022348,-2.4202195838,34.766226542635586,11984.5652988484,9.4283639902,0.3529750102934049,0.030981169081927242,0.1699822026,0.1073968521,0.0503896886,0.28117070886519213,3476014931683.0,384249584363.0,1.5721452777,0.7890300926,1.5721452777,-1.7661788451283873,2.885665796417399,0.1675791968,142.7392235817,0.0,0.4261085062,0.0,1.2028213086,1.8856657964,0.0029544604785022638,0.9587505843625131
VND,2022,2,1.163175777,16927716500900,1217821331,4.6557990203,2.3410111534,-0.7402013609,374.0734040057638,11950.04252567,9.0547589824,0.503757438052642,0.25924289828134517,0.2448968339,0.1111366671,0.0693311821,0.43817271001890284,3928495424964.0,769978973981.0,1.5393216406,0.8047475802,1.5393216406,-3.674515312067109,3.0576352719149296,0.1892165313,147.0941329297,0.0,0.4061480524,0.0,1.4150227476,2.0576352719,0.003382357323543443,0.955988804678953
