ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
XMD,2016,2,0.9319443316,48000000000.0,4000000.0,12.0526889989,0.3221483915,-82.697710404,377.647427,12876.3055835,7.0375438042,0.18716343133008642,0.04366230403446701,0.0795999329,0.0243697329,0.11914412268483453,14335401574.0,4122042789,0.0666666667,1.2850409815,0.02263518,0.7565858498,-3.7220920065894285,2.512547754222068,0.9117562574,6.1735798359,208.70066729445332,90.3785688568,98.5514720846,397.6307082358533,4.0385680435,1.0686360233,1.5125477542,0.4837302355367792,1.28763055835
XMD,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12210853725095586,0.02365627457094786,0.0,0.0,0.04296048369061875,0.0,1119275984,0.0,0.0,0.0,0.0,-1.0757872779114916,3.0866083385833947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47146662488111724,1.25546081565
XMD,2015,4,0.9677009426,48000000000.0,4000000.0,11.1470950331,0.3145298602,6.0848616305,150.9324955,12400.52527775,8.2361278834,0.12431155708989966,0.017107193335900273,0.0,0.0,0.04307373111133874,0.0,1520115100,0.0666666667,0.0,0.0,0.0,-1.6448478947456175,3.6367358049475027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5068538344724395,1.240052527775
XMD,2015,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09508793336187239,0.023594261644080662,0.0,0.0,0.03565414884809476,0.0,1891735168,0.0,0.0,0.0,0.0,-1.9147468444942213,3.870398261018391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46737486764718333,1.2200183311
