ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Payable Outstanding,Cash Cycle,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
AIC,2024,2,1.0761739804,1200000000000.0,100000000.0,28.58500724,0.5583533045,8.169210648,101.65558638,11150.61339436,-4.1554426827,0.02354087956129722,0.038086987,-0.2278032925,0.0104566306,-0.16505334629526205,-254014644478.0,-71274289722,1.3405842153,0.8331184544,1.3405842153,3.7247008433372204,0.5353292607,0.0,135.50681255709128,0.0,135.50681255709128,0.0,2.7247008433,0.005060304398907787,1.115061339436
AIC,2024,1,1.0856898609,1200000000000.0,100000000.0,34.4504683126,0.5817159698,7.750983415,83.55813859,11052.88023061,-3.8006515629,0.02189210253049074,0.0318600027,-0.2309539242,0.0088527361,-0.14905964332816452,-255270606269.0,-56893330908,1.2914645098,0.7867759494,1.2914645098,3.7108499775118235,0.5242780319,0.0,148.34796707641206,0.0,148.34796707641206,0.0,2.7108499775,0.005662188347674338,1.105288023061
AIC,2023,4,1.1334068433,1250000000000.0,100000000.0,40.9020089056,0.6251187511,3.1586122282,172.28603914,11028.6964241,-3.9286465975,0.03455690043922323,0.0280903197,-0.2369142983,0.0079002176,-0.13884874457117755,-261285587488.0,-69224091101,1.3402454771,0.54039785,1.3402454771,3.6248182405421807,0.5169174163,0.0,183.6450411189609,0.0,183.6450411189609,0.0,2.6248182405,0.005573245165737339,1.10286964241
AIC,2023,3,1.3614076362,1478000000000.0,100000000.0,61.5559886653,0.7456005219,5.0522433982,62.30072428,10856.41038496,-5.0069565047,0.020235650842584375,0.0222603104,-0.2319794679,0.0063233329,-0.18391469922593795,-250551154795.0,-56622932747,1.2940794497,0.5692962666,1.2940794497,3.5059460185605573,0.5220476585,0.0,139.0156723405274,0.0,139.0156723405274,0.0,2.5059460186,0.005671755697012265,1.085641038496
AIC,2023,2,0.880109643,950000000000.0,100000000.0,-124.1736961058,0.4704567506,7.0177452029,30.18127722,10794.10966068,-2.2203072123,0.008513014300567036,-0.007132465,-0.2286063597,-0.0020178978,-0.204580827992505,-245438507574.0,-72530251513,1.1767820018,0.5209806947,1.1767820018,3.5512251950343043,0.5326096988,0.0,124.9453901611118,0.0,124.9453901611118,0.0,2.551225195,0.006202773512102907,1.079410966068
AIC,2023,1,0.9679577094,1042600000000.0,100000000.0,132.3411486652,0.4758558915,3.1538125694,40.84042052,10771.1317329,-1.099173123,0.011456311061984959,0.0073314471,-0.2445061109,0.0020802188,-0.1764666433242085,-261819268467.0,-62908312127,1.1273830401,0.4676561502,1.1273830401,3.547049557672948,0.5785334484,0.0,113.11922323823849,0.0,113.11922323823849,0.0,2.5470495577,0.006427643228847582,1.07711317329
AIC,2022,4,0.9288657418,996700000000.0,100000000.0,48.0146510065,0.4271039862,78.1188818441,106.78419182,10730.29131238,-3.1046804232,0.01946316886999945,0.0195343755,-0.2387457028,0.0057489561,-0.10896783955580873,-254572268918.0,-59784934093,1.1134551898,0.3545190408,1.1134551898,3.477014304536138,0.6462925396,0.0,117.42395851404622,0.0,117.42395851404622,0.0,2.4845353982,0.007053761240070805,1.072358908185
AIC,2022,3,0.8948078163,950000000000.0,100000000.0,73.6277416764,0.4344991566,5.0692928294,-254.31162546,10616.80489003,-2.6421716271,-0.062081147705370404,0.0120905862,-0.2677303163,0.0035007475,-0.12580857601763876,-281459967230.0,-51536713876,1.0467339,0.3404908321,1.0467339,3.563238456252077,0.5932166539,0.0,100.72441898164996,0.0,100.72441898164996,0.0,2.5632384563,0.00800246885574629,1.061680489003
AIC,2022,2,0.8686320293,944300000000.0,100000000.0,19.664001848,0.4659648369,2.2237103615,185.46825467,10871.11651549,-2.1385904484,0.03276705656052744,0.0451454561,-0.268958072,0.0136704975,-0.15746919799009987,-289726977420.0,-89130792879,1.023776857,0.3486118776,1.023776857,3.510626692380713,0.5769033779,0.0,94.61347481998325,0.0,94.61347481998325,0.0,2.5106266924,0.007056292346853061,1.087111651549
AIC,2022,1,0.9812185991,1048500000000.0,100000000.0,33.8786648853,0.5966965947,4.7928266777,162.93942152,10685.69227001,-2.9345579127,0.03151895210808493,0.029433691,-0.2397270928,0.009272535,-0.10272519246887052,-253598593480.0,-53104504804,0.9412992177,0.3710779539,0.9412992177,3.438696311316816,0.5264670667,0.0,93.9306936623509,0.0,93.9306936623509,0.0,2.4386963113,0.00717581748776378,1.068569227001
AIC,2021,4,1.3282645902,1397700000000.0,100000000.0,81.0414128978,0.93919279,9.8146532213,34.93140256,10522.75284849,-4.8239632791,0.007900371247686772,0.0165248798,-0.2438608239,0.0053863968,-0.20461895703590424,-254212268981.0,-90472041573,1.0985992377,0.3614738027,1.0985992377,3.299531774784153,0.4647833905,0.0,192.10007079408646,0.0,192.10007079408646,0.0,2.309555091,0.00792733223275748,1.051330029737
