ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
PAP,2024,3,1.9647380107,4872000000000.0,232000000.0,928.2930600523,-5.0482415556,42.74118724137931,10688.4479690043,-1645.4340551596,0.0,0.0,0.0021326662,-0.0010005451,0.0008652609,0.0,-4700395364.0,-628115860,2.6010383423,0.5547407748,2.6010383423,0.0,2.698701417667419,2.3366059724,1.6987014177,0.0017981830642227552,1.068844796900431
PAP,2024,2,2.4181989671,5972608000000.0,232000000.0,-771.9425622865,-20.5036408641,-8.294988038793104,10645.9395403836,-1474.7763227907,0.0,0.0,-0.0033098285,-0.0014935214,-0.00144614,0.0,-5567357765.0,-1551033625,1.0522538078,0.1331777341,1.0522538078,0.0,2.7704406137002633,2.1376988747,1.7704406137,0.0022021555765759726,0.8990767126590518
PAP,2024,1,2.881526336,6016000000000.0,200000000.0,-882.984652452,5.602832593,-7.47489057,10438.91205297,-1300.3902237174,0.0,0.0,-0.0032595632,-0.001929637,-0.0015713801,0.0,-5678564691.0,-1494978114,0.4278597063,0.0605913593,0.4278597063,0.0,2.2229128560148133,1.323476834,1.222912856,0.0022644970721134145,0.899906211462931
PAP,2023,4,2.2495816139,4700000000000.0,200000000.0,-691.2361337202,147.991678988,-9.176291125,10446.38694354,-972.6805472949,0.0,0.0,-0.003249069,-0.0020072174,-0.0017886516,0.0,-5817977335.0,-1835258225,0.4481828218,0.0860674214,0.4481828218,0.0,2.1236216519735174,1.1577565152,1.123621652,0.002379165795248415,0.9005505985810345
PAP,2023,3,1.4219224413,2973400000000.0,200000000.0,-780.115805055,-108.9200828002,-8.289642065,10455.563234665,-644.8449736817,0.0,0.0,-0.001768422,-0.0023221167,-0.0009862297,0.0,-6098261658.0,-1657928413,0.5087288415,0.0782292195,0.5087288415,0.0,2.038917883990306,1.0014516664,1.038917884,0.002519223843692237,0.9013416581607758
PAP,2023,2,1.1499588289,2406600000000.0,200000000.0,-328.4797779456,8.6310447124,-9.125453515,10463.85287673,-477.3368520281,0.0,0.0,-0.0034221413,-0.0026686228,-0.0021305635,0.0,-6462849220.0,-1825090703,0.6107775403,0.0847881125,0.6107775403,0.0,1.9122820013819959,0.740224321,0.9122820014,0.002659261576764044,0.9020562824767241
PAP,2023,1,1.4131605674,2960000000000.0,200000000.0,-427.1934226659,-2.0642279384,-7.40567863,10472.978330245,-570.0328668851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1426404026,0.0,0.0,0.0,0.0,1.711061707971737,0.0,0.0,0.002798854220422538,0.9028429595038793
PAP,2022,4,1.450260039,3040000000000.0,200000000.0,-559.0910139344,2.4421519351,6.31157457,10480.879008875,-543.8493006066,0.0,0.0,-0.0023595779,-0.0032217019,-0.001793081,0.0,-5911434756.0,-2377812676,0.7179116118,0.5940677473,0.7179116118,0.0,1.5107237477069626,0.0,0.5103704618,0.002940581270723103,0.9028990524892241
PAP,2022,3,1.7139244449,3600000000000.0,200000000.0,-1395.9562706812,-406.0000841121,-23.13118267,10502.21324155,-3196.9797401349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2022515975,0.0,0.0,0.0,0.0,1.1703120014230222,0.0,0.0,0.004263791473362183,0.6527453971443965
PAP,2022,2,0.9273615164,1410000000000.0,150000000.0,-688.189930224,-200.1532393416,-6.8353291333333335,10136.2843220667,-1342.2734897177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1025299370,0.0,0.0,0.0,0.0,1.1628557082870565,0.0,0.0,0.004446489987964189,0.6547394646155172
PAP,2022,1,1.1444035735,1740000000000.0,150000000.0,-849.2556585743,-246.9976145066,-2.8119402133333335,10136.2843220667,-1614.4334834159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-421791032,0.0,0.0,0.0,0.0,1.0496575193331017,0.0,0.0,0.003179532230666023,0.6551814039991379
PAP,2021,4,1.26279015,1920000000000.0,150000000.0,-937.10969222,-272.5490918694,-3.8776343466666665,10136.2843220667,-1625.85154624,0.0,0.0,-0.0015321093,-0.0011687608,-0.0014046509,0.0,-1180779975.0,-581645152,0.8396532729,0.7779671695,0.8396532729,0.0,1.0478741491774828,0.0361736762,0.0478741492,0.00332888122851974,0.6553632104784483
PAP,2021,3,2.2871633053,2539950000000.0,150000000.0,133.6112428343,-114.1972623938,-2.221382246666667,7403.4940839333,-158.6870670745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-333207337,0.0,0.0,0.0,0.0,1.0472524178987697,0.0,0.0,0.0034777859570007627,0.6556131445956896
PAP,2021,2,2.2421845431,2490000000000.0,150000000.0,130.9836786776,-111.9514885571,-37.24767847333333,7403.4940839333,-155.4382038402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3418459933,0.0,0.0,0.0,0.0,1.0464867135899232,0.0,0.0,0.0036271651706206026,0.6557567615176724
PAP,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4346720992,0.0,0.0,0.0,0.0,1.0103911940541204,0.0,0.0,0.0012685887008478016,0.6562603933577587
PAP,2020,4,2.0800989135,2310000000000.0,150000000.0,121.5149790142,-103.8586098662,-20.508199833333332,7403.4940839333,-144.2986835933,0.0,0.0,0.0125715867,-0.0132398306,0.0115990176,0.0,-15981642434.0,-5618148795,0.3198778511,0.2817340809,0.3198778511,0.0,1.1494291975596804,0.1338386068,0.1494291976,0.0018944175944937012,0.4786741864612069
PAP,2020,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3270601410,0.0,0.0,0.0,0.0,1.0142789595056827,0.0,0.0,0.0020439432631255174,0.48000014765732757
