ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
PAP,2020,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3774425623,0.0,0.0,0.0,0.0,1.015923162081787,0.0,0.0,0.002193488744108819,0.48114098519051723
PAP,2020,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4683600992,0.0,0.0,0.0,0.0,1.0163187940862488,0.0,0.0,0.0023545211287402793,0.47978401586508623
PAP,2019,4,0.0,0.0,90000000.0,0.0,0.0,69.71493281111111,12303.1285352778,0.0,0.0,0.0,0.0212768852,-0.0160138374,0.0208810881,0.0,-17041486678.0,-5147983615,44.2396845545,43.9549389749,44.2396845545,0.0,1.018077293555957,0.0,0.0180772936,0.0025225331101678345,0.4772765380064655
PAP,2019,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4014411506,0.0,0.0,0.0,0.0,1.0184789365018496,0.0,0.0,0.002745463748071425,0.4745979838189655
PAP,2019,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4192801327,0.0,0.0,0.0,0.0,1.0178067241582593,0.0,0.0,0.0028701979993626422,0.47122686470086206
PAP,2019,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4316532323,0.0,0.0,0.0,0.0,1.018217113282323,0.0,0.0,0.003046110791168453,0.4684001226219828
PAP,2018,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4175679932,0.0,0.0,0.0,0.0,1.0166999737027145,0.0,0.0,0.00012043233231170177,0.46657074149137934
PAP,2018,2,0.0,0.0,90000000.0,0.0,0.0,-35.857162466666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4755118209,0.0,0.0,0.0,3.5937873124383466,1.0169289212739698,0.0,0.0,0.0001316322941627612,0.46759561886551726
PAP,2018,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5427572858,0.0,0.0,0.0,6.427821048969767,1.1028090630533052,0.0,0.0,0.00012199761995312098,0.46898662947844827
PAP,2017,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4911782745,0.0,0.0,0.0,0.0,1.0164048128994654,0.0,0.0,7.492647825362468e-05,0.4709795355866379
PAP,2017,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4944966059,0.0,0.0,0.0,0.0,1.0212044480246187,0.0,0.0,0.00016895443557961737,0.3809628835413793
PAP,2016,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08194998292353672,10.722353109060117,0.0,0.0,0.0,-17.14978438358507,0.0,-4831707177,0.0,0.0,0.0,0.0,1.0205172252758423,0.0,0.0,0.0003309839544277268,0.3788642651551724
PAP,2016,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4513485797,0.0,0.0,0.0,0.0,1.0985483827376628,0.0,0.0,0.0009373439670239452,0.1792863039150862
PAP,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4418798425,0.0,0.0,0.0,0.0,1.1000371906291286,0.0,0.0,0.0011707891136469486,0.17997081990948277
