ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
FOC,2024,3,1.9622231333,1532018592048.0,18419884.0,11.6010594639,2.3955573495,21.2565419735,2468.3865550401947,42386.6167870004,11.989584199,0.5089596386957377,0.22568551771224368,0.0,0.0,0.0,0.25486823995752417,0.0,51346647337,0.0240465541,0.0,0.0,0.0,1.182425594331549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008393807381435336,4.273577164435048
FOC,2024,2,1.9824417793,1547804432636.0,18419884.0,11.7205961825,2.4202410489,21.4755682861,1820.2921811016834,42386.6167870004,12.1152064889,0.4806721938636205,0.22179450474664272,0.1793819957,0.1562090437,0.1510652126,0.2179119349487211,125661143439.0,32942627069,0.0238013067,7.6991616442,0.2348556218,7.6891126579,1.1396417951543116,0.7315694259,72.0381026346,50.32221438157498,1.6552558324,15.6045250168,67.58199523077498,220.5097199215,0.1396417952,0.00957795721774519,4.2268688239929295
FOC,2024,1,2.2365595326,1671217655436.0,18419884.0,12.8942745678,2.563551083,-517.0988764373,883.7561827208033,40566.3246058987,14.0409330334,0.36657251011169295,0.12799261231146433,0.1838450206,0.1513676738,0.1521864499,0.08087029490175186,116917324499.0,10285454321,0.0220436685,7.737490285,0.2902034885,7.7245258581,1.137276506586145,0.7654748459,68.901453418,48.99651680930943,1.7318297591,15.7703445809,66.49869114930944,210.7597459198,0.1372765066,0.011251774092220567,4.045346049728565
FOC,2023,4,1.9794585663,1446881888200.0,18419884.0,12.2172657693,2.3338367702,859.0737529802,2622.994471409266,39682.5684231779,14.305280265,0.5317626655031991,0.2332865610694267,0.1636430551,0.1307269669,0.1269539636,0.2455215914003622,99456795305.0,50849212964,0.0,4.8477342076,0.4205171567,4.8396684703,1.2456387149449353,0.6645838875,58.909833952,58.439978095215515,1.4056297695,26.4319473334,86.27755519811552,259.6700837677,0.2386449218,0.012849545343863622,3.9349980289774256
FOC,2023,3,1.8233367158,1257949138012.0,18419884.0,10.4350928184,2.0147688023,-15253.4882792938,1842.302366290689,37454.9579388774,12.2298111693,0.4754390459288814,0.2202721499196137,0.1734930982,0.1395482625,0.1370374078,0.1809947425672822,100886641979.0,27883941958,0.0,5.0058536487,0.182674462,4.9912176994,1.2264901648076674,0.7097578981,58.5405704593,47.159203831753096,1.6621713185,19.8054261285,68.62680127875309,219.5922862644,0.2264901648,0.014810024301186723,3.7597115616436874
FOC,2023,2,2.2190145253,1455631333100.0,18419884.0,9.4875490074,2.1277459796,29.7411461811,1687.3257632892803,35612.6555725867,9.6726282842,0.38159752041087075,0.1900192062477405,0.2211020932,0.2185806388,0.1715564483,0.1472657122768935,148638446127.0,24087402582,0.0,5.2724741126,0.16142517,5.2595430977,1.210611540916982,0.7649645337,61.5136263509,44.86232554012222,1.613601262,21.4595992558,67.93552605792223,226.2021036981,0.2106115409,0.014857619633043379,3.5759893071377045
FOC,2023,1,2.1528398195,1543586279200.0,18419884.0,7.977121753,2.144905259,14.5135697067,29.244330420321866,38925.3298092974,7.0165402417,0.23086076021515034,0.0056567125336359474,0.2825807587,0.277034721,0.2153783877,-0.1361564697142487,204255074761.0,-12965902349,0.0,4.517683376,0.6199025777,4.5132601014,1.2570441862729764,0.801014224,60.4724873583,44.683871102923455,2.5202404115,23.2456946436,70.44980615802345,144.8274531034,0.2570441863,0.015043830584415606,3.906343424176187
FOC,2022,4,2.7238987856,1951568289916.0,18419884.0,7.8880435934,2.5167605902,11.575459085,2985.6788141011093,38896.0854788771,6.2209277224,0.5909798669696804,0.2600124169649729,0.362047539,0.3815046816,0.262922567,0.2737719696418021,279539098559.0,57906173801,0.0471925172,3.7174805652,0.6962867358,3.7120154433,1.3319026160713747,0.8240532209,58.1203797011,47.634319654854174,4.145288583,25.6315496984,77.41115793625417,88.0517707483,0.3319026161,0.01623839282614487,3.9034271882910088
FOC,2022,3,2.8588944354,1961791325536.0,18419884.0,7.3449825842,2.5745217378,9.5805811497,3627.088831395464,37253.5616148831,5.6946326358,0.5736219174807163,0.3124699583170924,0.4015587157,0.4383347909,0.2983582176,0.3524159182263725,307169167041.0,75351574282,0.0469465936,3.8623805352,0.9893407788,3.8519067538,1.3177866969257117,0.8512011686,56.3541328374,46.47164664594969,6.0976967896,22.0172518058,74.5865952413497,59.8586667379,0.3177866969,0.017529710969400866,3.7396319059296124
FOC,2022,2,3.5388784535,2191966196000.0,18419884.0,9.0104517981,3.2282875441,13.2921665065,3863.0301425893886,33626.4727834877,7.0828268598,0.5875750714450458,0.3573952009775808,0.3796875501,0.4540597776,0.2788022582,0.39981853120623895,287085650299.0,79602955137,0.0420168067,3.9456879579,0.8496892985,3.9208375928,1.3079537246015716,0.7781631203,56.6736711095,50.96973758327336,7.0296679487,29.7659777166,87.76538324857336,51.9227938881,0.3079537246,0.020723236661668358,3.377932155739114
