ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
VNB,2024,3,0.7079798329,752004576960.0,67894960.0,10.5802387035,23.4088594212,-20.3353782742,293.36449534693,15644.5134248993,-55.8829308109,0.4238678155652082,2.363397931137852,0.0,0.0,0.0,-0.3333950342316191,0.0,-2809747960,0.0,0.0,0.0,1.0229117435149688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030755937710272045,1.5934357550497746
VNB,2024,2,0.6874614574,730210294800.0,67894960.0,10.2736066501,22.730433647,-19.7460268453,244.67415756633483,15644.5134248993,-54.2599257662,0.4402753862092335,2.2315016944218153,0.068606733,-0.0135953679,0.0669316562,-0.6025706042300464,-13428351459.0,-4485763355,63.0778387478,0.0947597697,62.4877180947,1.0160924172210264,0.030251491,9.0917590999,18.906355435557156,237.3776713509,124.113686378,380.3977131644572,1.5376340914,0.0160924172,0.0032105761034257768,1.5641057853708058
VNB,2024,1,0.7738392455,809104238320.0,67894960.0,11.4483426179,24.1225789583,-34.6831390656,270.4247291551538,15399.839267333,-64.7983571376,0.452535538954939,2.5163578933570445,0.0694092068,-0.0128859542,0.0675938446,-0.3957817930542565,-12460760463.0,-2887801532,33.4249923416,0.0527894365,33.1095226604,1.0306975322551593,0.0320793848,9.2770710461,19.617035120645152,220.998385164,122.2941542282,362.90957451284515,1.6515957785,0.0306975323,0.0033401234230815316,1.5396437739942712
VNB,2023,4,0.7455014185,765787253840.0,67894960.0,11.129778707,22.3919309822,-35.2461941616,267.93101521821353,15129.4145381778,-63.3095003074,0.36481316098663674,2.01476961218932,0.0693036607,-0.0127098412,0.0677045936,-0.4382029092680581,-12043263000.0,-3956492903,36.5234494676,0.0663610292,36.1468002871,1.027863016336757,0.0336521734,9.1473958003,19.05309887117976,193.7775952564,124.2265689709,337.0572630984798,1.8836026916,0.0278630163,0.003479766293167778,1.5126072742393015
VNB,2023,3,0.5966429924,602024610320.0,67894960.0,9.6390294723,17.3578100967,-29.3633203107,263.82738648052816,14861.4835229596,-46.7816121169,0.4308363600676226,2.1439183352206315,0.0635140061,-0.0136865318,0.0620538279,-0.3723159505587948,-12797556390.0,-3110719245,39.4642017847,0.1299390348,39.0267018456,1.0256679077834834,0.0344593398,9.1760712864,19.927378841642078,195.4153577029,120.937984266,336.2807208105421,1.8678163492,0.0256679078,0.0036238838174476257,1.485820090796696
VNB,2023,2,0.6205790789,615060442640.0,67894960.0,11.0424881354,17.1974843904,-42.7983923416,238.75357044175297,14597.6561364791,-51.8669746237,0.4040974992283724,1.8293917212587743,0.0575560134,-0.012874854,0.0563636576,-0.39704196341605347,-11747935939.0,-3518172359,44.4524268689,0.256944136,44.0354814442,1.0229729901589926,0.0361910501,9.2609630955,20.02645607720197,169.122972903,105.5685145794,294.71794355960196,2.1581929039,0.0229729902,0.003772232475137869,1.4594431795866174
VNB,2023,1,0.7238018332,705632319280.0,67894960.0,14.7059454488,19.9393451934,-60.8500595229,242.89541868792617,14358.9025660373,-61.0295167998,0.4420042429264533,2.0732566403507646,0.0503060043,-0.0126683143,0.0494087516,-0.3105607868796757,-11337877466.0,-2470304069,38.8992430797,0.5445433696,38.5053250428,1.0262725882704151,0.0364406353,8.9729050356,19.73625537321344,161.2018807524,103.1952516089,284.1333877345134,2.2642415727,0.0262725883,0.0039191863846776255,1.4355730961481938
VNB,2022,4,0.5447007727,522044347440.0,67894960.0,13.0505860577,15.4888719811,-39.937313842,174.4295159022113,14116.0071473494,-42.121132349,0.33844807332370536,1.2449331977791185,0.0426272286,-0.0133298529,0.0420091232,-0.49520148522277485,-11762982013.0,-4710786293,53.5843243298,0.7506521377,53.1663883245,1.019068839168269,0.0353959719,7.1909684608,19.969990701591257,157.5020337561,95.5218435779,272.9938680355913,2.3174303931,0.0190688392,0.004072304422382237,1.4112889193705902
VNB,2022,3,0.53774402,509008515120.0,67894960.0,13.3603742263,16.1099907266,-29.9351840664,164.29819711212733,13941.5776314472,-41.2749679365,0.41258691423890254,1.1821267323572653,0.0408858782,-0.0134290998,0.0403792388,-0.2184200554584328,-11688301990.0,-2061098794,65.3009998599,1.8489900749,64.8095485783,1.0160916857274722,0.0334874024,7.1513497278,22.85678654948728,161.7294273715,94.7980253168,279.38423923778726,2.2568558235,0.0160916857,0.004210007129820191,1.3938498205918544
VNB,2022,2,0.6875087382,643101061120.0,67894960.0,18.8250785788,25.5748682973,-29.5203130702,125.09783609858523,13777.279434335,-43.9385923214,0.43156568623848746,1.0009630140883876,0.0370400279,-0.0166808492,0.036577292,-0.36629215708927765,-14562509000.0,-3108113886,99.51206174,0.3502326745,98.7585272445,1.010865876951966,0.0269237123,5.2182673543,29.73974032198119,208.1950609817,123.6716486388,361.6064499424812,1.7531635874,0.010865877,0.0043479995024888335,1.3774236299108407
VNB,2022,1,0.8050727952,746233505360.0,67894960.0,22.422129361,32.3634692925,-36.2047189126,125.34339441395944,13652.1815982365,-47.4343043205,0.47983882783467285,1.357314338044683,0.0364222753,-0.0181527477,0.0359337235,-0.46179721644643634,-15682638589.0,-2895408616,82.476817445,0.2107543667,81.8165496917,1.012980312037087,0.0248956807,4.4089769806,32.683795539096835,235.4035958577,146.9282254203,415.0156168170968,1.5505285664,0.012980312,0.004476432325719789,1.3649166094708347
VNB,2021,4,1.3686864381,1257007289440.0,67894960.0,38.3886830325,54.314936123,-56.1551501985,146.39754900805596,13526.8382038225,-76.9516997986,0.29943010328727615,1.3424313752864097,0.0363005013,-0.0193709349,0.0358656372,-0.6275970322206358,-16327260420.0,-4646865795,107.3877134609,0.118014087,106.5784144741,1.0101686617260421,0.0253490969,3.9926661786,37.95914833099574,211.1483801746,147.8553618761,396.96289038169573,1.728642198,0.0101686617,0.005957283491010474,1.3523850386232006
VNB,2021,3,1.3637069564,1238879335120.0,67894960.0,36.5411494106,47.0902625907,-58.0849237462,106.31981077829636,13380.4406548144,-79.6083217016,0.35691503615992687,2.417158252381536,0.0377863825,-0.0190729802,0.0372378505,-1.6585266435260364,-15554686515.0,-4953008801,11.3356169174,0.0402106808,10.7524210084,1.0166621795068205,0.0288958648,4.5183759419,33.002193051624054,197.9350382939,140.5073856016,371.444616947124,1.8440393532,0.0166621795,0.006150609670832695,1.3377485173618127
VNB,2021,2,1.4439299089,1290343714800.0,67894960.0,35.8816088353,36.0143684511,-52.4924384437,112.12462574541615,13161.9962182907,-89.826122916,0.4221200342821043,1.1899643649963303,0.0,0.0,0.0,-0.6769543700291842,0.0,-4330758668,0.0,0.0,0.0,1.0146307287980632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006336750607458204,1.3271188846834838
VNB,2021,1,1.460492746,1305144816080.0,67894960.0,36.2931947719,36.4274772289,-53.0945616524,117.43556445132305,13161.9962182907,-90.8568636366,0.3755828809995567,1.2546641779488024,0.0408769047,-0.018634176,0.0401942006,-0.6073588875306009,-14359674537.0,-3859713498,14.9224909337,0.0542122437,14.2683685527,1.0133997064404103,0.0400460329,5.7350153276,27.401313653581784,147.7204667196,98.9875861763,274.1093665494818,2.4708830679,0.0133997064,0.00656892780011696,1.3159088987256067
VNB,2020,4,1.3492516454,1194951296000.0,67894960.0,31.7571786145,32.870147581,-47.5944172564,163.47484402376847,13044.2679543666,-86.7822181964,0.2836448752349565,1.0500695108919003,0.0434408762,-0.0180804885,0.0426688213,-0.39580777115972604,-13720291429.0,-4183644140,14.5247656144,0.1373627311,13.8761547489,1.0141933561337186,0.0411932168,5.4877117508,29.70598057886103,137.017477216,123.1373036333,289.860761428161,2.6638937413,0.0141532863,0.00691198501371999,1.304138672723412
VNB,2020,3,1.0179497402,890238715520.0,67894960.0,25.3313180245,24.2111928025,-38.8985195949,138.23871696809306,12880.7931103428,-57.933357603,0.258077665658211,0.7083835848380845,0.0408013977,-0.0201481157,0.0399684928,-0.22490728472670385,-15328232586.0,-2979903942,53.5459324577,0.1375985522,53.0321683111,1.0190297237797732,0.0418176259,5.447106063,25.42321875738492,147.334307305,107.1144279544,279.8719540167849,2.4773591886,0.0190297238,0.007287305632652916,1.2877947991649532
VNB,2020,2,1.161462572,1004845408000.0,67894960.0,27.8958989378,28.3768713469,-52.3351803339,110.50939926910628,12742.5543933747,-66.7840286123,0.30259087983986904,1.3269600222916753,0.0422516667,-0.0200161415,0.0413688836,-0.9955000652657167,-15027210007.0,-5628856911,47.3610163031,0.0700635391,46.6319294638,1.0214797161982598,0.0406671513,5.0656578263,27.872648796818353,156.1682804771,116.2193702379,300.2602995118184,2.3372223789,0.0214797162,0.007657080737025063,1.2739739808947024
