ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Payable Outstanding,Cash Cycle,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
HNB,2017,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17769018025569028,0.07357239786623634,0.0,0.0,0.11305487284489645,0.0,3673614396,0.0,0.0,0.0,0.0,1.162190436876284,0.0,0.0,0.0,0.0,0.0,0.0,0.7447800497195756,1.0688144306210525
HNB,2017,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18604015343935779,0.0781780592095747,0.0,0.0,0.12068620260160633,0.0,3444186839,0.0,0.0,0.0,0.0,1.1051758103665088,0.0,0.0,0.0,0.0,0.0,0.0,0.7310862858309051,1.1276734642526316
HNB,2016,3,2.2208584978,228000000000.0,9500000.0,22.736570423,1.834224688,350.7102687118,253.13962305263158,10806.6317703158,8.9835894885,0.16871107330958154,0.07351651417077766,0.0971603723,0.0850550805,0.11418097205787855,23747068709.0,3735016836,0.0291666667,2.2217978598,1.1169207006,2.2217978598,1.1279021498833455,1.0541471465,1.528463594,1.7272749285424838,4.3315424408,6.058817369342483,0.1279021499,0.8104382260368712,1.0806631770315789
HNB,2016,2,2.7005279013,270750000000.0,9500000.0,23.9622204872,2.2376564815,54.2655249101,208.76636378947367,10553.4921472632,0.0,0.1986627991311471,0.06265745580003124,0.0,0.0,0.13059223908762949,0.0,4133602812,0.0245614035,0.0,0.0,0.0,1.197719320904355,0.0,0.0,0.0,0.0,0.0,0.0,0.7943156577512811,1.0553492147263157
HNB,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1862802514079197,0.10213105749283774,0.0,0.0,0.1184828192995855,0.0,3572804504,0.0,0.0,0.0,0.0,1.1193153553385506,0.0,0.0,0.0,0.0,0.0,0.0,0.7621793556412862,1.1159200315578948
HNB,2015,4,3.7567289997,389500000000.0,9500000.0,45.8175491177,3.4076094541,20.5826172974,269.65444084210526,10913.7497016229,16.0267212303,0.15354160061902114,0.08600852080688434,0.0,0.0,0.09442093401207387,0.0,2812276357,0.0170731707,0.0,0.0,0.0,1.1266039480102812,0.0,0.0,0.0,0.0,0.0,0.0,0.7854247335008603,1.0944561526736842
HNB,2015,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20698530719500866,0.12495418443809081,0.0,0.0,0.1419398176739754,0.0,4173783021,0.0,0.0,0.0,0.0,1.1875554742625505,0.0,0.0,0.0,0.0,0.0,0.0,0.815398305937138,1.0733738664842105
