ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),Biên EBIT (%),EBIT (Bn. VND),Dividend yield (%),Interest Coverage,Financial Leverage,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
CDG,2021,3,0.2361994308,11087715200.0,3464911.0,2.4157032827,0.3533099371,4.7681265486,117.66675738568755,13547.8734596646,1.559633572,0.44466038616727566,0.09534779248541106,0.07615138700875335,325621479,0.375,-17.30220786795758,1.328836510175863,0.35837524612372884,1.3156705723962083
CDG,2021,2,0.2361994308,11087715200.0,3464911.0,2.4157032827,0.3533099371,4.7681265486,592.4971611103431,13547.8734596646,1.7138334334,0.4569603892594082,0.19843217986608572,0.1139050483689273,1178444753,0.375,-12.11987737749842,1.2890632092699528,0.36991642027413096,1.3039041819107964
CDG,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5628923134095225,0.19348641875437844,0.16562917975990804,696637512,0.0,-10.82800160685979,1.2294573881116375,0.36989278915773405,1.3782409797128135
CDG,2020,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32129655037916643,0.3288770349571316,0.2991419965075746,997106922,0.0,-21.210549672545934,1.2723104163231567,0.3281488431354494,1.3324972933005674
CDG,2020,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3774060310291939,0.14241474373161125,0.14785332784704383,2124518111,0.0,-52.96179055643858,1.2162740209302847,0.3350454814535973,1.3660253963425633
CDG,2020,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36369200655955364,0.10430244024292963,0.09732922604011764,630953763,0.0,0.0,1.2376922082934498,0.36080874070847707,1.3264809886882953
CDG,2019,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30649226608322255,0.04488688787419028,0.06397335912820232,467954342,0.0,0.0,1.4844147463274802,0.3940356845551196,1.2707611030896149
CDG,2019,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1501755070190403,-0.014700051642797746,0.010242351913754309,179364766,0.0,0.0,1.531047663057664,0.39785396802429546,1.2612851869338917
CDG,2019,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5045570537500689,0.20622912660267817,0.21124915957823184,937242106,0.0,0.0,1.4162964166731513,0.3734567672277158,1.4084603774608622
CDG,2018,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4149618605033243,0.16731315806571337,0.17680721851468542,3665179353,0.0,-26.817392350523292,1.4806958730575108,0.41082572194954553,1.3748124573339933
