ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),Biên EBIT (%),EBIT (Bn. VND),Dividend yield (%),Interest Coverage,Financial Leverage,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
ICN,2024,2,3.5528629125,962878112000,20399960,14.5805620035,4.2840233366,-718.0289557049,3633.7992281357415,13285.060854384,13.6746575682,0.5364880130097625,0.40811958215682453,0.4948363836099222,89880283824,0.063559322,-48.307564040277626,3.7958935777327603,0.17585228436613337,1.5839938015221597
ICN,2024,1,3.2092438618,869752294600,20399960,13.170386886,3.8696892999,-648.5839942051,477.2433166535621,13285.060854384,13.708276588,0.23129737041097712,0.2023769865036898,0.15781796284280508,7592144746,0.0703647238,-41.33602445395197,4.926154578671326,0.22766810523556286,1.226230417103759
