ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Payable Outstanding,Cash Cycle,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
ORS,2024,3,1.2307167241,4737596376300.0,335999743.0,11.0519942403,2.2031419215,-1.2356023469,394.1677485628315,11456.7387631573,6.995853901,0.5779232428294876,0.2446089366772477,0.1070459732,0.1165616739,0.0381409495,0.526549346914911,903266086555.0,285093155313.0,2.4923204009,1.1064706188,2.4923204009,-2.0955160448287575,2.9615571383384585,0.2233917657,126.992924932,0.0,0.5789466351,0.0,1.0002698351,1.9615571383,0.0046648758916255605,1.1456738763157328
ORS,2024,2,1.2655285992,4703996402000.0,335999743.0,12.5024311321,2.1008955261,-1.2470296841,299.3794973081274,11062.5710145945,6.5870482333,0.4908389125223216,0.18004371198957664,0.0952542298,0.1211458406,0.0344313898,0.4401811800663408,783605931978.0,245931700150.0,3.1409676226,1.4152756324,3.1409676226,-1.9619940254693524,2.645172896701171,0.2621983762,148.8147097534,0.0,0.5459791453,0.0,0.7263881444,1.6451728967,0.004386996796039236,1.1062571014594496
ORS,2024,1,1.2217426897,4418396620450.0,335999743.0,12.8807246131,1.6976523629,-1.4047703777,223.56542127771806,10763.3138388085,8.4761554596,0.48323308675354165,0.15665073193726053,0.0878393208,0.0972028784,0.0287998456,0.42695986034594663,694417044735.0,204737877593.0,2.7651951005,1.0675813722,2.7651951005,-1.7675306194486122,2.8591155479404478,0.3089545203,188.4066841023,0.0,0.3878873736,0.0,0.9534609573,1.8591155479,0.004659077627282327,1.0763313838808501
ORS,2023,4,1.3828121609,4890000000000.0,300000000.0,14.6174770025,1.7330205397,373.9787924611,196.65776168333332,11787.5735119167,6.2984228494,0.33818250723318777,0.1033744852857633,0.0943512383,0.1759697277,0.0335110773,0.2834300039168962,663105556683.0,161757642643.0,4.9282852722,2.3005519071,4.9282852722,-1.6305933647028976,2.733049510594239,0.4137801195,201.8446446286,0.0,0.445302733,0.0,0.4661028372,1.7330495106,0.006552569577295371,0.7548434504531749
ORS,2023,3,1.4088062033,3490000000000.0,200000000.0,22.3204969067,1.1777392612,4.6360296276,296.601117545,12386.37362535,4.6097430754,0.31137628188911526,0.09414438712336455,0.065244883,0.1814818837,0.0208601479,0.26181338759520373,602315388164.0,164968184980.0,4.442777319,2.4153584346,4.442777319,-1.3769908869587306,2.8475560796619646,0.3953412125,255.3553171007,0.0,0.2588266814,0.0,0.3168804784,1.8475560797,0.004201518253776191,0.7372847083011013
ORS,2023,2,1.5302190333,3700000000000.0,200000000.0,22.0746516715,1.2833011988,5.7402698887,245.880561725,12089.772507805,3.6923115722,0.20501581574649735,0.0533182379867935,0.0709940634,0.1743151693,0.0227420787,0.16831493826339097,595694475945.0,155239081896.0,2.3570802304,1.0107415915,2.3570802304,-1.2197582842419759,3.8753381225083423,0.3911969116,251.4580629138,0.0,0.3187526017,0.0,0.3846226219,2.8753381225,0.004706122840877999,0.7196298663719514
ORS,2023,1,1.3002482689,3080000000000.0,200000000.0,-293.0578035403,1.1744147373,-1.9348586954,305.130897305,11843.89194608,9.1526767268,0.29942537963258203,0.08736285455496737,-0.004525068,0.1333728923,-0.0016064467,0.24675460180311556,362325283081.0,172367199872.0,4.607625569,1.428014339,4.607625569,-1.4151647699671204,2.885006611383704,0.4008649819,224.7812633938,0.0,0.3485758323,0.0,0.1055396322,1.8850066114,0.005611061100316383,0.704994107455612
ORS,2022,4,1.005307238,2320000000000.0,200000000.0,17.099705737,0.8526927477,-2.9104094002,-65.81994566,11538.761048775,4.4748980026,0.20310484412734073,-0.01847950843798296,0.0605714335,0.2155605121,0.0236557344,0.13963424525492316,524319881623.0,99469295580.0,4.7365989273,1.2959958824,4.7365989273,-0.7885975414890151,2.8957390364518427,0.4743866976,200.4881571022,0.0,0.2155490346,0.0,0.0259993251,1.906165072,0.004883698919590694,0.6910544364383636
ORS,2022,3,0.7708432417,1800000000000.0,200000000.0,9.1292939866,0.726714578,-1.4339172208,352.87380586,11675.525597775,3.354290952,0.35644834372659606,0.12832171902856881,0.0860152889,0.1982489707,0.034659085,0.284597314488396,544460220392.0,156523678550.0,5.3275502585,1.2624998455,5.3275502585,-2.2919280657769496,2.8061372739505326,0.4354019934,187.4653709933,0.0,0.0311915669,0.0,0.1481946132,1.806137274,0.004219649427550287,0.6949722933433911
ORS,2022,2,0.8478579202,1920000000000.0,200000000.0,12.0122157457,0.8429608124,-1.1434465495,-644.73411744,11322.651791915,2.6868209212,-0.05478050249262549,-0.19486997877858403,0.0696494123,0.1715203804,0.0279952406,-0.1195183507154353,485813834217.0,-79086125887.0,5.7206362169,1.792977975,5.7206362169,0.9597468443966387,2.6755820318851526,0.4079996394,155.2868587016,0.0,0.0255803764,0.0,0.2190520424,1.6755820319,0.00538068262935568,0.673967884071566
