ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
HNR,2021,1,0.6524393829,240000000000.0,20000000.0,-10.491290962,2.1280134144,7.553386591,-51.5691741,18392.51325655,-20.6351208556,0.31443656179124857,-0.028674668251957088,-0.0609715179,-0.0774923198,-0.0578264001,-0.06487705971510233,-9427119218.0,-2333527529,0.0,10.5512891016,2.2406772384,7.6118938149,394.87137413447874,1.055285771964192,0.2850891749,0.7682772352,38.462497852414025,351.5032547632,13.28883807,403.254590685614,1.0383972127,0.055285772,0.37967977441925166,1.839251325655
HNR,2020,4,0.6506151794,240000000000.0,20000000.0,-7.7537836891,2.3235895845,7.747361558,-504.00754765,18444.08243065,-11.9677958828,0.1914924359625599,-0.36459181988939715,-0.0805307376,-0.0987147164,-0.0756877524,-0.41184847858557205,-16541020554.0,-11386692206,0.0,8.3769532169,1.405047455,5.566835106,4947.788580714965,1.0703432516257967,0.2525688978,0.6691756641,58.22731464831506,419.5170887787,15.5571412756,493.30154470261505,0.8700479903,0.0696261843,0.39128644037389715,1.845390816955
HNR,2020,3,0.6329809763,240000000000.0,20000000.0,-8.34988442,2.2027561437,9.7676247201,-276.4466171,18957.9157172,-16.3799850587,0.1648805528092404,-0.23556474292718949,0.0,0.0,0.0,-0.30121788961750867,0.0,-7069875191,0.0,0.0,0.0,0.0,7168.070590012582,1.04799240508937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3934134288603936,1.89579157172
HNR,2020,2,0.6238834328,240000000000.0,20000000.0,-6.7198553977,2.187776887,10.874199385,-311.7825134,19234.3623343,-14.813536078,0.0989205489463689,-0.24268846954786671,-0.0890146969,-0.1071344517,-0.0847106452,-0.3002825449590446,-13363423604.0,-7715475463,0.0,12.5136949077,1.7677918994,7.20480215,0.0,1.0445290948960992,0.2601925681,0.6760638753,41.69459420705842,441.0570076438,17.467596653,500.21919850385837,0.8275574215,0.0445290949,0.4001790768219988,1.92343623343
HNR,2020,1,0.6139318057,240000000000.0,20000000.0,-4.0376944726,2.2979554549,43.1415518196,-445.56909825,19546.1448477,-6.5538841399,0.14402596219239666,-0.33264352797754076,0.0,0.0,0.0,-0.3749774331887952,0.0,-10045489704,0.0,0.0,0.0,0.0,1235.3785963659627,1.0443731026070882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4060743386813677,1.95461448477
HNR,2019,4,0.6002486847,240000000000.0,20000000.0,-3.6994841618,1.8852791814,8.5365905688,-403.3474126,19991.71394595,-5.6215064781,0.1608225780937808,-0.24445440321364414,-0.1483570048,-0.1743433619,-0.1406461396,-0.2947764755862024,-33848771117.0,-9727566954,0.0,9.1351441246,2.7036606252,4.3029914753,470.5847471217609,1.055646216958659,0.2759899811,0.7024650663,66.29195965514604,426.3756745066,18.7915380908,511.459172252546,0.8560525889,0.0587831694,0.4001035891040205,2.05307215475
HNR,2019,3,0.5732282636,240000000000.0,20000000.0,-3.1358632884,1.7319343092,8.4011519795,-625.05368765,20934.0689601,-4.7510102263,0.10053782599118041,-0.5162116166234891,0.0,0.0,0.0,-0.566740321090293,0.0,-13724725141,0.0,0.0,0.0,0.0,1273.8779292353831,1.0578436790027759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4109989640307796,2.09340689601
HNR,2019,2,0.5566089212,240000000000.0,20000000.0,-2.9994719692,1.6799814934,11.0270652412,-1498.02287365,21559.12264775,-4.7392161646,-0.4515627380760452,-1.4661833037373795,-0.1704004155,-0.1886239722,-0.1615264052,-1.526251661415159,-42009546563.0,-31187913461,0.0,11.3974896561,1.9832353968,5.3027564798,1843.4960142297386,1.0498597301784072,0.2883924178,0.7348167549,55.40963515595062,427.1050418448,15.6141548376,498.1288318383506,0.8545907078,0.0498597302,0.4118553257326858,2.155912264775
HNR,2019,1,0.5204460365,240000000000.0,20000000.0,-3.3616269332,1.6494474686,6.8665466457,-679.38201225,23057.1455214,-3.7993185273,0.0925722702970998,-0.27159071641542276,-0.1452200935,-0.1584690785,-0.1380845067,-0.28603843417016217,-47155458929.0,-14310457261,0.0,8.9395242609,2.1051493623,4.241583788,0.0,1.0638011067820454,0.2814206609,0.7079666806,60.95256636345581,485.5009313853,18.2326880912,564.6861858399558,0.7518008234,0.0638011068,0.4141075708455801,2.30571455214
HNR,2018,4,0.505549937,240000000000.0,20000000.0,-3.062475514,1.7307712054,-2.8123381812,-1024.2388607,23736.52753365,-4.17668191,0.2076086656580096,-0.4667058060763264,-0.1515201511,-0.1707594983,-0.1354122395,-0.4382910412157993,-42894961271.0,-19237588685,0.0,10.7780391978,1.5660392039,4.1398609163,0.0,1.057286043988114,0.2396022457,0.6369953026,66.41018211681946,543.1687502609,20.4299357305,630.0088681082194,0.6719826938,0.0514905169,0.4106944395046103,2.412445921535
HNR,2018,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13188885316583346,-0.5606991600672634,0.0,0.0,0.0,-0.5822475795851643,0.0,-16595387605,0.0,0.0,0.0,0.0,0.0,1.0489203530942248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41901853913886145,2.517228691355
HNR,2018,2,1.1399115117,638000000000.0,20000000.0,-7.5477976566,5.0864746122,-10.5992846709,-1067.01880875,27984.62834425,-12.1702383467,0.03236690612032637,-0.9246715307564666,0.0,0.0,0.0,-0.9936992690488217,0.0,-22933458532,0.0,0.0,0.0,0.0,0.0,1.0383693272421834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42743174641515636,2.597134733195
