ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Payable Outstanding,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
AAS,2024,3,0.6502544474,1620806624487.0,229999521.0,21.1684085873,3.6126748514,-5.7590092953,69.62760541575214,10837.2961202254,18.2219468202,0.0,0.16935742961267705,0.0311018013,0.0394541002,0.0207358016,-0.07365946861093595,143619813639.0,-6965186007,0.0,3.4079970237,0.531895791,3.4079970237,0.2575655783812566,1.489449025851765,0.1215010868,3.4643014383,189.6842081136,0.47470453090000003,0.4894490259,0.09082834651232476,1.08372961202254
AAS,2024,2,0.6695042655,1658066546889.0,229999521.0,19.5804283278,3.2792872652,-1.261229981,84.63689373509608,10767.6685148096,12.312290406,0.4981317405999182,0.15974156955399177,0.034597014,0.0521825275,0.0237280807,0.42850424795800013,193824088374.0,52218432598,0.0,3.1257678948,0.7702043451,3.1257678948,-2.1574247340710277,1.545951425722636,0.1419494939,6.4309772779,107.4499548149,0.5184497109,0.5459514257,0.09159609477584092,1.0767668514809645
AAS,2024,1,0.7620496025,1872426100461.0,229999521.0,16.2955857643,3.3900410339,-1.1804856573,160.9876660917046,10683.0316210745,12.8908851935,0.6350969434193031,0.2924016736808298,0.0471273021,0.055505569,0.0331929756,0.5768912765687033,197058419895.0,73052259558,0.0,3.3447782752,0.8871333175,3.3447782752,-2.8894198346454876,1.5016084580508597,0.1750708316,20.1340936242,115.4270758469,0.4719127403,0.5016084581,0.012935538264851328,1.068303162107455
AAS,2023,4,0.846888688,2049525731631.0,229999521.0,19.4407033192,3.1217919373,-1.6600925477,17.649572313674515,10522.0439549828,15.919285119,0.28846558646617887,0.038444064988988405,0.0439835482,0.0456424243,0.0296028203,0.20406854309127245,156125166462.0,21548045242,0.0,3.5284069211,1.2774540119,3.5284069211,-1.0066715310451548,1.461852906568554,0.2235463936,34.3816491585,106.6775051576,0.4443649623,0.473829011,0.013629009619157076,1.0526467628513017
AAS,2023,3,0.8027544063,1940275959156.0,229999521.0,12.7624470085,2.403348777,-1.0257132392,104.19792945134003,10508.8180561993,23.7075082391,0.32652368821065986,0.15815374720242792,0.0631498662,0.058770187,0.045880929,0.2798942801426578,100227794618.0,42413152858,0.0,4.278547825,1.0515176143,4.278547825,-3.387076926634659,1.3199422656628597,0.3305904179,58.7421394908,95.5206494109,0.238974012,0.3199422657,0.009460056116694955,1.0508818056199343
AAS,2023,2,0.8417464745,2014399687768.0,199999969.0,8.307228618,2.0472927698,-3.7151034422,198.34326710320641,11965.5980813627,13.1490485135,0.36903310347928797,0.2353167360836247,0.1117057789,0.1317694346,0.0803079452,0.33482809308915273,168275415981.0,56443828614,0.0,3.7614651144,1.2394992278,3.7614651144,-7.019819399949518,1.3812035707451216,0.457529637,104.6611875016,87.8431675643,0.1694509741,0.3812035707,0.013862509157812985,0.6926619839956102
AAS,2023,1,0.960886964,2261400000000.0,200000000.0,5.5340382288,2.0030062493,-2.6678767754,101.314843505,11767.252990335,8.8012691303,0.17732115397439924,0.0877862356900103,0.167691864,0.1942489982,0.1214714749,0.14909161897587137,255676325297.0,34413581869,0.0,4.1348206409,1.448623029,4.1348206409,-3.8321211049923956,1.3352559920084037,0.5442315081,215.2461842584,80.1013893111,0.098475504,0.335255992,0.0031095984545700095,0.6754147101319398
AAS,2022,4,0.5917084006,907200000000.0,80000000.0,2.8447102835,0.7396124742,-1.7414903995,351.8365017875,19164.845367075,1.3645127985,0.2080362774250261,0.10978087837975598,0.2321466498,0.2124693606,0.1613705349,0.16376491865726478,406088531521.0,41987986940,0.2645502646,2.9826933247,1.426988409,2.9826933247,-3.97999662892247,1.5020154497043763,0.6206661409,286.4685910236,94.7007244234,0.2427806266,0.5046675793,0.0033868759831362965,0.6667100108704139
AAS,2022,3,0.5767000299,867520000000.0,80000000.0,1.648195372,0.6378501182,-14.4916904499,1057.831120175,18803.536391475,0.7724555449,0.35320219331564656,0.2578941358644822,0.3870880101,0.4188657502,0.2753505361,0.33808675206644473,665971008888.0,110941239189,0.2766506824,5.1428218751,3.0881581831,5.1428218751,-29.08135593713682,1.3456427751349265,0.7115017562,272.5845283783,137.2573435788,0.0467992641,0.3456427751,0.0036533976113474705,0.6540374105031288
AAS,2022,2,0.6550317287,929920000000.0,80000000.0,1.5710223666,0.7240503769,-1.6975517002,1486.937676825,17745.7052713,0.7435193061,0.47339490937922146,0.37926624710944096,0.4704631892,0.506214463,0.3353702141,0.45930183113123146,731424414515.0,144057785885,0.2580867171,5.469021898,3.4850189305,5.469021898,-56.35356022787212,1.335706371694467,0.7454318066,219.5482322872,167.046330662,0.0007278756,0.3357063717,0.0038465608069066883,0.6172432079560722
