ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
IRC,2021,4,0.8082855695,152250000000.0,17500000.0,11.4018192607,4.6201050434,-17.370583116,848.1270502857143,10763.5226064571,-17.4010022731,-0.9616009419537518,4.669568469403806,0.0704469995,-0.0633887927,0.0655655865,-1.8350795730690577,-8391129583.0,-5832800423,0.0,9.1518024712,0.7649845656,7.5253823644,0.0,1.0791807442479027,0.1618073529,0.7924890085,0.0,288.9398649834,0.0,0.0,1.2632386328,0.0791974979,0.2020280810782196,1.0765800032171429
IRC,2021,3,0.8772219064,152250000000.0,17500000.0,10.4645173181,3.9137675465,20.8931091963,-15.018695714285714,9917.6729818857,-18.7333778694,0.06815443854451118,-0.2824522390193,0.078626593,-0.0695506055,0.0736519063,-1.86813863875966,-7794326574.0,-1738338498,0.0,6.2555508029,0.3205152993,5.1488680095,0.0,1.1120998382154226,0.1969283152,0.8823969935,0.3752869285170633,195.005186232,0.1080705403,195.48854370081705,1.8717450907,0.1120998382,0.24511971308882033,0.9917672981885715
IRC,2021,2,0.8217088545,152250000000.0,17500000.0,11.0074480225,3.2700064577,10.8688416173,-59.225878571428574,10587.6916776,-16.0230623948,-0.007716279191341326,-0.05434599003535675,0.0746296505,-0.0678271535,0.0711208975,-0.14831721800046963,-8170739074.0,-2828613609,0.0,10.8147897743,1.8520217685,10.0414173894,0.0,1.0621584390182104,0.2394061274,1.0111350237,0.348070441075752,173.7844993306,0.0905156996,174.22308547127574,2.1003023941,0.062158439,0.23814591433481308,1.05876916776
IRC,2021,1,0.8631289594,164500000000.0,17500000.0,10.3061362672,5.8311902913,-114.1778620854,-8.568924114285714,10890.6089847429,-20.922317487,0.015830658419792497,-0.01534329629402255,0.08669018745422363,-0.06078285351395607,0.08351997286081314,-0.15759763920437106,-7354919936.0,-1540264767,0.0,21.444482803344727,1.8374078273773193,17.203332901000977,0.0,1.0303213365260488,0.1476144939661026,0.5871918201446533,0.3079364637996386,329.5389099121094,0.0,329.846846375909,1.1076081991195679,0.030321337282657623,0.23387133590807402,1.0890608984742858
IRC,2020,4,0.8624503681,164500000000.0,17500000.0,10.4556644598,8.6597297404,-22.8692267222,914.1944150285715,10899.1779088571,-19.3662200758,-0.2393677813653402,1.7530883970893159,0.0841274247,-0.0628399899,0.0802216736,-0.6535219404106322,-7948187779.0,-5963935936,0.0,9.8652528337,1.0363461475,7.5697640633,0.0,1.0694225617472068,0.096858785,0.3868891834,1.0871137784258762,475.4701540459,0.0,476.5572678243259,0.7676612231,0.0697632608,0.2364682371415891,1.0899177908857143
IRC,2020,3,0.9414136744,164500000000.0,17500000.0,26.9064719044,7.5705203223,-36.9923257542,-56.025678057142855,9984.9834938286,-38.2985663537,-0.02708682145903009,-0.11415274507578073,0.0339077948,-0.0479802801,0.0333136435,-0.26016212715793885,-4019115293.0,-2234512998,0.0,16.8770419229,1.7514651803,12.2022851194,0.0,1.0345491899781667,0.1184003971,0.4170786592,0.977254534745372,444.8877972802,0.0,445.8650518149454,0.8204315835,0.03454919,0.28835888318060104,0.9984983493828572
IRC,2020,2,0.9117613315,164500000000.0,17500000.0,24.6690956049,10.7238174894,-11.1313822024,62.47817217142857,10309.7155748,-41.2063704381,-0.050130146773746886,1.5139407546386043,0.0368791158,-0.0439765792,0.0364874577,-2.555561175574633,-3842835370.0,-1845626281,0.0,35.4347626454,2.1225785658,26.1501517152,0.0,1.0160611335698753,0.0839358356,0.2843865829,1.3843036971180627,620.7663911293,0.0,622.1506948264181,0.5879828631,0.0160611336,0.2888199910792031,1.03097155748
IRC,2020,1,0.9000322765,164500000000.0,17500000.0,24.836700281,7.1208401569,-21.2880955869,-29.906299828571427,10444.0698906857,-77.177345798,0.07072194057351389,-0.9362269852059891,0.0,0.0,0.0,-3.4735493103880075,0.0,-1941748800,0.0,0.0,0.0,0.0,0.0,0.9948945536269906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28889123492305163,1.0444069890685714
IRC,2019,4,0.9261048358,169750000000.0,17500000.0,20.4742740717,5.4689082791,-54.8583768806,372.8121323428571,10473.9761905143,538.6712539449,0.0055120546235236925,0.5501538641403316,0.0453523341,-0.0211126819,0.0442104184,-0.1991799340287682,305620808.0,-2362052261,0.0288659794,21.6814921201,3.2347810457,16.5358528705,0.0,1.0265224251997753,0.1655131477,0.5486900948,1.227511993973558,334.2703313356,0.0,335.4978433295736,1.0919305897,0.02675509,0.28967365745472684,1.0473976190514285
IRC,2019,3,0.9602853636,169750000000.0,17500000.0,22.0742030242,8.1273267341,-28.4459493891,-24.340445142857142,10101.1640581714,582.8278139645,0.10181345432557885,-0.19365326719979634,0.0,0.0,0.0,-0.8114367109324919,0.0,-1784828075,0.0288659794,0.0,0.0,0.0,0.0,1.0053030882472072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3267103341041198,1.0101164058171428
IRC,2019,2,0.9316617014,169750000000.0,17500000.0,20.1589800224,7.2943498682,175.6313623373,59.90678862857143,10411.5045033143,134.88179054,0.20963124855605794,0.12357418691328804,0.0466163817,-0.0156609574,0.0457886562,0.002442546901595055,1171109436.0,20721884,0.0288659794,40.811790631,4.9340458345,34.1671308291,0.0,1.0131132339518651,0.1265435058,0.3803731659,26.629214907500433,351.7494969391,0.0,378.3787118466005,1.0376702829,0.013113234,0.32522818827761574,1.0411504503314286
IRC,2019,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2137184600745801,0.13466890732566741,0.0,0.0,0.0,0.030166067880010427,0.0,256318213,0.0,0.0,0.0,0.0,0.0,1.0011136943253252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3246586607207245,1.0484062758057142
IRC,2018,4,0.9310204132,169750000000.0,17500000.0,18.5024112274,7.1347867033,-1.7675408081,338.4738247428571,10418.6759630857,94.9574423349,-0.18108001569970045,3.471808156678001,0.0534429701,-0.0109387991,0.0417942711,-1.5111987010471717,2007744410.0,-2578273531,0.0288659794,14.9825996467,1.883347212,11.2921722174,2091.265820515753,1.0368414931838075,0.1056355147,0.3724254638,1.4668940404341047,354.7304509328,0.0,356.1973449732341,1.028950289,0.0368414932,0.33315446866647175,1.0298664208971429
IRC,2018,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11697949876764019,0.066446064955177,0.0,0.0,0.0,-0.12044709904682967,0.0,-552213815,0.0,0.0,0.0,0.0,0.0,1.021671171258471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3728235207539718,1.0093841187428572
