ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),Net Profit Margin (%),ROE (%),ROA (%),Dividend yield (%),Financial Leverage,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
MSB,2024,2,0.9746111723,33020000000000.0,2600000000.0,6.9766640939,2.5549225163,2.9147699035,665.3703846153846,13030.8376923077,0.7386722402742967,0.1478447207,0.0173592235,0.0,8.723029967552119,7.7230299676,0.011883585735588521,1.3030837692307693
MSB,2024,1,0.8945949256,28900000000000.0,2000000000.0,6.2546233353,2.3048481484,1.9444139812,596.9735,16152.562,0.5047046564664456,0.1494259347,0.0178942905,0.0,8.629886392016326,7.629886392,0.01174256443033619,1.2425047692307691
MSB,2023,4,0.9361557139,29300000000000.0,2000000000.0,6.3091751999,2.3900832915,1.3327685798,241.8545,15649.106,0.20302564279064614,0.1602773734,0.0193596965,0.0,8.531025286684109,7.5310252867,0.012867699918449016,1.2037773846153845
MSB,2023,3,0.9127305597,27900000000000.0,2000000000.0,5.6459237736,2.2808945325,1.1758328542,662.651,15283.8095,0.5436739388877448,0.1719702868,0.0210819103,0.0,8.15406584333572,7.1540658433,0.010717746776417228,1.1756776538461537
MSB,2023,2,0.9519636113,28100000000000.0,2000000000.0,5.8206100261,2.3613679531,1.061939218,808.812,14758.9675,0.7317582248069414,0.1749741328,0.0218434507,0.0,8.05666029822208,7.0566602982,0.011795201798499794,1.1353051923076922
MSB,2023,1,0.9251017612,25900000000000.0,2000000000.0,5.4988202032,2.3215413672,1.2255106713,608.79,13998.46,0.5642858996652046,0.178419066,0.0223582681,0.0,8.410681889293537,7.4106818893,0.013037255526679363,1.0768046153846154
MSB,2022,4,0.952952724,25400000000000.0,2000000000.0,5.4741405004,2.3752360508,2.3554145224,386.155,13326.999,0.3681297126833177,0.1896095282,0.0221698146,0.0,8.006073160206585,6.9828871451,0.014364561744170612,1.0251537692307693
MSB,2022,3,1.0233856411,26400000000000.0,2000000000.0,5.7153430214,2.4115916441,21.669780026,601.3845,12898.3635,0.5466875868993406,0.1922028091,0.0232812585,0.0,7.527389618070541,6.5273896181,0.013314634837202409,0.9921818076923077
MSB,2022,2,0.9250825662,22736837500000.0,1985750000.0,5.4159702279,2.1822245374,-8.5554794417,751.3498678081329,12377.2735742163,0.7243570572710837,0.1844418865,0.0212509956,0.0,7.9362031861524605,6.9362031862,0.0130483265007799,0.9453142692307692
MSB,2022,1,1.1366286667,26273000000000.0,1527500000.0,6.1105920152,2.4037069401,-2.9789902941,752.3031096563011,15132.4707037643,0.5850997855410252,0.1975918706,0.0220307853,0.0,8.468180475676046,7.4681804757,0.012736444871433078,0.8890326538461538
MSB,2021,4,1.6981629506,37423750000000.0,1527500000.0,9.1836804211,3.5344630393,8.4657123755,488.54991816693945,14427.3551554828,0.44091103258355335,0.2073744538,0.0212152049,0.0612244898,9.24164669906708,8.2416466991,0.014138489870919424,0.8476071153846154
MSB,2021,3,1.8189149255,38722125000000.0,1527500000.0,9.5584704948,3.8541085957,30.9675251211,529.9842880523731,13936.8805237316,0.4975826199408962,0.2083486498,0.0214042001,0.0,9.183938152770605,8.1839381528,0.013309433200938437,0.8187917307692307
MSB,2021,2,1.6698217675,33910500000000.0,1527500000.0,8.9795925788,3.562214402,44.5712230852,1034.549263502455,13294.8320785597,1.069932328358108,0.2089509905,0.0208376441,0.0,9.017418579292665,8.0174185793,0.014704211020602076,0.7810713846153846
MSB,2021,1,1.8219130087,32396000000000.0,1157000000.0,11.9951100118,4.0578007386,6.062154607,776.7095937770096,15368.4615384615,0.6329656629688325,0.1616513878107071,0.015459639020264149,0.0,10.511486217832095,9.511486053466797,0.016348120582791708,0.6838965384615384
MSB,2020,4,1.4809758848,24991200000000.0,1157000000.0,12.6196831256,3.4794667023,-4.079874228,590.580812445981,14584.9775280899,0.44518703599339354,0.1267327781,0.0120544875,0.0694444444,10.471082682427586,9.4710826824,0.018296551803014895,0.6490315
MSB,2020,3,1.2098435314,19553300000000.0,1157000000.0,12.0787360656,3.2475132482,-5.9175961368,478.15384615384613,13968.7484874676,0.4224502886465683,0.0974240142,0.0093525264,0.0591715976,10.301384025409975,9.3013840254,0.017515020874477056,0.6216093076923077
MSB,2020,2,0.0,0.0,1175000000.0,0.0,0.0,0.0,468.3378723404255,13304.7446808511,0.5075852259887266,0.0896716897,0.0086458605,0.0,10.53793991265314,9.5379399127,0.01930381578800076,0.6012721153846153
MSB,2020,1,0.0,0.0,1175000000.0,0.0,0.0,0.0,190.9123404255319,0.0,0.2509711170979262,0.0819530536,0.0079794483,0.0,10.272633792452103,9.2726337925,0.020826647424968096,0.5794573461538461
MSB,2019,4,0.0,0.0,1175000000.0,0.0,0.0,0.0,149.37446808510637,0.0,0.17184423528997092,0.0727633401,0.0070810647,0.0,10.561288569425201,9.5612893473,0.02223658699465712,0.5716739230769231
MSB,2019,3,0.0,0.0,1175000000.0,0.0,0.0,0.0,340.77276595744684,0.0,0.46334884356040135,0.1057439679,0.0105754627,0.0,10.104127654623916,9.1041276546,0.020628600993749628,0.5646678461538461
MSB,2019,2,0.0,0.0,1175000000.0,0.0,0.0,0.0,345.7557446808511,0.0,0.7118204850561904,0.0792395959,0.0080922721,0.0,10.136664979569217,9.1366649796,0.0220199837696836,0.5491148461538462
