ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
BDB,2024,2,0.7513737204,9800323800,1126474,13.1717171165,0.1567731365,6.7009203938,210.11132258711697,11578.7919703429,9.2472052463,0.06871833370248932,0.008895755395690402,0.0559552625,0.0756298463,0.0264703104,0.011213390417558344,1099910253.0,298349105,0.091954023,1.3221848094,0.0154592978,0.4118380675,-4.45469847722615,3.1131013826515113,2.2239743889,15.5408649574,31.49672194282226,113.3107534955,73.4381492326,218.24562467092227,3.2212300134,0.0610935103,2.1131013827,0.30250952050553753,1.1578791970342857
BDB,2024,1,0.9587744029,12278566600,1126474,13.3726772496,0.2012407239,4.3963700682,26.253666751296524,11368.6806477557,10.5319713008,0.20553531405202477,0.010476208428208397,0.0687628599,0.0857735841,0.0339834177,0.03684799165150765,1362703830.0,104020954,0.0733944954,2.3062177591,0.0591205262,0.4626071775,-2.362771073932523,1.511411348820327,2.2582371423,14.977744783,31.584555706493195,110.1326458978,65.6237183062,207.3409199104932,3.3141853356,0.1921360737,0.5114113488,0.3120974333014528,1.136868064775574
BDB,2023,4,1.0654836157,14644162000,1126474,15.52760333,0.2271791102,18.5301517556,132.80663290941467,12201.0322901372,10.4233002636,0.12581953291716264,0.011590936247882738,0.0676782466,0.0777187484,0.0459915287,0.012691747165309105,1625036824.0,163811291,0.0615384615,2.5867352876,0.1192218579,0.5350903894,-2.11561879915706,1.4305700198150286,3.1435030004,15.4950089617,13.037018187884106,81.6993622633,9.4503418409,104.1867222920841,4.4675991328,0.3115508311,0.4305700198,0.29453059445634305,1.2201032290137188
BDB,2023,3,0.7706186696,10476208200,1126474,8.7884111441,0.1492651059,1.5670874708,291.3345154881515,12068.2256572278,6.5700799755,0.09558945850788232,0.016265589175965666,0.088558061,0.1138426756,0.0404660884,0.023816980670159367,1943704339.0,480540524,0.1075268817,1.4834637675,0.0267282688,0.4258456301,-6.132394128007405,2.4135881761644247,2.3825569986,16.7835781638,29.420782259331673,103.829654186,63.7262534298,196.97668987513168,3.5153733571,0.2063562363,1.4135881762,0.3015371637853307,1.2068225657227774
BDB,2023,2,0.9000677575,11940624400,1126474,10.5246592467,0.176270798,-1.3953090114,364.7000081670771,11776.8911417396,7.0683369446,0.08870782855251486,0.01636228440650419,0.0840778676,0.1089925147,0.0338758964,0.022349113210322694,1822988000.0,561142682,0.0943396226,1.3867902008,0.0512749169,0.4767975674,-4.443650666551937,2.732078348014452,2.0226394278,15.9607506879,29.101569148277452,122.5215051348,67.3262555905,218.94932987357743,2.9790688549,0.1596872416,1.732078348,0.3128550425969421,1.1776891141739623
BDB,2023,1,1.1303701322,14531514600,1126474,10.4768170305,0.1945787824,-7.2855694079,48.377551545796884,11412.1911335725,9.8968945258,0.1163840073912785,0.008692225657803889,0.1024268588,0.0928772069,0.0367986495,0.031178636260653435,1956979050.0,195474981,0.0775193798,1.5827513987,0.0712741704,0.41797465,-1.7189941311569215,2.133343531585194,1.9813707997,18.0826124042,30.160896962910968,118.394180439,83.706381708,232.26145910991096,3.0829218011,0.4564984127,1.1333435316,0.3271179556702121,1.1412191133572547
BDB,2022,4,0.8054153107,11377387400,1126474,8.1569282547,0.1520366829,-2.8487234621,353.7996820166289,12540.1142307767,13.3019621908,0.10500796743082709,0.0213912205602647,0.0988531043,0.0890964674,0.0608085951,0.03380580197539503,1908183112.0,629845873,0.099009901,2.3449574953,0.1057178564,0.4587513622,-2.5732905108729907,1.5113966893883406,3.2624452062,18.4474990078,9.772595136429715,71.5060401309,16.4188057214,97.69744098872971,5.1044638933,0.2831635357,0.5113966894,0.3024284772094849,1.2540114230776742
BDB,2022,3,0.9682993125,13292393200,1126474,7.209100822,0.1769899278,-1.6347441307,240.281256380529,12186.3145487601,12.1801543187,0.09913743918085687,0.01526507181027086,0.1330464073,0.0660166493,0.0497477411,0.016375940824798343,2241152673.0,290367814,0.0847457627,1.2620859471,0.08373878,0.4066485605,-5.061816687953988,3.565369752302919,2.0263101183,19.196287125,29.119591950541295,110.8952352956,83.141105005,223.15593225114128,3.2913947928,1.2340932832,2.5653697523,0.31679606247647607,1.2186314548760113
BDB,2022,2,0.6027105252,8110612800,1126474,4.7098376946,0.1183508317,-23.0361513831,588.8315060977883,11946.0332923796,2.5551531255,0.09428034333594726,0.020696068548775967,0.1253476724,0.1299729803,0.0480328335,0.019449479150697033,2079662693.0,623350530,0.1388888889,1.2382218741,0.0898556581,0.5829905936,-14.55098422670916,3.942133023292918,1.9114935374,18.0083561956,34.23953801902622,104.4793278046,91.1250836812,229.84394950482624,3.4935140536,0.055935637,2.9421330233,0.2744989840545996,1.1946033292379585
BDB,2022,1,0.9310302534,13179745800,1126474,8.1411950665,0.1910626324,-3.5405385307,55.29876499590758,12566.723753056,8.1882685173,0.11665335566164442,0.009701718139149794,0.1186146652,0.0907290529,0.0497818644,0.01112144621019575,1867750525.0,71408386,0.0854700855,2.3339909127,0.2189471129,0.9572835193,-1.8991215732560618,1.5354512069038893,2.121209487,17.7676044599,31.96260865648794,77.1809911454,66.8246115271,175.96821132898793,4.7291437255,0.2651712706,0.5354512069,0.26601187917079017,1.2566723753055995
