ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),Net Profit Margin (%),ROE (%),ROA (%),Financial Leverage,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
OCB,2024,2,0.9980233068,30082627654400.0,2465789152.0,7.8800565874,3.123263805,1.6854291397,290.7628092022687,12224.1634206528,0.36088998772655934,0.1295333736,0.016315088,7.925218607102013,6.9252186071,0.018979619976817567,1.2224163420652845
OCB,2024,1,1.0066670364,29692211048300.0,2054824294.0,6.7985181623,3.0540773384,1.7096381348,464.0752136790728,14354.2993637314,0.5017054991786443,0.1517783615,0.0192184935,8.03441872802684,7.034418728,0.019709590576906997,1.1961916140323745
OCB,2023,4,1.0693319966,30514140765900.0,2054824294.0,9.1914258752,3.4139302643,1.8251400427,509.99792122226097,13887.1744675168,0.5643903207011953,0.1227812299,0.015218788,8.141680777880714,7.4145209517,0.018855762448754254,1.1927583126584782
OCB,2023,3,1.0800217486,30616881980600.0,2054824294.0,6.7365074526,3.1993067104,7.5618308653,527.1500666499322,13796.0184782583,0.5806750961122426,0.1691366275,0.0220281001,7.646098878278806,6.6460988783,0.019199369899920046,1.1496682068945203
OCB,2023,2,0.9870158288,26918198251400.0,2054824294.0,6.4286335078,2.9346633907,-6.783286973,613.6469178702439,13272.3302069856,0.6936251579976233,0.1626172995,0.0208951285,7.7474792855040056,6.7474792855,0.020774981451541705,1.1060275176076368
OCB,2023,1,0.9673536472,25205844679200.0,1369882863.0,6.8958405065,2.9254857666,-6.6326759318,574.0715920803515,19020.9651376083,0.44923669504778185,0.1475394687,0.0187212182,7.6426686211090855,6.6426686211,0.022159887351429684,1.056720286022655
OCB,2022,4,0.894383236,22603067239500.0,1369882863.0,6.3919924887,2.6487230164,-13.0563181743,1015.9406283090352,18448.4674313588,0.7617993748204357,0.1491046327,0.0185461269,7.676170523712719,6.6761791827,0.023092761109246112,1.02491601401915
OCB,2022,3,0.9952183855,23767467673050.0,1369882863.0,6.7051602322,2.7771847809,1.8700250061,530.9206355368502,17433.3596058862,0.4158571142942045,0.1541263327,0.0186578672,8.087776770453829,7.0877767705,0.024004821902890258,0.9685199786546875
OCB,2022,2,0.7634478404,17671488932700.0,1369882863.0,4.7713047802,2.082871268,1.1711381171,527.3947647588026,16897.0286088556,0.424542811850123,0.1673783813,0.020178688,8.159029288528739,7.1590292885,0.0253434084966186,0.938723812136067
OCB,2022,1,1.0820270028,24315420818250.0,1369882863.0,5.9421016784,2.7393737042,3.0792324724,487.82175731108475,16404.3965202695,0.400148978466447,0.1928539937,0.0229793335,8.354736142581963,7.3547361426,0.02502517799656366,0.9113553627546335
