ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Days Sales Outstanding,Cash Cycle,(ST+LT borrowings)/Equity,Debt/Equity,Owners' Equity/Charter Capital
HSA,2018,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939357105,0.0,0.0,0.0,0.0,1.3788339179005735,1.8372105525231517,0.0,0.0,0.0,0.0,0.0,1.9607622878324118
HSA,2017,4,1.7783800385,229702555679.0,7872727.0,9.0512319258,76567.5185596667,-2.1751083581,403.06732889378736,16406.5044409644,-114.8178867116,1.0,1057.7463476666667,0.2017096098,-0.021518236,0.1106818751,-577.8287093333333,-2982662845.0,-1733486128,0.041128286,2.4836278015,2.3938039047,2.4836278015,9.85465329167752,1.6736493560412657,2.24864e-05,582.271725008842,582.271725008842,0.0731396594,0.673649356,1.6406504440964358
HSA,2017,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-592581924,0.0,0.0,0.0,0.0,0.2946941599262745,5.359095576856556,0.0,0.0,0.0,0.0,0.0,0.36636829984070324
HSA,2017,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-426241878,0.0,0.0,0.0,0.0,0.3579156927892486,3.250008233844984,0.0,0.0,0.0,0.0,0.0,0.3339171621472458
HSA,2017,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-230352915,0.0,0.0,0.0,0.0,0.0,1.3433730793719774,0.0,0.0,0.0,0.0,0.0,0.347225738438536
