ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
UDC,2021,4,1.1914665866,402589600000,34706000,-17.6276775341,1.326411026,6.5172769406,-222.4569325188728,9735.900385697,21.7182275567,0.06698514046419968,-0.07117171213902844,-0.059338147,0.009458116,-0.021282618,-0.00026849380995549186,30844193723.0,-29125767,1.1237435264,0.0246879267,0.5698475332,0.005158697224975863,2.807653562458508,0.2828407791,0.7124340592,230.8487029626419,371.0156286247,177.4500286322,779.3143602195419,0.9837860506,0.8890942937,1.8076535625,1.1155941941462393,1.0678588007714285
UDC,2021,3,1.2702898275,439030900000,34706000,-54.2867114389,1.2879364893,8.8096872173,-56.828729960237425,9958.3573182159,14.2805592137,0.1473099417274111,-0.03068137463042121,-0.020801978,0.0382061139,-0.0076213047,0.0748572073713591,49460424309.0,4812063176,1.1457045001,0.0352308628,0.5443259374,-0.808876481871214,2.7296614017859957,0.3212391075,0.7956338269,170.66215584226578,361.5169696712,152.1014741178,684.2805996312658,1.0096344864,0.9201259114,1.7296614018,1.1082292883839204,1.0868844024114286
UDC,2021,2,0.7582354438,263765600000,34706000,-45.516673565,0.6908501511,23.7971580875,-266.6812905261338,10023.2718771682,11.4595417815,0.10247922306768771,-0.12497851502740148,-0.0147954876,0.0348641392,-0.0054067426,0.01524219193840427,48258198755.0,1128779664,1.1513699995,0.017118328,0.5369313172,-0.13630941192028537,2.750554824241318,0.3562233257,0.8818241886,143.2514483895211,320.8235110013,134.0738514159,598.1488108067211,1.1376971683,0.9590409932,1.7505548242,1.1119511552592982,1.0951358397485715
UDC,2021,1,0.568515707,203030100000,34706000,-31.3243514717,0.5545336372,-4.4768549066,-112.08910557252348,10289.9531676943,11.2143229658,0.0662446028619802,-0.06860943262855415,-0.016371527686715126,0.029431672766804695,-0.006034456193447113,-0.002133849035501426,46008881152.0,-120989541,1.1727354526519775,0.011431092396378517,0.5183517336845398,0.022130556176307808,2.674985936973998,0.34087279438972473,0.8368699550628662,131.80976226094256,337.06671142578125,137.73712158203125,606.613595268755,1.082871675491333,1.000278115272522,1.6749858856201172,1.0983495819678328,1.1207864812457142
UDC,2020,4,0.6181478436,223159580000,34706000,-22.5236057619,0.5219491957,-9.9004858021,202.57709056070996,10402.0422732669,10.8290379461,0.19104469022915752,0.04820800808898173,-0.0247704962,0.0352331768,-0.0092432081,0.12498087027746937,50198086456.0,18227170210,1.1523577261,0.0294273341,0.5807277489,-2.524620378915464,2.76251506006197,0.3955204421,0.9662107262,124.0322310455991,270.7708749642,126.3114258968,521.114531906599,1.3480031781,1.0491255228,1.7696534445,1.0901815283028597,1.1403217140028572
UDC,2020,3,0.6260120603,223506640000,34706000,-49.5459241971,0.5467189407,-35.6728689711,9.221525643980868,10287.3417438483,10.4961194491,0.05816122167182039,0.0030421547979160675,-0.0111780104,0.0370457655,-0.0042393669,0.03099652975234333,51823347256.0,3260912206,1.0968549319,0.0125905405,0.4830630456,-0.46710729878660484,2.757781047860707,0.3841889035,0.9171275154,98.36839805033559,281.6803945713,120.5139222085,500.5627148301356,1.2957948336,1.02847617,1.7577810479,1.1216919936237044,1.1199644342257142
UDC,2020,2,0.5516849645,199559500000,34706000,-44.2841290848,0.525861868,40.9116632571,-286.46517276551606,10422.6150252118,9.5356922333,0.08221170842444878,-0.17028350412342777,-0.0110853592,0.0386134007,-0.0042239537,-0.02556855963835188,52586163300.0,-1492829048,1.0974641871,0.0260725309,0.4570945759,0.2230223762511683,2.657055314381302,0.3557095962,0.8442629924,106.63465827587564,301.9695548902,132.9483724271,541.5525855931756,1.2087311257,0.9761499764,1.6570553144,1.1101799902013112,1.1435367745457143
UDC,2020,1,0.4621093679,172141760000,34706000,908.0303714961,0.3912826948,3.8263454315,2.9490831556503196,10733.3898525039,7.3295203451,0.11512567781827214,0.0008654597677647687,0.0004656232,0.0487708794,0.0001774041,0.06621205869477571,59871625493.0,7830361071,1.1047455187,0.0941469506,0.5908411984,-1.187700583661529,2.56645847896463,0.4116929215,0.9712847561,96.94629461033767,248.5730562591,115.5678731973,461.0872240667377,1.4683811894,0.9336827462999999,1.566458479,1.091177457832452,1.1759168155657143
UDC,2019,4,0.2795784502,104118000000,34706000,715.322484203,0.2591803415,4.2921316395,144.3141447012044,10730.4407693482,6.6241201849,0.20176672984666127,0.03944845857185574,0.000357492,0.0521665621,0.0001321323,0.12390974392198055,62024453033.0,15732179163,1.106464194,0.0319779249,0.5225235265,-1.9236208526109175,2.5717210986254,0.3616139839,0.8760702837,137.38920620251648,292.9892642058,141.3017692047,571.6802396130165,1.2457794349,0.945640943,1.5932781862,1.0960310164032896,1.1728011284085715
UDC,2019,3,0.377155766,138476940000,34706000,-34.6709757973,0.2786908607,29.7629023971,9.35858750648303,10579.1833508039,7.9129060643,0.15076920315716713,0.004280526374196929,-0.0098105539,0.0439735696,-0.0035693318,0.05314426613368732,56264584424.0,4032497483,1.0683880144,0.0061297495,0.5204623505,-0.7365880949485031,2.70466138239759,0.4440483547,1.3169993676,109.65895408407695,230.1216417273,104.1316446721,443.9122404834769,1.5861176605,0.9739675273,1.7046613824,1.1260065286882446,1.1536090940828572
