ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
KIP,2018,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1945883167262899,0.04654152868298425,0.0,0.0,0.0653456974918819,0.0,4486294966,0.0,0.0,0.0,0.0,-8.478536856479952,2.0446882053998596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29719528782592824,1.263650068765306
KIP,2018,2,1.0995631274,207211684826.0,9800000.0,9.9958563767,0.7031679601,9.8138215527,578.3953475510204,19229.5002845918,13.7437796134,0.15181667338607943,0.0644324194996584,0.0,0.0,0.04994378419591996,0.0,4393674425,0.0472946302,0.0,0.0,0.0,-36.45000597105959,1.6092706095085214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26234118246848925,1.3179837549387756
KIP,2018,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11490928712499175,0.027021948339327303,0.0,0.0,0.006912132642244085,0.0,470622787,0.0,0.0,0.0,0.0,0.0,1.2823120567567228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27029793595990764,1.311111552632653
KIP,2017,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10970183946489961,0.042890510750161606,0.0,0.0,0.04552048784554202,0.0,3004267330,0.0,0.0,0.0,0.0,0.0,1.274161647426651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3040779481562119,0.9877838787142857
KIP,2017,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10326599542309466,0.04033278178712396,0.0,0.0,0.04367525341874988,0.0,3376802039,0.0,0.0,0.0,0.0,0.0,1.3740758203657755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3257921991866256,0.9588992486632653
KIP,2017,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09044040399555066,0.039664496203983775,0.0,0.0,0.030975742468587468,0.0,2360283257,0.0,0.0,0.0,0.0,0.0,1.2870393151828983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27853303118295447,1.0567804463265307
KIP,2016,3,1.1258734772,109440000000.0,4560000.0,7.4899333299,0.3809950925,31.9696092838,756.9164192982456,21316.7824686404,5.247002276,0.1129865553177181,0.04904730483192032,0.1465248493,0.0993349585,0.048975025507476615,16702436325.0,3446452458,0.0,2.9835830897,0.5987863969,2.1344779783,0.0,1.4032813986917663,2.1587461436,11.2973769452,18.7387597094547,40.5714610943,31.6474461074,90.9576669111547,8.9964716615,0.4032813987,0.2787420404542441,0.9918829393571429
KIP,2016,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09014128238105076,0.0455864929388912,0.0,0.0,0.053521333024702696,0.0,4253857863,0.0,0.0,0.0,0.0,0.0,1.4560250409470719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26957588283535644,0.9566631549489796
KIP,2016,1,0.0,0.0,4560000.0,5.4097031738,0.0,0.0,787.3738666666667,19765.3047785088,0.0,0.0687283508764143,0.04532659388928755,0.1564076927,0.0993355554,0.04414639079066769,16492465384.0,3496938202,0.0,2.6007465017,0.5314998959,2.0087586319,0.0,1.4921500927423832,2.2169881795,11.2286015327,19.277049012446113,39.5874674971,31.7278380561,90.59235456564612,9.2200896667,0.4921500927,0.2670399882555856,0.9196917325510204
KIP,2015,4,0.0,0.0,4560000.0,5.2392369604,0.0,0.0,559.7758888157895,23454.5426347059,0.0,0.0978002342011162,0.04387066246650356,0.0,0.0,0.05426356232394504,0.0,3157280298,0.0,0.0,0.0,0.0,-7.524595420763807,1.5656084777726873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3168513555264223,0.8137290301836735
