ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Payable Outstanding,Cash Cycle,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
TVB,2024,2,0.9396867974,1033534515180,112097019,7.99447376,4.6965280291,2.5837554101,287.85504081959573,9811.7798667064,2.0647702221,0.8686085024754604,0.690583870803911,0.1241939675,0.1382184209,0.1210380244,0.8230963544660628,152713450904.0,38459368599.0,0.0,34.8406457192,28.3492081211,34.8406457192,0.0,1.0353973348711838,0.2060320526,389.2628646064,0.0,14.7779795996,0.0,0.0,0.0353973349,0.00035675865187596514,0.9811779866706357
TVB,2024,1,0.9491528738,1012236081570,112097019,9.7742980319,5.3091099488,2.2115217756,370.1206550372227,9513.7466783305,4.2624927544,0.6586549042308661,0.4785003434447954,0.1035325991,0.1140747519,0.1015339277,0.5562123368039751,122568324953.0,48227610983.0,0.0,38.0057237382,32.6736360992,38.0057237382,0.0,1.0375236644491117,0.1869282949,255.480978778,0.0,16.8258246702,0.0,0.0,0.0375236644,0.00045520891009912765,0.9513746678330491
TVB,2023,4,0.9041076004,890050330860,112097019,14.082588197,6.2534003574,4.3228119408,307.7316829272686,8782.140529134,8.095603509,0.8183556822446622,0.6184548007808182,0.0577540819,0.0799603735,0.0539569085,0.7203609385140871,79887428262.0,40179864292.0,0.1259445844,102.6100612218,73.3894840359,102.6100612218,0.0,1.0161936545906005,0.1215103591,120.6102389323,0.0,0.0,0.0,0.0,0.0226676959,0.0005839550061287464,0.8838090436570842
TVB,2023,3,0.5979025109,601960992030,112097019,50.947623838,6.3108185195,3.9077606519,187.58929549232704,8981.3973049364,16.7223229479,1.027687368494742,0.6815456649092089,0.010809156,0.0199905811,0.0103116837,0.8153197981816372,21447235940.0,25155626882.0,0.1862197393,117.2918718361,56.2200627306,117.2918718361,-1374.473753423532,1.013482968596295,0.0832468534,74.3329439782,0.0,16.3416190001,0.0,0.0,0.0134829686,0.000799519011414864,0.898139730493636
TVB,2023,2,0.6124453476,573936737280,112097019,-37.3439301278,6.8901299065,2.7792915486,58.409876956674466,8359.9296161301,-20.8429853356,0.9618551355942266,0.3779932943521137,-0.0133941049,-0.0146209734,-0.0124587899,0.46723197222515195,-12292906083.0,8093359148.0,0.1953125,113.8767810382,52.4312103576,113.8767810382,-146.71854591314437,1.0097373989673248,0.0675250576,51.7561665744,0.0,0.0,0.0,0.0,0.009737399,0.0011910608488619535,0.8359929616130113
TVB,2023,1,0.5173558993,633348157350,112097019,-30.9566068989,6.4686855845,1.7083406597,9.307423848621701,10920.9153838337,-37.0950233656,0.5590387624751341,0.05006595656111568,-0.0167118917,-0.0133863216,-0.0151038512,0.1885481263966432,-14922102715.0,3929192063.0,0.1769911504,22.3257774444,3.0546313832,22.3257774444,-1.6460232387816554,1.0461742926982918,0.0722938538,50.225559596,0.0,78.2566444381,0.0,0.0,0.0461742927,0.0011682131508929838,1.0920915383833714
TVB,2022,4,0.3993445603,480896211510,112097019,27.6690823417,3.1285155188,2.2379364188,-149.9042321544697,10742.6028204104,7.3013721257,-0.20250238668169093,-0.6372144093517026,0.013509718,0.0268954064,0.0110625297,-0.646622033778727,33868901929.0,-17051903608.0,0.4662004662,10.0138891111,1.4803075202,10.0138891111,5.309789819706257,1.1093745165374123,0.0978737606,62.9385829694,0.0,185.1331976155,0.0,0.0,0.1093745165,0.001479502032215717,1.0742602820410416
TVB,2022,3,0.3561799577,436057403910,112097019,3.2294416726,1.6998756551,1.2760294927,-54.918118197237696,10921.4455112763,1.336815018,0.20171117307787872,-0.3280393810556234,0.1037998279,0.1225091797,0.0819126696,-0.4621155743972695,151442530305.0,-8672300794.0,0.5141388175,62.2579651656,11.5897707297,62.2579651656,2.6048034104123285,1.1202411622128288,0.1570029631,97.3940268768,0.0,268.9925244989,0.0,0.0,0.1202411622,0.0017233405762379678,1.0921445511276264
TVB,2022,2,0.4597880619,571694796900,112097019,3.1326053305,1.9044267003,-20.9531953157,13.033474726031741,11092.0670251276,1.6433570493,0.5802197173967353,0.04575188846708314,0.1381560516,0.1535001848,0.1059924705,0.169335201450124,192297010901.0,5407449865.0,0.3921568627,38.658748012,13.5866175181,38.658748012,-1.0302351236648857,1.1494456478437576,0.1780743105,103.6680776214,0.0,162.8644084898,0.0,0.0,0.1494456478,0.001991356318243369,1.109206702512758
TVB,2022,1,0.6112808602,807098536800,112097019,2.7198777354,1.9878261094,-2.2844199861,346.7801155979001,11778.5464406863,3.1077705922,0.8318755727318763,0.5071946292592048,0.220424577,0.1889648753,0.1628231478,0.6876614725484598,307566055401.0,52704572787.0,0.2777777778,4.4183333693,0.8208653933,4.4183333693,-10.022130453806907,1.4628601661423135,0.2511861183,129.2903727276,0.0,213.0083732889,0.0,0.2282019693,0.4628601661,0.002158034217579062,1.1767632947973399
TVB,2021,4,0.8885181699,2710774156200,224030922,3.6616275781,6.2418544477,-2.7848360594,444.8365318962531,13618.1795830756,7.8611655802,0.8526330134368558,0.7714595205338035,0.3055912555,0.2367987259,0.2180119336,0.7783213417219235,348300698234.0,100543548419.0,0.0,6.9109925362,1.1146435795,6.9109925362,-20.004078706199824,1.316984462241014,0.3140110485,119.5685463886,0.0,218.726677268,0.0,0.0687806625,0.3169844622,0.002263819746923218,1.222745640504499
TVB,2021,3,1.7715078825,2290716177450,112015461,6.817997644,6.5405272969,-4.8798055632,345.38014675491985,11543.8379938105,8.4631761691,0.6092851710559648,0.6196411963784039,0.2494528864,0.2042003579,0.1778599309,0.5158028030806816,273891436911.0,32204662666.0,0.097799511,9.4956860105,3.4240467887,9.4956860105,-6.275854449711004,1.2733420243906766,0.2839691789,95.875710246,0.0,14.9379903353,0.0,0.0760228101,0.2733420244,0.002545931150988543,1.1062634364844262
TVB,2021,2,2.0377114355,2449119829950,106715461,7.960291526,7.4848253971,41.659967304,805.6143069184699,11262.6349344543,9.1994478955,0.9207408792078648,0.6240604209926968,0.2764504799,0.2874768615,0.1837776988,0.8761305824207803,264558046764.0,120697066690.0,0.0871459695,8.8917224928,2.8629426051,8.8917224928,-17.58630180409481,1.3611449384726184,0.3025487283,82.3174507652,0.0,0.9383923836,0.0,0.0816609782,0.3611449385,0.004082700301000494,0.7548652021736635
