ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Payable Outstanding,Cash Cycle,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
HBS,2024,3,0.7329791488,263999840000,32999980,15.956735447,7.1909816452,-27.2514866273,45.8195178906169,10914.3623151893,10.4139004202,0.7060975277097765,0.24661274523789822,0.0,0.0,0.0,0.3390166412157946,0.0,2078594104.0,0.0,0.0,0.0,1.0222105109949107,0.0,0.0,0.0,0.0,0.0,0.0,0.005125030512393826,1.0960181833079898
HBS,2024,2,0.7238169095,260699842000,32999980,15.7572762539,7.1010943747,-26.9108430444,75.68980090290964,10914.3623151893,10.2686152323,0.7146502802867679,0.2852231769193093,0.0408228186,0.0525666464,0.0388961766,0.34744588768676726,22713932843.0,3042659841.0,5.4409174017,0.4326998365,5.4409174017,1.1936127408015744,0.0863103303,12.3533976859,0.0,20.4980072357,0.0,0.1936127408,0.006347338650982941,1.091436231518928
HBS,2024,1,0.7850393847,333299798000,32999980,17.4970425824,7.8830222467,-16.1777964324,140.2443240571661,12865.5965500888,10.7057519497,0.8639067449173676,0.5048299382375648,0.0455671053,0.0611384806,0.0452030083,0.6392882242219197,29738031403.0,5860714597.0,109.1740969298,7.2731754477,109.1740969298,1.0081331497822987,0.1003319459,12.3302911913,0.0,26.419719115,0.0,0.0081331498,0.006461425646253014,1.2865596550088818
HBS,2023,4,0.6600996067,277199832000,32999980,15.5994446178,7.1861705298,-10.6378906762,147.7502539698509,12725.3522260317,9.5962221932,0.8410823629468321,0.552565420857642,0.0432302403,0.0503169973,0.0428213687,0.5249094024428171,24910744436.0,4631722816.0,87.2608314925,5.4862949305,87.2608314925,1.0089324153936332,0.092954873,9.3746249436,0.0,22.0291924235,0.0,0.0101269028,0.0076086506878780555,1.2746417346434755
HBS,2023,3,0.6270504603,260699842000,32999980,16.0055836124,7.006222557,-52.4635262648,137.67130416442677,12598.6670924649,10.1505182987,0.8851395841421369,0.45595668388911514,0.0397826813,0.0439861242,0.0395006809,0.5417533929255803,21924895070.0,5398028295.0,109.0816994887,13.4101076501,109.0816994887,1.0080686377724108,0.0902385623,8.5671522007,0.0,15.5867453413,0.0,0.0080686378,0.00879743690795511,1.2598667092464904
HBS,2023,2,0.6741034298,277199832000,32999980,21.4404457102,9.3548010357,2.6303663635,151.574525863349,12460.9957883005,14.6742525122,0.908856925737688,0.3491693186615722,0.032286333,0.0319760327,0.0320397014,0.7027256827890906,16358794941.0,10066758400.0,123.8411317454,14.4567923548,123.8411317454,1.0070618188492106,0.0724826555,8.4435288271,0.0,34.0143993999,0.0,0.0070618188,0.010006336792659718,1.2460995788300477
HBS,2023,1,0.8194067328,333299798000,32999980,-75.3094319346,34.6653132854,1.6040691167,122.54974554530033,12325.9909824794,-0.2266920663,0.6139872860248072,1.2798053205361475,-0.0111327503,-0.0259889866,-0.0110494608,-0.1722612480812687,-7788930511.0,-544339398.0,159.3650600068,150.7014382177,159.3650600068,1.0054768933148621,0.0236941814,3.7836698891,0.0,21.0060850669,0.0,0.0054768933,0.01123981532892049,1.2325990982479382
HBS,2022,4,0.4677164268,188099886000,32999980,39.2076746756,10.2093676966,-1.4418618674,81.7821777467744,12186.8715168918,-4866.7669624512,0.6227671389118232,0.27650342746409184,0.0121559048,-0.0057753629,0.0120340395,0.3449658431092612,32062524.0,3367037273.0,97.4995161004,12.5692250141,97.4995161004,1.0079348852134489,0.0456173504,6.9136857505,0.0,7.4546278589,0.0,0.0089441466,0.012448780601527166,1.2241745519209406
HBS,2022,3,0.4130591336,164999900000,32999980,19.9830202778,6.4578739735,1.7327691549,41.00999727878623,12104.804355639,-25.4786194084,0.5923093283206876,0.5671806861408895,0.0,0.0,0.0,0.10875303287830793,0.0,259491634.0,0.0,0.0,0.0,1.0103647233725073,0.0,0.0,0.0,0.0,0.0,0.0,0.0008034045554354665,1.214581435291779
HBS,2022,2,0.429581499,171599896000,32999980,20.7823410889,6.7161889325,1.8020799211,-381.2125601894304,12104.804355639,-8.521126649,1.8924489115146166,2.210225588842718,0.0208991016,0.0124303399,0.0204297534,2.3988144288942026,7031025334.0,-13653403584.0,137.7972536614,92.8094874539,137.7972536614,1.0063986079836276,0.0623994943,89.3450024259,0.0,7.5501075241,0.0,0.006398608,0.000604812121836267,1.2104804355639003
