ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
VTS,2024,1,1.5418232118,22366000000,2000000,-2.6554016753,1.9202928391,-14.2090230979,-1070.3186325,7253.1013375,-3.3604371896,-0.2798828288567219,-1.3386102396839212,-0.4820068688,-0.5215141965,-0.3478995595,-1.2061800001255543,-6627342084.0,-1928861576,2.7999087823,0.1735407799,0.9130157132,79.20045472289287,1.4062870856724743,0.4810792679,2.7210188105,93.5279382537438,451.070509591,79.7469096126,624.3453574573438,0.80918613,0.0639423796,0.4062870857,0.26064625606783753,0.7252357970807992
VTS,2023,4,2.3067441111,38400000000,2000000,-4.592397004,3.0053047929,-18.9585515,-956.4291015,8323.41997,-5.958822765,-0.2730741561170178,-0.4799829885534346,-0.4014682956,-0.4562424025,-0.3018455723,-0.4637840508260463,-6661304814.0,-1848301184,2.8947724705,0.1497104707,0.9338524862,84.71777964847666,1.3947529751403376,0.46124929,2.6483020262,81.31466586842855,434.9157235839,68.8065618143,585.0369512666285,0.8392430538,0.0760478558,0.3947529751,0.24443785881682478,0.8322566906892044
VTS,2023,3,1.540973338,28600000000,2000000,-3.4447984402,2.2685529016,-6.1932705633,-812.7894315,9279.8490715,-4.4643322477,-0.33133847125305205,-0.5586123268488804,-0.3831164533,-0.406619171,-0.2879092075,-0.5424847689684871,-6696081992.0,-1578647179,2.7474126306,0.0548723579,0.8199945836,47.87148902870178,1.4309710989570592,0.4371902406,2.5145597858,73.7263796373009,465.9348201904,72.0277297254,611.6889295531009,0.7833713734,0.0933442952,0.430971099,0.23960174296677406,0.9278897984456593
VTS,2023,2,1.2781593234,25800000000,2000000,-3.1119569755,2.0821875256,-6.8761514938,-1371.8784195,10092.638503,-3.8928057296,-0.50065671163102,-0.8702769259601587,-0.3491559796,-0.3877627427,-0.2699482213,-0.854214752842613,-6768747789.0,-2693116984,3.3479507545,0.1303371747,0.8961493533,66.27340047679832,1.3210418407968219,0.4034283556,2.2935606841,67.6873782040294,493.7941953196,76.3456666385,637.8272401621294,0.7391743432,0.0690625438,0.3210418408,0.23902342972879984,1.0091604113578359
VTS,2023,1,1.3963955139,32018000000,2000000,-3.8053849652,2.7641414202,-9.9312477005,-1039.726261,11464.5169225,-4.7241440486,-0.3761533928424009,-0.7618791186554208,-0.3258997086,-0.3526138567,-0.249354482,-0.7520085032912227,-7015978497.0,-2052511928,3.4883538464,0.0713742312,1.0367222439,43.11920857248161,1.305674862681943,0.3432635773,1.9963835417,72.67883942124554,525.1308284909,88.2147558743,686.0244237864455,0.6950648871,0.070946856,0.3056748627,0.22689888685102597,1.146334192995218
VTS,2022,4,2.591120432,64800000000,2000000,-8.875202892,5.6052920908,-8.5950304995,-926.7921615,12504.2431835,-11.0058948755,-0.2326658894361214,-0.4858658986133398,-0.2547758817,-0.2770866564,-0.1960764146,-0.5050828136490166,-5854557102.0,-1926897088,3.6842796457,0.1641743477,1.0626339541,133.44541555542781,1.286972848163658,0.3104399498,1.7996743951,84.06839109005125,571.5768978223,112.7224084608,768.3676973731513,0.6385842419,0.0882581725,0.2869728482,0.22313986900717092,1.2502961629932932
VTS,2022,3,2.0847238713,56000000000,2000000,-7.6465926667,5.3779786688,-11.2136116954,-807.1699835,13431.035345,-9.6221260121,-0.3282099892857096,-0.599304430856093,-0.2462009204,-0.2757150188,-0.1890646609,-0.6292973963738314,-5781948806.0,-1695131699,3.8714487647,0.0962688589,1.1885406412,88.75219547757092,1.2681996409786085,0.2688013508,1.5695020993,89.56756890538539,616.0033357172,117.9324402194,823.5033448419854,0.5925292589,0.0122179395,0.268199641,0.22343873933867606,1.342965880497249
VTS,2022,2,2.0367735491,58000000000,2000000,-9.1918566667,6.4325325563,-7.1501495231,-1433.513946,14238.2053285,-12.1352182656,-0.88884704076039,-1.2224730327971989,-0.1998268316,-0.204242555,-0.1544369306,-1.2724197688818977,-4739131220.0,-2984166415,3.1219449971,0.3637189151,1.1241408636,51.07986055154101,1.3621599559797357,0.2206706724,1.2765719991,116.48223613181842,731.1808452764,136.8608903816,984.5239717898185,0.4991925081,0.1145309582,0.362159956,0.22557843147345366,1.4236746062028642
VTS,2022,1,0.9252335207,29000000000,2000000,-5.3524188434,2.9061212676,-3.5543277875,-483.378317,15671.7192745,-7.9855123849,0.014000274594067693,-0.35719369077804114,-0.1634201357,-0.1655660471,-0.1290784217,-0.34542683629521426,-3981165258.0,-934909250,3.8747326035,0.0731827165,1.5317632196,16.379260126934945,1.2699073468526607,0.2377180783,1.3307097036,123.157806334222,710.7139211463,138.4506953088,972.322422789322,0.5135681026,0.1088188647,0.2699073469,0.2183966152373029,1.567011308790849
VTS,2021,4,1.7270090658,55800000000,2000000,-11.2865652438,5.3663931671,-5.2111618874,-937.933785,16155.0975915,-15.5768601644,-0.48138519408371006,-0.7032720671048907,-0.1384337129,-0.1610717089,-0.1083971946,-0.7057804913722451,-3629136049.0,-1882558397,3.4898472821,0.044208513,1.4976952695,82.48490713232425,1.3089661886429094,0.227965726,1.2658078508,115.47100269369297,660.1216568808,204.9840558035,980.576715377993,0.5529283825,0.0443631189,0.3089661886,0.22491160083810008,1.615344186370897
