ticker,yearReport,lengthReport,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
S27,2016,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09216249072550105,-0.33595263643033785,0.0,0.0,0.03733510721695481,0.0,163003116,0.0,0.0,0.0,-0.10000987139915735,-4.293371546773087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6094144106001236,-1.6330064545949887
S27,2016,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14312229538229393,-0.18688679855598628,0.0,0.0,0.08913135530972564,0.0,510004177,0.0,0.0,0.0,-0.32288157418505414,-4.5132536124456415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6703604024129883,-1.5397510641625654
S27,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12702369811882347,-0.34314633997438315,0.0,0.0,0.027764850534330233,0.0,111150739,0.0,0.0,0.0,-0.07012806124097568,-4.749332055992798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7264752313276778,-1.4717619732037668
S27,2015,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12001940216067257,-0.08653717848153032,0.0,0.0,0.07715090696059534,0.0,583051162,0.0,0.0,0.0,-0.4712863223071953,-5.450431690309144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8481120154477151,-1.3489123465746204
S27,2015,2,7952243648.0,1572833.0,-4.2760206223,0.2255168545,6.9477197348,-411.74636404500666,0.0,17.8653564961,0.13637246381636806,-0.10592022842751345,0.0,0.0,0.0866280675308417,0.0,529653813,0.0,0.0,0.0,-0.4498291599113087,-5.715541341984292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9040153815529508,-1.3073322256717654
S27,2015,1,1415549700.0,1572833.0,-0.6686882179,0.0398516534,0.469486952,-464.30289674746143,0.0,14.6005557255,0.12704458934650428,-0.15707053058518988,0.0,0.0,0.07401111639574708,0.0,344101250,0.0,0.0,0.0,-0.3083782715810179,-5.812027791318596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9853258807638754,-1.266157589267265
S27,2014,4,13054513900.0,1572833.0,-4.5837701718,0.3610187526,-13.942332732,75.90235199795528,0.0,14.453250853,0.11748816802837442,0.00707492294200391,0.0,0.0,0.09413989761452601,0.0,1588509637,0.0,0.0,0.0,-1.0533330883859728,-6.163735375050933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.054469794605375,-1.2197272995925188
S27,2014,3,2831099400.0,1572833.0,-0.2291970973,0.1026859002,-1.8923405212,-382.26085922663117,0.0,-17.5908854953,0.08087637167188517,-0.07885072574359125,0.0,-0.0975383427,0.054877335415941766,-3490447412.0,418436697,0.7451730608,0.0029315235,0.4091519762,-0.4101155705960069,-6.24724620291112,0.2177076403,1.1394114021,281.72094901751353,480.3051381865,154.6645511731,916.6906383771135,0.7599335734,-3.961316008,-7.2472462029,-1.0791566215315371,-1.2273175347923142
S27,2014,2,0.0,1572833.0,0.0,0.0,0.0,-575.2573305621131,0.0,-17.0945044356,0.09675433458509133,-0.14198729758174317,0.0,-0.0975383427,0.04985586371909777,-3490447412.0,317695838,0.7396324805,0.0003274957,0.4002313757,-0.2598494864170383,-6.343188856449838,0.2177076403,1.1394114021,281.72094901751353,480.3051381865,154.6645511731,916.6906383771135,0.7599335734,-4.1303163599,-7.3431888564,-1.146059956116355,-1.1890914488696511
S27,2014,1,0.0,1572833.0,0.0,0.0,0.0,-929.1206714253834,0.0,-12.8749973963,0.025259172225241003,-0.2762974438010203,0.0,-0.0975383427,-0.009848336383870651,-4638501502.0,-52088367,0.7363206989,0.0012875357,0.3993039264,0.03695318156117054,-6.616149929104684,0.2177076403,1.1394114021,281.72094901751353,480.3051381865,154.6645511731,916.6906383771135,0.7599335734,-4.3496138578,-7.6161499291,-1.2391985264560088,-1.1315657158134398
S27,2013,1,0.0,1572833.0,0.0,0.0,0.0,-1368.116977454059,-3901.1508628061,-51.7671825613,0.008192474112568005,-0.26994240768153366,1.577416233,-0.0512818702,-0.04710274526049131,-1082689555.0,-375474932,0.8029965417,0.0008713205,0.4408500002,0.21615471697652444,-20.863757947794305,0.2953397977,1.4385336892,189.07060638687068,426.4127705179,112.955375012,728.4387519167707,0.8559781161,-11.7922482205,-21.8637579477,-3.9803315976396045,-0.3901150862806159
