ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),Net Profit Margin (%),ROE (%),ROA (%),Dividend yield (%),Financial Leverage,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
EVF,2024,2,0.9443588669,8204492566850.0,704248289.0,17.2399340976,6.3858975149,-0.9356753816,167.39408791094698,12336.4119383753,0.30599970928119774,0.0552024092,0.0085783913,0.0,5.823588723485097,4.8235887235,0.007792794965225762,1.2336411938375331
EVF,2024,1,1.1622989825,9965113289350.0,704248289.0,19.9780913207,7.5227989849,-0.7086096983,186.1928556279389,12174.1481433688,0.34923255981186196,0.0576588922,0.0078306157,0.0,5.597084803005684,4.597084803,0.00835411120829549,1.2174148143368795
EVF,2023,4,1.25755381,10634149163900.0,704248289.0,20.1859599498,9.7232462824,-2.0570108108,75.48758134079046,12007.4384731661,0.17446065594213742,0.0513441247,0.0071840386,0.0,5.820702706576392,4.8207027066,0.008971149986909042,1.2007438473166103
EVF,2023,3,1.4163170599,11901796084100.0,704248289.0,17.9975550541,10.5291432642,-5.646617839,163.47927541787752,11932.3564462363,0.435305371652406,0.0901594055,0.0088037265,0.0,10.348805811830056,9.3488058118,0.016931777583352046,0.6418808636963547
EVF,2023,2,0.9851084052,8144685519200.0,702128062.0,11.9111549522,7.1191131919,0.9210824099,106.442120810719,11775.3537972109,1.2588387879196214,0.0833644747,0.0083449535,0.0,10.697468873848132,9.6974688738,0.018176610527854326,0.6256461064685668
EVF,2023,1,0.7220632164,3184150761170.0,351064031.0,10.3926788188,2.9854510791,0.3215524054,243.1180424747074,12561.2270429379,1.0608678358793333,0.0717206163,0.0075475266,0.0,10.172957019543992,9.1729570195,0.01776771936110409,0.6261704953890204
EVF,2022,4,0.631660648,2738299441800.0,351064031.0,7.486048502,2.3934803078,0.5542736597,350.6340414578103,12348.402619464,0.5899451247274209,0.0879375049,0.0098085435,0.0,9.734058195004476,8.734058195,0.0188882327431097,0.6155613109341895
EVF,2022,3,0.6920046181,2913831457300.0,351064031.0,8.6932029324,2.3668231297,1.3724010945,224.05029582765772,11994.1396103892,0.42371091814087786,0.0814797105,0.0091902431,0.0,9.320800216400508,8.3208002164,0.019265154982139595,0.5979014881213294
EVF,2022,2,0.6983807649,2885746334820.0,351064031.0,8.3424299317,2.3959276732,71.6670794844,54.92730185166705,11770.0836175951,0.0753251014660328,0.0857593474,0.0099867906,0.0,8.729334062268805,7.7293340623,0.020303224571417647,0.5867324159022558
EVF,2022,1,0.7726134459,3189706797140.0,324486958.0,8.9353796238,2.6140638063,-3.8626877828,446.09188884565276,12723.0506441495,0.5382818978628776,0.0903542146,0.0108179058,0.0,9.248772667025799,8.248772667,0.0203753744734119,0.5862227945008185
EVF,2021,4,1.2542387517,4997099153200.0,324486958.0,15.116570093,4.2782101163,-2.3824347417,285.0499772628766,12278.3640506131,0.43795188424187614,0.0864231808,0.010804323,0.0,8.129907226158016,7.1290389539,0.02201489783531049,0.5656621481688825
EVF,2021,3,1.2689966114,4936263573600.0,304707628.0,10.6069993438,2.8935841443,2.0805978366,293.3402113582795,12765.9915359913,0.40727121949441375,0.1229543734,0.0157020865,0.0,8.202710355935057,7.2027100989,0.021226022810384344,0.5523470998450661
EVF,2021,2,1.2429314874,4724796479768.0,304707628.0,10.2586975182,2.7874724587,9.9935002918,99.59054914109338,12475.3457107414,0.18737303571979871,0.1241429065,0.0160520129,0.0,7.76474515650168,6.7647451565,0.019795687460162,0.5397717054304408
EVF,2021,1,0.8506206833,3218197463425.0,264981265.0,7.882678007,2.0623799375,0.6393405241,444.7257808962456,14277.8094141863,0.6089971835353092,0.1122854709,0.0149902265,0.0,7.485930994525489,6.4859309945,0.02044853346979081,0.5372184865897488
EVF,2020,4,0.8074014133,2959840730050.0,264981265.0,12.9585135481,3.2647630714,0.4910824953,859.7022887636981,13834.5063753847,0.3194080284909073,0.0641919635,0.0089697549,0.0,7.859129998253885,6.857554997,0.02125349222978872,0.52045280865425
EVF,2020,3,0.7548183989,2709698415890.0,264981265.0,12.5246055738,2.8812448532,0.3436333463,319.1546391025041,13547.6294899566,0.4782072740432462,0.0614376161,0.0090466469,0.0,7.834258808401869,6.8342588084,0.022685792346682384,0.5097446534229351
EVF,2020,2,0.6103069251,2150587946740.0,264981265.0,8.6621553072,2.2452522731,0.4265028075,-82.86246199330357,13298.2269520073,-0.13421559338610592,0.0714404154,0.0114048803,0.0,6.758234014679837,5.724452229,0.024107216217203162,0.49772446092517236
EVF,2020,1,0.4958389895,1755765861890.0,264981265.0,6.7654356577,2.0434582134,0.6115552195,340.4882228183189,13363.2089045993,0.49789744382146484,0.0759613567,0.0124905191,0.0,6.134519062411748,5.1345190624,0.02496780570460322,0.5028056234297787
EVF,2019,4,0.5390163771,1859903499035.0,264981265.0,7.6475689905,2.4862394199,1.4613673518,239.6924174997806,13021.8677912946,0.3660074222621764,0.0686752159,0.0108794471,0.0,6.413334709278849,5.4116751209,0.0264975799688615,0.4898484034513572
EVF,2019,3,0.44367223,1502500000000.0,250000000.0,6.8932453078,2.3233518119,-5.143134899,391.72,13546.036,0.6394969177724376,0.0668043771,0.0111717993,0.0,5.768235962166349,4.7682359622,0.02622110261629306,0.4808686159264492
EVF,2019,2,0.478161476,1572500000000.0,250000000.0,8.2239422624,2.7254024843,-3.3094603212,31.412,13154.552,0.06777305992819663,0.0602385157,0.0099443365,0.0,5.9989959369197825,4.9989959369,0.027659778911512913,0.46697138656449044
EVF,2019,1,0.546714668,1799250000000.0,250000000.0,10.9951723295,3.5208649283,2.2061690581,237.408,13164.088,0.5352669029517599,0.0529190829,0.008626106,0.0,5.688526542818614,4.6885265428,0.023741864989052033,0.467309903538864
EVF,2018,4,0.4660107653,1506000000000.0,250000000.0,7.3977286124,2.8880451041,-1.4723033923,211.328,12926.74,0.43599752424179905,0.0649487981,0.0103340686,0.0,6.502037996792108,5.2063623156,0.02644501006842379,0.438040396857819
EVF,2018,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6996195849839282,0.0,0.0,0.0,6.0694503988381125,0.0,0.024817729597389183,0.4305737120505805
EVF,2018,2,0.8133943103,2408339356913.0,264981265.0,15.7145891287,4.2187028912,23.6176534432,-74.4090341632266,11173.8126089782,-0.6952397743300424,0.0501671666,0.0085343101,0.0660159286,6.314971607824912,5.3149716078,0.026483939921326673,0.4204271485280101
EVF,2018,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0975787365738212,0.0,0.0,0.0,5.323165586695959,0.0,0.022165120688836883,0.4457855345957397
EVF,2017,4,0.3901709838,1185000000000.0,250000000.0,6.5676803618,1.9080005603,-3.1966980941,320.676,12148.52,0.6488422347580469,0.0598725259,0.0092455383,0.1265822785,6.368505758555848,5.3685107322,0.015808988279406928,0.43125883973571144
EVF,2017,3,0.0,0.0,250000000.0,0.0,0.0,0.0,-38.76,12328.5,-0.15359497844281003,0.0380053739,0.0062954463,0.0,5.54118570791256,4.5411857079,0.01536342620756783,0.43764749565476047
EVF,2017,2,0.0,0.0,250000000.0,0.0,0.0,0.0,-31.02,12367.9,0.10984263678984717,0.0683334882,0.0110286753,0.0,5.886726121653636,4.8867261217,0.015963583146694264,0.4390461501000537
EVF,2017,1,0.0,0.0,250000000.0,0.0,0.0,0.0,470.82,12430.228,1.0094595289960722,0.0801546158,0.0124846908,0.0,6.151019916931531,5.1510199169,0.013506107852567145,0.44125872203574495
EVF,2016,4,0.0,0.0,250000000.0,0.0,0.0,0.0,65.348,11959.9,-16.402610441767067,0.0561175801,0.0084854238,0.0,6.58483813916901,5.584840007,0.014674699730031278,0.42456276382944824
EVF,2016,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9267274712277669,0.0,0.0,0.0,6.173539385972643,0.0,0.011252077894032955,0.4221468545165326
EVF,2016,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31616453184196286,0.0,0.0,0.0,6.790666646962127,0.0,0.01181069482216252,0.41315698531998846
EVF,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3271825574122063,0.0,0.0,0.0,6.51243046880082,0.0,0.01178982271733347,0.425667345852792
EVF,2015,4,0.0,0.0,250000000.0,0.0,0.0,0.0,220.9,11634.56,0.4371037572322962,0.0,0.0,0.0,6.642777724297266,0.0,0.0126113922658012,0.41301342799570506
EVF,2015,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1154462665338367,0.0,0.0,0.0,6.673966786485872,0.0,0.013972456542520864,0.41529758454564025
EVF,2014,4,0.0,0.0,250000000.0,0.0,0.0,0.0,132.192664256,11314.20560094,0.19717168946947725,0.0,0.0,0.0,6.483508589632171,0.0,0.014958733796206969,0.40159967997792323
EVF,2014,3,0.0,0.0,250000000.0,0.0,0.0,0.0,179.3977451,11002.61519158,0.6913862483222936,0.0331575281,0.0050083356,0.0,5.980359014456267,5.5776129316,0.01558105983980156,0.39958956346644386
EVF,2014,2,0.0,0.0,250000000.0,0.0,0.0,0.0,-209.962835608,11002.61519158,-0.5798433455752211,0.0331575281,0.0050083356,0.0,6.177193482673099,5.5776129316,0.016568904930485087,0.39058011795822767
EVF,2014,1,0.0,0.0,250000000.0,0.0,0.0,0.0,332.807818608,11576.141418792,0.9295262734859187,0.0331575281,0.0050083356,0.0,6.139264706854301,5.5776129316,0.010058594997377872,0.41093963590701743
EVF,2013,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10940.72839798,0.0848528704518324,0.0429212349,0.006718026,0.0,6.604145713077809,5.6631123232,0.011036225315102488,0.39771166400221103
EVF,2013,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04919555074680553,0.0429212349,0.006718026,0.0,7.309844065606627,5.6631123232,0.013532617039952833,0.38838320833960877
