ticker,yearReport,lengthReport,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
JOS,2024,2,13538844900.0,15043161.0,-0.2990501443,0.3552760823,-15.1056292388,-1567.0771732084766,-22.4782840978,-0.2888655666898451,-2.0825043615713303,0.189758446,-0.2076889608,-0.3752477752504854,-11234017667.0,-4247776858,0.0366174609,0.0012850496,0.0168567356,0.2730621832175195,-0.7084796679990387,0.1748201379,30.3996722435,36.711206032413635,125.9263675931,468.6891606439,631.3267342694136,2.8985192456,-0.7980335171,-1.708479668,-0.0040096833136736,-1.959772375262543
JOS,2024,1,16276700202.0,15043161.0,-0.484235002,0.2418436859,-355.5123714556,-120.5623320125338,-32.6070483548,-0.08855347693371429,-0.28787174324012976,0.1006638007,-0.1511025484,-0.2901271972055014,-7677070324.0,-1827848296,0.0463541638,0.0015759303,0.014222351,0.0,-0.6933906203618299,0.302547253,50.9016865899,33.66404104684083,92.8221802662,310.6139373589,437.1001586719408,3.9322498023,-0.7447460419,-1.6933906204,-0.003840109237912674,-2.0583694310600014
JOS,2023,4,16547477100.0,15043161.0,-0.4895703207,0.1810209596,22.0032945058,-1216.92928254906,-27.4179468064,-0.15248453291034914,-1.5157453238889327,0.1215719521,-0.1361975007,-0.3138755350595291,-9011768482.0,-3790841916,0.048114234,0.003468223,0.019085583,0.3352800592913569,-0.7005298058230466,0.3683454901,60.379127779,110.14741249474673,85.5190953177,321.4186408979,517.0851487103467,4.2680526337,-0.7490533329,-1.7004573076,-0.003943022916099027,-2.046445913653859
JOS,2023,3,18788908089.0,15043161.0,-0.7721249752,0.1650480841,51.2340883285,-104.95993880541464,-48.9922545082,-0.015497682551046053,-0.18773678116166925,0.0812639318,-0.1017011705,-0.19525021891829603,-5089082394.0,-1642119788,0.0516739746,0.0025080079,0.017155153,0.0,-0.7478888558648944,0.4757765846,72.6134686378,56.948529527332134,75.860222514,235.1378696926,367.94662173393215,4.8114807458,-0.7851633137,-1.7478888559,-0.004614863274377761,-1.9269732642885993
JOS,2023,2,16547477100.0,15043161.0,-0.6470889623,0.0969790218,-39.3882690925,-792.0007176683146,-38.0363930093,0.04701438923400129,-0.29407209881722346,0.104849799,-0.1005856617,-0.02081463966620364,-6510693249.0,-843295445,0.0692710772,0.0014023302,0.0337146358,0.074886760607201,-0.7852841727217799,0.6711541347,98.6240299674,58.47017914123681,62.5337376274,187.8403360139,308.8442527825368,5.8368492569,-0.7893845499,-1.7852841727,-0.00503476414189916,-1.916668769075836
JOS,2023,1,16547477100.0,15043161.0,-0.4098239356,0.0927549401,-46.2969389359,-132.08958363205713,-17.9750675323,-0.0360251342420773,-0.06534281769852178,0.2766591387,-0.1546554635,-0.10777003662313495,-13759214373.0,-3277236983,0.0674919798,0.0017372374,0.0149628697,0.0,-0.8126158318862287,0.6833222104,92.3802828302,62.8321641779138,64.5255454249,187.3061176672,314.6638272700138,5.6566743853,-0.8221643731,-1.8126158319,-0.00581392353823773,-1.8389136970302211
JOS,2022,4,18051793200.0,15043161.0,-0.425285129,0.0992721218,-39.4118168268,-588.5635401362786,-17.7810935907,0.10066175584268541,-0.2565993882850828,0.3115244185,-0.1597577632,0.017614465199484675,-13941217821.0,607779859,0.1473273054,0.0019362008,0.0971878166,-0.07158935782913901,-0.9886739647464303,0.6844076639,78.4986488182,82.21264200537314,51.819966796,179.9498881977,313.9824969990732,7.0436170181,-0.8280034273,-1.9889229315,-0.006402273301109129,-1.8262063692465105
JOS,2022,3,18818994411.0,15043161.0,-0.5226263198,0.0938307276,-20.8962122504,-187.26697945996855,-13.631433371,0.008278804979119259,-0.04320633772632069,0.1676222964,-0.1368805447,-0.04559313420071002,-18241463923.0,-2972708336,0.1378226578,0.0014076767,0.0730274048,0.0,-0.8240947012650078,0.7624088313,82.6393624746,57.162815968494,58.0627366735,158.8887685024,274.114321144394,6.2863037623,-0.6773943354,-1.8240947013,-0.005907564411096846,-2.2227686759396486
JOS,2022,2,16547477100.0,15043161.0,-0.4828595614,0.0978092288,-28.7243513949,-1776.159337921066,-15.3326998143,-0.05954815590724552,-0.5533608535105254,0.1541926534,-0.1345087659,-0.17025890343572322,-16071075271.0,-8220957943,0.1047928717,0.0014222647,0.0525303028,0.492876282209047,-0.7638437833234065,0.6640359452,63.170039902,53.08198672699479,65.4174660886,163.6953845764,282.1948373919948,5.5795496497,-0.6830439489,-1.7638437833,-0.006758497304676456,-2.204383645276365
JOS,2022,1,24069057600.0,15043161.0,-2.8047419924,0.1463600728,-26.0789555876,-272.30131825352396,-25.9725770101,-0.001986624541826196,-0.12100855135266268,0.1196771554,-0.0339265534,-0.1206430710579273,-9695836215.0,-4083900661,0.1099883752,0.0017768418,0.052065569,0.0,-0.8321486986338658,0.6501447226,56.0286022632,53.087241361741164,62.6142924409,160.553719126,276.2552529286412,5.829340008,-0.7354686799,-1.8321486986,-0.008267187334599737,-2.0300083016641364
