ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
LCM,2024,2,0.2045713141,24632809000.0,24632809.0,5.5353360469,0.3770417595,-24.9058850185,37.18816148820056,4888.270890624,7.7228890093,0.0815900589086565,0.07542472104110555,0.037273802,0.0245517814,0.0304896675,0.022805934902526987,3788286384.0,276982809,0.0,1.4161896353,0.0157416184,1.4124654843,1.2350532429881689,0.447617675,28.7117648774,33.09780150988241,0.6456784615,93.1377392926,126.88121926398242,565.2968493698,0.0180915988,0.235053243,0.015853610686314863,0.5003922872082166
LCM,2024,1,0.3061744371,36826049455.0,24632809.0,10.3833775052,0.6476138654,9.0975657749,31.24105984015059,4882.8374253217,11.4794345976,0.07120736201642312,0.09909775617866246,0.029936341,0.0174881889,0.0250955897,0.022961525797997012,2989659078.0,178310378,0.0,2.0016315352,0.2090697733,1.9974119077,1.2076954370780408,0.4023647359,23.1886166144,31.803541484177533,0.8653852085,85.4757807861,118.14470747877753,421.7774886915,0.0,0.2076954371,0.018219222421057387,0.4998078454065684
LCM,2023,4,0.5359060821,64045303400.0,24632809.0,20.4043239945,1.2471472273,-180.5203624961,87.22536345733043,4851.5963656033,24.1895921418,0.05744765858128331,0.0522523432028549,0.0266138364,0.0156050354,0.023096848,0.06067652514610289,2745303867.0,2495006365,0.0,2.3672911437,0.0059973211,2.3612227442,1.1453660655108469,0.3778828664,19.2957572281,20.432677014538694,0.8210396483,79.6150485007,100.8687651635387,444.5583118536,0.0,0.1453660655,0.018338591149477456,0.4965545187756262
LCM,2023,3,0.5310249766,62321006770.0,24632809.0,-32.4206226846,4.3049409818,-37.5130371996,25.002920292200535,4764.3710020648,-24.3973201493,0.1,0.14319210631550558,-0.013486733,-0.0314649565,-0.0118227587,0.03039728166355123,-2651253655.0,130743572,0.0,1.953373688,0.0157784859,1.9486238791,1.1891785560571015,0.0890375036,2.5804091264,69.70235473956009,142.3541465739,264.7556984971,476.8121998105601,2.5640278754,0.0,0.1891785561,0.022163295196380366,0.4874792089270491
LCM,2023,2,0.6304637978,73602833292.0,24632809.0,-54.4632046846,4.3973124835,5.0588169199,0.5107822660420093,4739.3680818944,-32.9591380863,0.1,0.003421220044615617,-0.0080089358,-0.0346467741,-0.0072045886,-0.17700373582377374,-2302386343.0,-650955311,0.0,2.4723732976,0.029142932,2.459738329,1.1195167323437252,0.0892329091,1.9391575413,63.97597220148952,257.6520809196,236.4480628455,558.0761159665896,1.4166390533,0.0,0.1195167323,0.02228185603297729,0.48488535216985346
LCM,2023,1,0.6545881853,76410973518.0,24632809.0,-47.3022771207,4.8464018755,252.5701887876,14.684905525796916,4738.8572995065,-31.8888395638,0.1,0.16042329778034015,-0.0082968214,-0.0324123281,-0.0075652574,-0.031668036011264604,-2453377086.0,-71406671,0.0,2.8984780073,0.0805689418,2.8885282145,1.090802104318906,0.0738390898,1.3327240912,62.748543467184874,410.9198507504,213.1805152487,686.8489094662848,0.888251077,0.0,0.0908021043,0.02578645203161795,0.48483524994113586
LCM,2022,4,0.4826242164,56162804520.0,24632809.0,-0.5400457248,3.4179454427,-1.5428761921,-118.23535724244847,4724.1723941025,-235.0302250578,0.09361544941749386,-0.6864211399883214,-0.5982839433,-0.0260826459,-0.5443424326,-0.751056964063532,-270143933.0,-3186717274,0.0,3.7568060542,0.0364982995,3.7482696792,1.070635307504727,0.0860077519,1.6470228791,38.016303815474714,205.1530796183,285.8416710327,529.0110544664747,1.7791592536,0.0,0.1061664042,0.06170651129816504,0.9235679560995412
LCM,2022,3,0.2567518167,57049585644.0,24632809.0,-92.8506419067,3.7653616084,-2.2685841326,48.1769411681794,9020.3840814095,-358.0402060636,0.12135767756376875,0.18083067315131668,-0.0026947343,-0.0069288418,-0.0025507405,-0.03492387169718457,-179808774.0,-229194107,0.0,5.7377570573,0.0835623861,3.9385169354,1.0529304760911538,0.062899109,0.9618343496,71.95561777464118,499.3349792756,228.0161841495,799.3067811997412,0.7309722234,0.0,0.0529304761,0.06396628781036172,0.9359245262452808
LCM,2022,2,0.3842679937,84761495769.0,24632809.0,-78.7113582377,7.8720971881,-3.1779471118,-10.204727727154463,8954.688021086,-184.4889684879,0.12000665180481018,-0.09289286399923134,-0.0047354586,-0.0052916215,-0.0044361772,-0.14178285626650824,-502058188.0,-383669017,0.0,7.3030852601,0.0443136631,4.8710513591,1.037935398464503,0.0443563545,0.6564198661,79.1925656120328,644.7501534717,385.9781857196,1109.9209048033326,0.5661107609,0.0,0.0379353985,0.0675446061568992,0.9289428465351358
LCM,2022,1,0.3698925219,80795613520.0,24632809.0,-82.0670883576,7.6956692042,-2.2111161947,18.855621094614097,8867.440691153,-225.3116751699,0.09352186662644828,0.15906089545095212,-0.0043351502,-0.0083066658,-0.0040054778,0.01630212380771171,-388371127.0,47603134,0.0,6.508910368,0.1717728201,4.3056531276,1.0367328214139033,0.0427146609,0.6135395122,85.12860035146586,567.3495441205,459.9363335909,1112.4144780628658,0.6433423694,0.0,0.0367328214,0.0713461981661649,0.9197762668655868
LCM,2021,4,0.5820139558,126858966350.0,24632809.0,-218.0542443384,12.9607347174,75.5156886425,-81.7711192824172,8848.585070099,637.6854867739,-0.24015744044504606,-0.6799416562302736,-0.0025699474,-0.0087108943,-0.0023354852,-0.3484209597655947,208509740.0,-1032158767,0.0,1.7808256197,0.0269907623,0.9832958516,1.0985429122801869,0.0392927154,0.899040286,325.7137226509974,600.0632678287,640.9453115279,1566.7223020075974,0.6082691935,0.0,0.0985429123,0.07360407579598752,0.9178499744204929
LCM,2021,3,0.8443112279,185731379860.0,24632809.0,61.6306595529,8.0134513089,14.823592552,29.403536519119683,8930.3561893814,-21566.8762381619,0.10970364326417863,0.3324186776551965,0.013316339,-0.0031872678,0.0119677587,0.0722221334905536,-8894939.0,157361470,0.0,1.770866646,0.0925962821,0.9568531334,1.096801400068266,0.0920428456,2.1856452627,82.079915507624,278.8230944499,303.7416187098,664.644628667324,1.3090737721,0.0,0.0968014001,0.07605444537311,0.9261123375228352
LCM,2021,2,0.3437445145,75376395540.0,24632809.0,24.7882106263,3.0435892271,4.9795340481,-6.455339056134442,8901.9602376651,-88.7934595451,-0.297792870995226,-0.06523506560382497,0.0134320277,-0.0035233855,0.0121601582,-0.432745390764331,-934469216.0,-1054834546,0.0,2.1005472302,0.0232524244,1.3346295931,1.0970113934702967,0.0990372029,7.3457853494,118.83221904277433,271.6016422363,261.2974504061,651.7313116851743,1.3438799449,0.0,0.0972233735,0.0803645621162385,0.9239759558153696
LCM,2021,1,0.2501252205,54931164070.0,24632809.0,14.1588593311,1.8795344114,1.5894624714,44.32266896560599,8915.5343676801,285.1720301452,0.11870071941338815,0.49421107787073915,0.017131993547081947,-0.00046587269753217697,0.01569073647260666,0.009909374644944393,205778208.0,21891404,0.0,2.898003339767456,0.17459042370319366,2.19724440574646,1.1103081314362968,0.11820103973150253,10.670167922973633,134.97899473810432,245.79620361328125,192.0781707763672,572.8533691277528,1.4849700927734375,0.0,0.11030813306570053,0.021409840919312643,0.9245804237932854
