ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Payable Outstanding,Cash Cycle,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
ART,2021,4,0.527527266,610611806700,96922509,18.0248123179,6.5300494036,-13.0549711289,260.75234771316127,11942.5106642256,14.6161111921,0.8447441705444743,0.6874858600661132,0.0297065624,0.0313736143,0.0293735192,0.7500481234927083,41511019506.0,27572632604.0,81.1114235207,26.8001834796,81.1114235207,1.0120925106937233,0.081044196,6.7596416336,0.0,7.9025402478,0.0,0.012079662,0.009922648458285966,1.1942510664225583
ART,2021,3,0.7788730806,881994831900,96922509,100.8276757594,13.7346496369,-6.0343474245,68.79249838652031,11683.5466867867,69.6844377671,0.7635430204074584,0.53053318318179,0.0077875216,0.0070972234,0.0077218373,0.5291988487797815,12597690168.0,6650772131.0,113.5991842559,36.4074839673,113.5991842559,1.0085884308759514,0.0566869146,4.5087427874,0.0,6.8870411282,0.0,0.0085884309,0.010866160923336879,1.1683546686786657
ART,2021,2,0.8436332497,949840588200,96922509,310.0007535947,16.125430694,-12.002819216,158.802612507689,11616.4221875952,136.8435910264,0.938709962431759,0.779642095025901,0.0027327303,0.0020725352,0.0027073599,0.7771197830877526,6926354542.0,15341752632.0,126.0533714914,40.5581592718,126.0533714914,1.0077224601217507,0.0520472053,3.7898520592,0.0,10.3729980805,0.0,0.0077224601,0.012076277556725235,1.1616422187595248
ART,2021,1,0.6894229968,765687821100,96922509,29.2790506026,11.0832748986,-11.7302081459,-138.82925620507822,11458.8576775803,25.3033182771,-0.41429202886089567,-0.550618204156641,0.023337408900260925,0.022958051413297653,0.02306942455470562,-0.5428925328300119,30121891840.0,-13266884478.0,132.12728881835938,44.299072265625,132.12728881835938,1.0071233943362645,0.06094325706362724,4.099990367889404,0.0,21.356544494628906,0.0,0.007123394403606653,0.013405435600583913,1.1458857677580343
ART,2020,4,0.7845554628,881994831900,96922509,562.1180776997,5.8259537058,-10.4090183695,1.487143125855316,11598.9250362782,102.7475177159,0.6542987216030252,0.029502438514868858,0.001394239,0.0007636855,0.0013661614,-0.14097583169511954,5475173975.0,-688754053.0,89.3872092876,53.2674728496,89.3872092876,1.0105747922196613,0.131814297,9.2876935539,0.0,3.2258648935,0.0,0.0105747922,0.014393480444174985,1.159892503627821
ART,2020,3,0.6638688763,746303319300,96922509,13.9745269285,2.7933396714,-7.2135908264,10.152326948118935,11598.6759956451,5.9864284745,0.7596232185454916,0.1356454673626621,0.0478454758,0.0588715533,0.0469647053,0.13059307282121765,71306125883.0,947338305.0,78.587962622,47.5367270156,78.587962622,1.0120384538933087,0.2349551489,14.6640594702,0.0,4.076085917,0.0,0.0120384539,0.015570030223620718,1.159867599564514
ART,2020,2,0.2070769902,232614021600,96922509,3.4761533153,0.7629640163,3.6598671302,397.0072780720111,11589.8922289764,-0.2339185633,1.349980379021525,1.1836821289507882,0.060587818,0.0739908526,0.0593630774,1.1845144711325044,87526739663.0,38505999123.0,56.9159158341,31.6915218994,56.9159158341,1.0166785320052345,0.2704651252,16.7124753369,0.0,2.9751405276,0.0,0.016678532,0.016760358587749807,1.158989222897645
ART,2020,1,0.222662312,242306272500,96922509,6.1074215629,0.7361302595,-1.6008684576,-392.45797863115575,11227.7644883502,0.3991743768,-0.3078161827878848,-0.35635114768642534,0.0364206472,0.0692886702,0.0356560141,-0.35511490531240303,79076657341.0,-37906051672.0,66.7355029759,36.9544617349,66.7355029759,1.0180538933309284,0.2958257818,20.8456875438,0.0,1.9827995402,0.0,0.0180538933,0.018496508310276,1.1227764488350174
ART,2019,4,0.2064791717,232614021600,96922509,2.9307883852,1.0015084115,14.7677429873,536.3009255672488,11623.4484118029,-0.6259892757,0.5883192835519605,0.430767797895479,0.0729587195,0.0900258923,0.070797818,0.5356418595554575,104329804017.0,64634511903.0,36.1032307979,20.7975681948,36.1032307979,1.0281799234381648,0.2071809085,18.6325973187,0.0,1.9556577908,0.0,0.0305086168,0.0145426479444945,1.1648842111588342
ART,2019,3,0.1979337217,213229519800,96922509,3.9398690404,1.3254322483,-2.3999339296,149.56811455427757,11114.8316756327,-1.2391593709,0.5006672624094931,0.3224046177745816,0.0510280421,0.061395027,0.0499237725,0.3976771465706793,68347818883.0,17881051231.0,61.1287215342,28.9920170627,61.1287215342,1.0194455335485486,0.1483992303,14.8106398607,0.0,3.2199823101,0.0,0.0194455335,0.016334112088625088,1.1114831675632746
ART,2019,2,0.1823941567,193845018000,96922509,3.9707505312,1.4822268855,0.8104540788,115.9269830912033,10965.2635610785,2.0703837098,0.6177958361923083,0.19785746594022885,0.0454869001,0.0545092194,0.0443520223,0.5422273831571494,60050175472.0,30792020381.0,59.5425476294,16.1603840649,59.5425476294,1.019788082693239,0.1217290682,15.0081800533,0.0,4.6888299157,0.0,0.0197880827,0.008485132251405332,1.0965263561078469
ART,2019,1,0.2208492612,232614021600,96922509,3.3707310001,2.3877812134,0.335019006,42.489962388406596,10867.1407239158,1.4179452779,-0.4168733515054679,0.21019918077051236,0.0638352288,0.0355992713,0.0619389934,-0.610369290946309,39570731309.0,-11958388287.0,66.8976214658,18.8920943953,66.8976214658,1.018378200371131,0.1065704639,11.019488,0.0,5.9374687783,0.0,0.0183782004,0.007901744769686374,1.0867140723915845
ART,2018,4,0.2586688533,271383025200,96922509,4.929364193,2.443730798,8.4590993468,250.40913465209613,10824.6507615274,-9.7335857288,0.8867315083696784,0.6139456781499562,0.0760228562,0.049931931,0.0727339545,0.7443351081989344,54059197080.0,29424790057.0,37.2936735516,10.1750303524,37.2936735516,1.030981551712315,0.1467150765,24.3675376748,0.0,4.2756357492,0.0,0.0305366807,0.008113214562463718,1.0824319541779506
ART,2018,3,0.2269385292,232614021600,96922509,2.0191731108,2.0945626102,0.2092546919,82.79946231065892,10575.5510476932,-10.3108769171,0.8761327198262495,0.5397635031607857,0.1022664371,0.0520565498,0.0964034744,0.6505932000454167,54792510603.0,9672932753.0,32.2458210183,27.4891549898,32.2458210183,1.033489651494568,0.1865429555,16.0046206935,0.0,14.5552947811,0.0,0.0334896515,0.00878363038467371,1.0575551047693164
ART,2018,2,0.968131217,407074537800,96922509,3.1859633833,3.2968681313,-2.7576790386,208.47782671412273,4338.254903915,-6.3600852545,0.6499512342514375,0.8625203668850928,0.0,0.0,0.0,0.4420696448663752,0.0,10356329386.0,0.0,0.0,0.0,1.0533417500171023,0.0,0.0,0.0,0.0,0.0,0.0,0.022651885845890573,0.4338254903915044
ART,2018,1,0.6770464043,1273136940000,145935000,3.7844815529,7.6242322585,-2.2608557744,17.16967858978312,12885.3797080515,12.9458799733,0.12326361896919132,0.07521126390737932,0.2486453304,0.2293758003,0.2219695147,0.06673773426994332,92085013584.0,2223362105.0,9.7642104717,3.0871395951,9.7642104717,1.114578417455806,0.5057230839,63.1731624071,0.0,10.2410700059,0.0,0.1145784175,0.021557849479461624,0.41279476157081324
ART,2017,4,0.6224603062,248493150000,31050000,2.8247549839,1.6118307242,-1.0355009047,858.4760152012882,12857.044730306,2.1907407906,0.8458719087070229,0.6757437935714827,0.328846182,0.2613026169,0.2983912634,0.7885581714632908,104845340886.0,31105804736.0,13.934346329,0.8860878988,13.934346329,1.084972763611448,0.5229346952,146.1633620281,0.0,6.1226740627,0.0,0.0838023213,0.001510499809464779,0.41193150867875283
ART,2017,3,0.816982897,370581750000,31050000,3.0759738511,2.8431109844,-6.4826904752,473.7536904991949,14608.6289491111,4.413336203,0.6986195650514961,0.5391291858124383,0.4141485079,0.4010644543,0.3201986125,0.6034988442824777,79707855646.0,16466367745.0,8.3926581005,1.3289161635,8.3926581005,1.1479300181680188,0.6029835399,129.554674855,0.0,6.80039181,0.0,0.1479300182,0.002564295231677777,0.20347852407844705
ART,2017,2,1.7157271342,313132500000,13500000,5.4362046328,2.8378694401,11.5501585417,2179.3417854814816,13519.0494676296,3.038149669,0.659078829243683,0.4395185903742374,0.3843476221,0.3570571218,0.2852017294,0.6270696043750831,65776815429.0,41975667891.0,6.9213841748,4.4075950873,6.9213841748,1.1794788834352115,0.5463306171,82.3640734178,0.0,9.7995388957,0.0,0.1794788834,0.004598728362603064,0.18830214951719831
ART,2017,1,0.0,0,13500000,0.0,0.0,0.0,1279.725301111111,11339.7076821481,0.0,0.8293954546841016,0.8428146848074539,0.1917284807,0.1331434273,0.1410875717,0.7324847361100523,21709872395.0,15014712126.0,7.2304201118,2.0272206277,7.2304201118,1.1723595632372668,0.2373671233,26.1410994872,0.0,28.9336063921,0.0,0.1723595632,0.007661576234955528,0.15794685392327185
ART,2016,4,0.0,0,13500000,0.0,0.0,0.0,578.3834488888889,10051.8943068148,0.0,0.5109687335561061,0.49984555531291514,0.0389590283,0.0213854772,0.0260294886,0.3610340002330539,4211296461.0,5639776503.0,2.2111563789,1.7791485297,2.2111563789,1.794633443221806,0.1290693278,12.5366678365,1.0003191557092377,24.8689616884,25.869280844109237,0.7946334432,0.011101353650316627,0.14000934823303016
ART,2016,3,0.0,0,13500000,0.0,0.0,0.0,229.3130554074074,9494.6040524444,0.0,0.5811642744838974,0.42513281610876863,-0.0192630264,0.0,-0.0158916237,0.348173851752257,-1175343916.0,2535327528.0,3.9570569812,1.7761228628,3.9570569812,1.3231652277690533,0.0841872647,5.876990019,31.425727157344664,79.9593037536,111.38503091094466,0.3231652278,0.014355441413813475,0.13224704563518883
ART,2016,2,0.0,0,13500000,0.0,0.0,0.0,-161.58684325925927,9292.1744459259,0.0,-3.4644334152442946,-6.429213091962232,-0.0808017086,0.0,-0.068710176,-8.274172322905379,-9165131096.0,-2807414291.0,7.2697187571,3.4988941881,7.2697187571,1.1518396575673988,0.0584208068,3.5520273521,23.839269329674284,50.5813389895,74.42060831917428,0.1518396576,0.01732735774880785,0.1294274738801902
ART,2016,1,0.0,0,13500000,0.0,0.0,0.0,-204.53952755555557,9472.7036100741,0.0,-0.963514508914314,-1.7072150474160293,0.1403817168,0.0,0.1083546994,-2.155818531845235,-11005448137.0,-3486863833.0,6.167620247,2.3240778599,6.167620247,1.1859253719264293,0.0775181346,5.0513847762,3.897437902795532,28.137755103,32.035193005795534,0.1859253719,0.017844676693311162,0.1319420019719052
ART,2015,4,0.0,0,13500000,0.0,0.0,0.0,-45.88470540740741,9675.6984585926,0.0,0.9931448872941784,-0.3233649534648666,0.0,0.0,0.0,-0.3233649534648666,0.0,-619443523.0,0.0,0.0,0.0,1.1868117057023468,0.0,0.0,0.0,0.0,0.0,0.0,0.019879903368705213,0.13480248947434903
ART,2015,3,0.0,0,13500000,0.0,0.0,0.0,-358.9766925925926,9723.9554457037,0.0,-0.7482159018556329,-1.3365926941478514,0.0,0.0,0.0,-1.3365926941478514,0.0,-4846185350.0,0.0,0.0,0.0,1.1785746170117186,0.0,0.0,0.0,0.0,0.0,0.0,0.02218859291300205,0.13544160161701962
ART,2015,2,0.0,0,13500000,0.0,0.0,0.0,1976.636791925926,10082.9321382963,0.0,-0.3707048082812018,5.0154910610231065,0.5656061747,0.0,0.2780397373,-0.7426346286878207,65743168010.0,-3951139642.0,2.4474416567,1.9789439958,2.4474416567,1.6158222758593235,0.2347042295,26.6228791458,0.9373152616263593,11.8163118765,12.75362713812636,0.6158222759,0.01957278243373988,0.14044166341896908
ART,2015,1,0.0,0,13500000,0.0,0.0,0.0,263.88586933333335,8106.2953464444,0.0,1.0830698870589945,0.7261323895086239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2672262859838503,0.0,0.0,0.0,0.0,0.0,0.0,0.02412391199653606,0.11290977535156461
ART,2014,4,0.0,0,13500000,0.0,0.0,0.0,134.53582807407406,7842.4094771111,-2.4689885439,0.3624798955301321,0.19498435379686294,0.2586454408,0.0,0.1432318596,0.0,24458097923.0,0.0,2.1244787328,2.123796445,2.1244787328,1.8286158068177807,0.2626360412,29.1698703091,1.1575166300489699,24.8178635781,25.97538020814897,0.844825746,0.026956260049173866,0.1111513442558529
ART,2014,3,0.0,0,13500000,0.0,0.0,0.0,2443.071069037037,7904.8172402963,1.6811813425,0.9669582565638332,0.932587366793197,-1.0087876868,0.0,-0.4079466429,0.0,-74898640285.0,0.0,1.6366617013,1.598445999,1.6366617013,2.536708845879263,0.1849601863,340.6621227769,1.5139617940099008,16.7442162527,18.2581780467099,1.5367088458,0.00038714320689109156,0.11010345671509597
ART,2014,2,0.0,0,13500000,0.0,0.0,0.0,-471.11531096296295,5461.7461713333,0.0754081464,0.49689003885094146,-8.229162773672293,-1.3278941814,0.0,-0.6332231941,0.0,-108585218840.0,0.0,2.4230438174,2.3488551095,2.4230438174,1.6800379209230527,0.002552107,3.01499985,179.9864373236989,14.6680335906,194.6544709142989,0.6800379209,0.0009942029486190026,0.07607476743405395
ART,2014,1,0.0,0,13500000,0.0,0.0,0.0,-113.42415866666667,5932.8614823703,0.72752703,0.6249709633915997,-2.2190724931839427,-0.9885910225,0.0,-0.4919657116,0.0,-97303531666.0,0.0,1.6621520479,1.5834363696,1.6621520479,2.4634970479105274,0.0058699517,5.9282698848,91.37030478590228,8.7748766171,100.14518140300228,1.4634970479,0.0013593357671975658,0.08263676914513222
ART,2013,4,0.0,0,13500000,0.0,0.0,0.0,-7412.308149111112,6046.285641037,0.2220594044,2.8373927532523537,35.29858096587333,-0.509441006,0.0,-0.3049459314,0.0,-55606358285.0,0.0,2.2822396172,2.1839143341,2.2822396172,3.898431515330843,0.2293273727,144.0880767227,26.11660640540462,211.9257647073,238.04237111270461,0.7551386558,0.004779779328133199,0.03791605685940301
ART,2013,3,0.0,0,13500000,0.0,0.0,0.0,-53.80333237037037,10134.1108787407,0.3205141562,-0.40129899549867043,-0.40129899549867043,-0.0358566452,0.0,-0.021975615,0.0,-8187093330.0,0.0,2.5750357089,2.4809223358,2.5750357089,1.6233657944346267,0.0844086832,59.8797954332,60.50404482499124,126.2779376756,186.78198250059125,0.6233657944,0.0016322215116550184,0.14115451433784076
ART,2013,2,0.0,0,13500000,0.0,0.0,0.0,362.6916817037037,10187.9142111111,0.2462551141,-3.6651707550889436,3.270106087581027,-0.0797718948,0.0,-0.0503096,0.0,-14846060200.0,0.0,2.6217896587,2.6017894385,2.6217896587,1.6326829728943144,0.1324982121,69.2552656316,108.99555970469699,143.8991001541,252.894659858797,0.604889191,0.0019673828006735207,0.14501662651655045
ART,2013,1,0.0,0,13500000,0.0,0.0,0.0,7.568503185185185,10186.8349282963,-5.3865679989,0.3976755579593942,0.016044109535452905,0.0028208136,0.0,0.0018281144,0.0,607813830.0,0.0,2.5075024306,2.4167988197,2.5075024306,1.6501245390729022,0.0969505601,20.5085392474,1520.221741159182,142.2735034981,1662.495244657282,0.650124539,0.0024179867907622834,0.1418888893311666
