ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Payable Outstanding,Cash Cycle,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
ART,2024,2,0.9010295376,125999261700,96922509,-5.4505634011,66.2299811948,2.9175632144,-63.83561401614149,1442.7939881024,-2.6238948332,-5.94730295599424,-21.031978581164427,-0.0576904674,-0.1650727398,-0.0569101037,-21.139571813650633,-19053407360.0,-6218759244.0,21.0642061343,19.5536723674,21.0642061343,1.0312493807063898,0.0046835606,0.0701403122,0.0,31.2106100433,0.0,0.0312493807,0.24233135595541136,0.1442793988102392
ART,2024,1,0.8628530849,125999261700,96922509,-6.1465325791,43.9721349321,3.0947553986,-66.82498488560589,1506.6296021185,-2.5491081428,-7.301724992387212,-32.07419061405735,-0.050426808,-0.1413124543,-0.0497387857,-26.966961095493545,-17884922938.0,-5445525800.0,21.38318119,19.8060359682,21.38318119,1.0311877562584548,0.0069526091,0.1448173527,0.0,35.8046287568,0.0,0.0311877563,0.23919779908101071,0.15066296021185338
ART,2023,4,0.8262075123,125999261700,96922509,-6.9920300558,35.5086486671,-4.3326234368,-65.13618807577505,1573.4545870041,-6.2159579381,-16.628571824265695,-62.58617111871081,-0.1115722596,-0.1262947082,-0.1066518322,-71.90344286344663,-16290421281.0,-7253010222.0,13.4278337644,5.4292934108,13.4278337644,1.0513785666914608,0.0210008785,0.1662542799,0.0,31.1621712819,0.0,0.0513785667,0.23604667411732771,0.15734545870041394
ART,2023,3,0.1082055953,125999261700,96922509,-12.2668556253,12.3117494111,-2.2337329057,-42.71066708559928,12014.1661451108,0.0,-0.38417551452478216,-3.170985551973002,-0.0111784297,-0.0097429417,-0.0111088548,-3.1914546570776374,0.0,-4166346808.0,218.0063418907,72.9547080811,218.0063418907,1.0044816164035946,0.0110683473,2.0157423956,0.0,28.8106330452,0.0,0.0044816164,0.003159896741892668,1.2014166145110834
ART,2023,2,0.1088534507,125999261700,96922509,3.7177930111,1.3474705119,-2.6938829314,-36.82951999313183,11942.6622783259,2.9357839863,-0.43945359974629417,-2.839423464201681,0.0,0.0,0.0,-2.9991847712031565,0.0,-3770455001.0,0.0,0.0,0.0,1.0299509258391861,0.0,0.0,0.0,0.0,0.0,0.0,0.02783552401983845,0.16826481817964495
ART,2023,1,0.1088534507,125999261700,96922509,3.7177930111,1.3474705119,-2.6938829314,-39.902859448262944,11942.6622783259,2.9357839863,-1.1062418492137223,-4.32202201417427,0.0,0.0,0.0,-4.403060909791707,0.0,-3940001482.0,0.0,0.0,0.0,1.0049198888974105,0.0,0.0,0.0,0.0,0.0,0.0,0.0046077603651837095,1.2092556470757478
ART,2022,4,0.1088534507,125999261700,96922509,3.7177930111,1.3474705119,-2.6938829314,13.466418146480297,11942.6622783259,2.9357839863,0.62262677701843,0.192603687682477,0.0,0.0,0.0,0.07846139551724973,0.0,531701853.0,0.0,0.0,0.0,1.0060804748289636,0.0,0.0,0.0,0.0,0.0,0.0,0.005688096946859825,1.2132459330205743
ART,2022,3,0.1088534507,125999261700,96922509,3.7177930111,1.3474705119,-2.6938829314,-42.232620866222106,11942.6622783259,2.9357839863,-1.102570632030943,-4.506012981384135,0.0,0.0,0.0,-4.5660935705678405,0.0,-4147869175.0,0.0,0.0,0.0,1.0197364970691212,0.0,0.0,0.0,0.0,0.0,0.0,0.02271681717644388,0.3641124555349676
ART,2022,2,0.1590935049,184152767100,96922509,5.4336974778,1.9693799789,-3.9372135151,-8467.845435171308,11942.6622783259,4.3367012871,37.670011732141376,87.45679829193939,0.0,0.0,0.0,37.9973603367885,0.0,-356580363530.0,0.0,0.0,0.0,1.0194012086706754,0.0,0.0,0.0,0.0,0.0,0.0,0.026164830413643224,0.3685860196799074
ART,2022,1,0.3935470911,455535792300,96922509,13.4412516557,4.8716241582,-9.7394229057,216.37971448923182,11942.6622783259,10.8743153575,0.7263731302444819,0.561368151300721,0.0,0.0,0.0,0.6392488408311093,0.0,23881597305.0,0.0,0.0,0.0,1.009655077513245,0.0,0.0,0.0,0.0,0.0,0.0,0.009069163115579188,1.2156795066066646
