ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
PPE,2024,3,2.2118594515,26600000000.0,2000000.0,29.8221003859,2.863717653,-50.2392108863,259.9621035,6013.040291,0.0,0.013285879900742247,0.1395340863321479,0.0771407292,-0.0343879132,0.0544100178,-0.042800979442458205,0.0,-159482646,2.4486028514,1.3528223818,2.4486028514,5.847902924661978,1.3889601569776011,0.5666134755,0.0,44.47036685456365,0.0,120.8117728537,165.28213970826366,0.0,0.388960157,0.0,0.6013040291
PPE,2024,2,1.7381999121,20000000000.0,2000000.0,33.1382146967,3.5955182626,-7.3369392392,-26.7896795,5753.0781875,0.0,0.0021669732887922605,-0.044437697983592525,0.0532228936,-0.0301297823,0.0370816452,-0.06744278723078503,0.0,-81317023,3.3742867727,2.2019124797,3.3742867727,4.220297582353569,1.4211791142982793,0.3417642269,0.0,74.2597795157167,0.0,201.5862833479,275.8460628636167,0.0,0.4211791143,0.0,0.57530781875
PPE,2024,1,2.058870596,23800000000.0,2000000.0,26.8964923266,5.4627727851,-4.8084244191,200.432332,5779.867867,0.0,0.0,0.0,0.0790853965,-0.0312840852,0.0547356341,0.0,0.0,-155132319,2.352805026,1.9167343236,2.352805026,60.34175608105348,1.419472244398974,0.2694962099,0.0,94.81091375764811,0.0,258.0753681201,352.8862818777481,0.0,0.4194722444,0.0,0.5779867867
PPE,2023,4,2.401676642,26800000000.0,2000000.0,36.0170162716,6.15135759,-2.9972737872,12.373221,5579.435535,-94.7587607518,0.01094189440979032,0.00568000797843933,0.0689816282,-0.025338556,0.0432210196,-0.0040442483787657526,-282749679.0,-17619827,2.2443998071,0.6852338699,2.2443998071,0.0,1.4435278730216567,0.2530648143,0.0,272.43244325662425,0.0,258.1487214341,530.5811646907243,0.0,0.443527873,0.0,0.5579435535
PPE,2023,3,1.9759074678,22000000000.0,2000000.0,22.0902740033,0.0,-15.4933500228,115.750534,5567.062314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-92608818,0.0,0.0,0.0,0.0,1.4580363055372116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5567062314
PPE,2023,2,2.2379934394,24400000000.0,2000000.0,9.3476439822,13.5555555556,1.753352937,113.8807875,5451.31178,0.0,0.0,0.0,0.2478285281,0.1389468428,0.1511050568,0.0,0.0,-96274794,3.1753772838,0.0083345909,3.1753772838,0.0,1.4596903752953203,0.1041990695,0.0,201.06326084102716,0.0,0.0,201.06326084102716,0.0,0.4596903753,0.0,0.545131178
PPE,2023,1,1.6674688652,17800000000.0,2000000.0,8.3812938158,9.8888888889,1.1920998103,130.041823,5337.4309925,0.0,0.0,0.0,0.2149561552,0.1346266921,0.1220860035,0.0,0.0,-76246240,2.7988302352,0.0014403877,2.7988302352,0.0,1.5559168288394503,0.1034735729,0.0,201.06326084102716,0.0,0.0,201.06326084102716,0.0,0.5559168288,0.0,0.53374309925
PPE,2022,4,1.5362784957,16000000000.0,2000000.0,8.5848790718,8.8888888889,1.0373193274,138.283558,5207.3891695,10.5399091642,0.0,0.0,0.1965369873,0.1453096311,0.10196366,0.0,1513367598.0,-67236268,2.3168154688,0.0102325127,2.3168154688,0.0,1.7594078469613792,0.0984763902,0.0,222.55418070493013,0.0,0.0,222.55418070493013,0.0,0.759407847,0.0,0.52073891695
PPE,2022,3,3.2276789645,27600000000.0,2000000.0,40.8775908073,5.1572287043,65.2470972347,922.935536,4275.5181515,40.7457203354,1.0,1.0254839288888888,0.0,0.0,0.0,0.9748013466666666,0.0,1754642424,0.0,0.0,0.0,0.0,1.8002200320698527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50691056115
PPE,2022,2,3.9527148325,33800000000.0,2000000.0,40.5874110327,6.3157366017,-405.9676182932,-129.3723595,4275.542435,40.4533677578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-174038558,0.0,0.0,0.0,0.0,1.977600159590945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41461700755
