ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Payable Outstanding,Cash Cycle,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
PHS,2024,3,0.9499716298,1500093290000.0,150009329.0,76.5966185246,2.5869793941,4.1610134852,-71.21638681551599,10526.6301506222,12.6377255774,0.5546189794336993,-0.098208294328573,0.0,0.0,0.0,0.3126227502178601,0.0,34007179622.0,0.0,0.0,0.0,0.0,-1.089245252542612,2.260157335368738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019712729094732657,1.0455379611690618
PHS,2024,2,0.9499716298,1500093290000.0,150009329.0,76.5966185246,2.5869793941,4.1610134852,-3.5106917517109886,10526.6301506222,12.6377255774,0.5301334713872919,-0.00436725874206706,0.0122339542,0.070934133,0.0050162791,0.3068807300388766,244993686346.0,37005958984.0,0.0,1.7208779066,0.1088250533,1.7208779066,-1.1305333841121654,2.3146665898112384,0.1485245759,23.3222004088,0.0,0.101459319,0.0,1.1044721895,1.3146665898,0.015326471756709712,1.0526595765881166
PHS,2024,1,1.1080188314,1800111948000.0,150009329.0,48.343340737,3.0250698598,5.5632536216,84.1921926668974,10830.1408423739,12.327334193,0.6106532091233248,0.08522735247829072,0.0230610134,0.0791742101,0.0093238982,0.42368384538452375,272600648459.0,62784580408.0,0.0,1.696026878,0.101573746,1.696026878,-1.743123937334374,2.364399643156009,0.1490042911,23.3349751002,0.0,0.1066763916,0.0,1.0487361561,1.3643996432,0.01628205799553496,1.0830105466229514
PHS,2023,4,1.4144865656,2280141800800.0,150009329.0,51.1807231063,4.0786744752,-3.666316533,162.8567666214946,10745.948649707,16.8761998155,0.6120333954678293,0.16282961623925588,0.0277623799,0.069290108,0.0115462001,0.4417179412052964,258447258244.0,66272860532.0,0.0,1.6316774972,0.1184608271,1.6316774972,-1.605211905925946,2.506673110179355,0.1448860093,20.7951742267,0.0,0.4405465798,0.0,1.2345218372,1.5066731102,0.01473041209890669,1.0745913548572443
PHS,2023,3,1.3228648258,2100130606000.0,150009329.0,45.4094750505,4.0087535574,-18.2795126936,-112.98420140923369,10583.0918830855,17.901751947,0.5915186630977369,-0.10523619199549866,0.0287397221,0.059507164,0.0120094907,0.4325378185913223,233585874135.0,69661841336.0,0.0,1.6051384435,0.078772647,1.6051384435,-1.7180847379559203,2.569693939045122,0.1360384621,19.0426430386,0.0,0.2978611349,0.0,1.3793724551,1.569693939,0.01578085104657336,1.0583057313914899
PHS,2023,2,1.2848662116,2100130606000.0,150009329.0,40.438549805,4.2486518236,-5.2983823966,114.1597093804746,10896.0760844947,17.7136482909,0.6685799338270826,0.12611479824382246,0.0323542268,0.0596172545,0.0131955405,0.47725398178368345,225316032906.0,64805913077.0,0.0,1.6528627925,0.0550854334,1.6528627925,-1.7975708663908372,2.455094484564935,0.1255947874,17.1367482483,0.0,0.3978353809,0.0,1.221935784,1.4550944846,0.01636774971349248,1.0896040492975996
PHS,2023,1,1.2520965226,2025125941500.0,150009329.0,56.2764628329,4.1647324363,18.1550820767,132.95454148721643,10781.9163751142,18.0003448099,0.667546180036907,0.17781695131435896,0.0226012593,0.0587540675,0.0089744311,0.43548013887844406,211990969511.0,48844609048.0,0.0,1.7617552924,0.0297345045,1.7617552924,-1.5634502990788315,2.2477002250143445,0.1212681113,16.4843297947,0.0,0.7863302025,0.0,1.1397635901,1.247700225,0.017446315297752275,1.078188115649283
PHS,2022,4,1.173823345,1875116612500.0,150009329.0,31.2627804933,3.5008675067,2.0948748856,174.1756507156965,10648.961833627,16.1533043054,0.5662290678519316,0.22743586117640596,0.037462325,0.0666613561,0.0142078047,0.360984713262195,237167215246.0,41470147273.0,0.0,1.7310055362,0.3710495513,1.7310055362,-1.2903730701833873,2.30131661361253,0.1268758328,17.9395224123,0.0,2.4681243171,0.0,1.1474708578,1.3013166136,0.018793149635456544,1.0648927049295354
PHS,2022,3,1.4129166688,2220138069200.0,150009329.0,27.4657746928,3.7382369172,-8.518897489,-75.08559733641633,10474.7861829113,15.2118461784,0.646419826596069,-0.08567204772444448,0.0504640905,0.0696541894,0.0178740159,0.4669885101308711,274526550352.0,61396265616.0,0.0,1.5252752214,0.1077272793,1.5252752214,-2.4822533246080782,2.811876503638458,0.1313249277,20.0836953835,0.0,1.4060933568,0.0,1.4329775209,1.8118765036,0.01933871889170646,1.0474751967516207
PHS,2022,2,2.132727342,3375209902500.0,150009329.0,24.5780925339,5.8978728325,-3.9552142902,7.842550138998355,10549.8717802477,19.0056442117,0.59377899726063,0.009209772835947564,0.08146099,0.0661514589,0.0299037249,0.40415479035788704,256589629370.0,51626702287.0,0.0,1.5524208693,0.2537383856,1.5524208693,-3.157115225961975,2.722811736234509,0.1314317776,19.6489511221,0.0,1.3659923315,0.0,1.3753592984,1.7228117362,0.01855616419835947,1.054983731958906
