ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
BLW,2019,4,1.6336882902,196570880000.0,11168800.0,22.4668179494,3.4009121602,20.6433819411,158.84070213451758,10773.1689733006,9.3934096779,0.394234307335808,0.12413293976591108,0.0751888557,0.0598666651,0.0674039322,0.11105458782327554,18667805089.0,1587149279,0.0284090909,3.1717453989,1.9519032515,2.6033777318,1.0865165987712748,0.4452781497,0.647820296,8.370341041707276,63.8803560486,3.4241672402,75.67486433050728,5.7138066,0.0865165988,0.7477286123668853,1.0773168973300624
BLW,2019,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4196906667392046,0.03584267337058788,0.0,0.0,0.0,0.0279506198100513,0.0,391407280,0.0,0.0,0.0,0.0,1.118695017879661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.752173574115533,1.0614328271166105
BLW,2019,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42424573976756164,0.26301505686400023,0.0,0.0,0.0,0.15246039525392302,0.0,2276293508,0.0,0.0,0.0,0.0,1.11321672762415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7558307246267089,1.0563442807732255
BLW,2019,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4933790609565656,0.1747288409291741,0.0,0.0,0.0,0.20231399207761208,0.0,2948508808,0.0,0.0,0.0,0.0,1.1223954508804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7705946756807611,1.0292427302575031
BLW,2018,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45458228804374046,0.14152853805554008,0.0,0.0,0.0,0.1703075261953792,0.0,2378984845,0.0,0.0,0.0,0.0,1.0839734283245972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7782297163747239,1.0282048408065325
BLW,2018,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44526042602201676,0.1350957312902632,0.0,0.0,0.0,0.15776310313639264,0.0,2047816961,0.0,0.0,0.0,0.0,1.1002533487410677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7902037208183166,1.019457454462431
