ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
HPM,2019,3,1.7719294322,49020000000.0,3800000.0,-9.1088966566,24.6554253294,-16.4923935204,-257.69615236842105,7280.1996318421,-42.5840366077,-4.607570940373611,-22.182247327210636,-0.1793299564,-0.1336608541,-0.1390130659,-22.183449217670294,-1215193280.0,-979298437,0.4935658567,0.000771875,0.4935214151,1.3337561793026542,0.051358094,0.0781903551,749.0663644529346,0.191007961,422.5168147461,1171.7741871600347,1910.9151158788,0.0988608685,0.3337561793,0.9269103498728194,0.7280199631842105
HPM,2019,2,1.1807008554,33820000000.0,3800000.0,6.7142213497,11.6769741439,-12.6599549939,-545.6361644736842,7537.8957842105,-52.2794775465,-10.409610854184058,-22.265710934395354,0.1585371489,-0.1128934132,0.1221006166,-20.11923681980108,-694510226.0,-1873534437,0.5066877768,0.0163218761,0.5066198378,1.3129899910033458,0.070207449,0.1146017861,502.2495814482129,0.225693513,504.2734481312,1006.7487230924129,1617.2374433151,0.0919900047,0.312989991,0.9200457143631496,0.7537895784210527
HPM,2019,1,1.4721287768,45220000000.0,3800000.0,9.3046885989,15.2320758179,-734.7995612392,-163.9495644736842,8083.5319486842,-75.2965133806,0.5979258154785688,-0.9548483432774756,0.1571238806,-0.1115202375,0.1122532427,-0.9548859987425015,-600315455.0,-623032914,0.6331646294,0.0023234303,0.6329488042,1.256961809975208,0.0685711836,0.118206355,457.5352362097202,0.3740112794,1265.6206455274,1723.5298930165202,975.9063967071,0.0,0.25696181,0.8835535762641272,0.808353194868421
HPM,2018,4,1.4428647074,45220000000.0,3800000.0,18.2602248016,18.5745235656,-57.2009845759,-448.91598394736843,8247.4815131579,-15.4012135427,0.5472248542490923,-1.4233844605053487,0.0822670496,-0.1962321124,0.0573145049,-0.4901147423870158,-2920259558.0,-587386839,0.5990429644,0.0009073479,0.5988177407,1.2642052219386404,0.0563446885,0.0958239083,511.3832652498529,0.3300488555,859.9757060827,1371.6890201880528,1105.8968814706,0.0,0.2414393953,0.6838359016854055,0.8687023933421053
HPM,2018,3,1.3025479707,45220000000.0,3800000.0,8.4938260454,32.6548741626,204.0489898612,2484.0463347368423,9135.9399173684,-19.9686848582,0.5320143147222385,9.91280841155541,0.1786459805,-0.1561899156,0.109808829,-0.4696661423319534,-2252303613.0,-447235048,0.7981359735,0.0198023362,0.7979979231,1.3555925679429428,0.0285622626,0.0586813395,1080.4117918563086,86.719000478,2714.9637834954,3882.0945758297084,4.2089968518,0.0,0.3555925679,0.720770578538744,0.9135939917368421
HPM,2018,2,1.8039975912,45600000000.0,3800000.0,-7.4150790209,102.8306474197,-60.4544035355,-592.2556644736842,6651.8935826316,-24.8978125247,-2.5733392184635644,-13.593814422092493,0.0,0.0,0.0,-10.678759054956405,0.0,-1767959331,0.0,0.0,0.0,1.8108179654490053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0176107170588753,0.665189358263158
HPM,2018,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8955366740555415,-13.643971566943405,0.0,0.0,0.0,-13.644830083041215,0.0,-1336325919,0.0,0.0,0.0,1.6869681060404003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8086789109553867,0.7244149247105263
HPM,2017,4,1.5271613875,44080000000.0,3800000.0,-8.2322745851,118.0518704332,-22.4631941443,-139.1304552631579,7595.7918363158,-16.3469064756,-0.7842811737532982,-3.127445436446758,-0.1697627785,-0.1731469225,-0.1052419891,-11.06686947607235,-2691647218.0,-1870858103,0.4459093973,0.00567971,0.4456174766,1.7251920319824225,0.0073389854,0.0215311732,4447.660553883643,8.6874107738,1658.8181875845,6115.166152241944,42.0148200083,0.0,0.6459219511,0.6750378449508853,0.8337715516315789
HPM,2017,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.52702835826235,-186.5774925267994,0.0,0.0,0.0,-132.00817791491514,0.0,-1439191438,0.0,0.0,0.0,1.5707286430965988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27441279307658967,0.8476840708421053
HPM,2017,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224790937,0.0,0.0,0.0,1.5932200741013005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27509944045288526,0.8766606914473685
HPM,2017,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12412033443521087,-2.763709535466732,0.0,0.0,0.0,-2.765027058421221,0.0,-534873885,0.0,0.0,0.0,1.5564335595181493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3480402135409514,0.8864190701842105
HPM,2016,4,2.1654925083,74100000000.0,3800000.0,-12.5512988055,14.0494686699,-22.5560154879,-233.2434552631579,9004.8799176316,-15.8718470832,0.0,0.0,-0.1588297896,-0.1838234901,-0.0983595249,0.0,-4667281355.0,-886192477,0.6993876127,0.1622618123,0.6922696121,1.5218346803651706,0.0878709236,0.4257028503,595.7785851430377,7.5183122783,1031.9025456135,1635.1994430348377,48.5481297518,0.0,0.5853601949,0.3226607429056507,1.0125130025526317
HPM,2016,3,1.8053027374,71060000000.0,3800000.0,-296.9384591826,8.90804403,16.3274501458,-222.09367763157894,10358.3734807895,91.3334292682,0.20884314864787418,-0.7699694377167086,-0.0059870571,0.0,-0.0041566263,-0.8113202890653274,777909901.0,-889280239,1.7922481119,0.0008362116,1.7687827576,1.3287602349721548,0.1385559153,0.6141864194,365.4522466801788,15.3172084025,784.2581583451,1165.0276134277788,23.8294074487,0.0,0.328760235,0.32437421391442944,1.0358373480789473
HPM,2016,2,1.7201508901,69160000000.0,3800000.0,79.8988091056,7.9758100168,8.2985614828,61.282065789473684,10580.4671584211,33.1523546426,0.24275580420830892,0.06591855142901455,0.0,0.0,0.0,-0.03000086913741905,0.0,-105984700,0.0,0.0,0.0,1.302509140313628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31886734596183747,1.0580467158421052
HPM,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42034086521390984,-0.2314992245637451,0.0,0.0,0.0,-0.230707073341996,0.0,-148900559,0.0,0.0,0.0,1.5011488906271229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33293181100226826,1.051918509263158
HPM,2015,4,1.6384896962,65740000000.0,3800000.0,44.5245506476,7.304424966,31.9837329508,137.1545,10558.5039928947,16.5100506644,0.448809389312497,0.19282950260818346,0.0,0.0,0.0,0.10297517425196247,0.0,278325317,0.0,0.0,0.0,1.6264114527859903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32360808873569247,1.061674378868421
HPM,2015,3,0.0,0.0,3800000.0,0.0,0.0,0.0,68.6704605263158,0.0,0.0,0.19145192738444353,0.1457605083088954,0.0,0.0,0.0,0.16039788465298144,0.0,287152313,0.0,0.0,0.0,1.258106072139415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1826631821972219,1.0472330542105264
