ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Dividend yield (%),Financial Leverage,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
BID,2024,2,2.1716940232,281601533460000,5700435900,12.3315997054,3.7109192448,3.8932251452,1116.7486332054011,22747.2192082714,0.42903731512627613,0.1806127058,0.0,0.0098393228,0.0,18.713794503545213,17.7137945035,0.08599868258912871,2.3632802010807628
BID,2024,1,2.1429254481,265640312940000,5700435900,12.1319400734,3.6430567901,15.1417799855,1019.684827962016,21745.973496518,0.4292514193552199,0.1805202316,0.0,0.0098550849,0.0,18.049680898768763,17.0496808988,0.08441522832870355,2.263297706759583
BID,2023,4,2.5818607243,304403277060000,5700435900,14.1550542785,4.1691644801,-4.2864653562,1065.5825460645913,20682.7577869966,0.40851765757254244,0.1894828352,0.0,0.009727331,0.0,18.718431871824055,17.7265157173,0.0902745838892774,2.15627447016815
BID,2023,3,2.2952016439,262220051400000,5700435900,13.3351133448,3.7405255667,-4.5877218485,803.9525538739941,20041.8120656352,0.33250004208053113,0.175847658,0.0,0.0092699331,0.0,17.909927771129745,16.9099277711,0.08805215692974458,2.0891005545733794
BID,2023,2,1.9490186252,213216778844400,5058523816,10.4728745844,3.05598946,-15.4610845608,1072.6714348635182,21626.2684489059,0.40053581599369553,0.1897692571,0.0,0.0096934566,0.0,18.613552617779206,17.6135526178,0.09296510876356717,2.002507281943123
BID,2023,1,2.2493750379,236233062207200,5058523816,11.7583409885,3.3439738857,7.0255801234,1081.0426517521412,20761.3222394681,0.3923941064823083,0.196535542,0.0,0.0097342838,0.0,19.179736435454146,18.1797364355,0.09445558737090011,1.9270186337855322
BID,2022,4,2.2605431811,224851383621200,5058523816,12.3827057626,3.2314384304,1.6967623413,806.3492727064785,19663.4155769684,0.28270586194356456,0.1906214078,0.0,0.0093544949,0.0,20.34946686388582,19.353291926,0.1010714255040026,1.828028010980704
BID,2022,3,2.1966793014,211446295508800,5058523816,13.0323868865,3.1481851241,1.881048167,1043.3786993956498,19028.722113661,0.3743649379274635,0.1749070102,0.0,0.0084969443,0.0,20.301724051489295,19.3017240515,0.1003897049949735,1.7704796926143842
BID,2022,2,1.8050277169,164149097829200,5058523816,12.6319656386,2.53094844,2.0339948584,1019.6371881626425,17977.5632789074,0.35310520981341664,0.1459508447,0.0,0.0071442705,0.0,21.074792973440243,20.0747929734,0.10924399328649359,1.6475501285787637
BID,2022,1,2.1050104279,182359783566800,5058523816,15.8634528891,2.8486160673,5.6304318016,705.9688023419993,17125.8058973622,0.27843289611737226,0.1326014912,0.0,0.0066269825,0.0,20.567132949994004,19.56713295,0.11698086744738917,1.5759799176059501
