ticker,yearReport,lengthReport,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
DDM,2024,2,23264534800.0,12244492.0,-0.1828058846,0.1026807443,0.8395542278,-3416.3848901203905,0.0,-14.8685431337,-0.10756355902243353,-0.6027540005371166,0.0,0.1875231354,-0.2449254533,-0.1795178580166685,-32696680897.0,-12458768621,1.5077876169,0.085337065,1.3579548755,0.34131257769936174,-0.5520306679084931,0.4360487888,1.4591874833,61.53987106271288,13.6628323982,33.6556560489,108.85835950981289,26.7148120802,-0.9884946836,-1.5520306679,-0.1520900023005063,-0.7357801320054441
DDM,2024,1,29386780800.0,12244492.0,-0.2632562019,0.1436820044,-1.3126433115,-2503.1708819769738,0.0,-12.5852918218,-0.4335462166888343,-0.6086944053546961,0.0,0.2368309516,-0.2083202283,-0.5222836360279628,-40114399768.0,-26298948154,1.5184005172,0.0686455682,1.3770765557,4.761887828926975,-0.5988467561588433,0.3816872705,1.2210691696,72.47205246143626,13.1677694788,31.2466851188,116.88650705903626,27.719197286,-1.0592540845,-1.5988467562,-0.17355952705784336,-0.7015473554164545
DDM,2023,4,15844372648.0,12244492.0,-0.1547494829,0.0769468247,-12.6432116747,-2589.144560590999,0.0,-15.4949451498,-0.2966977386593245,-0.5485737020637032,0.0,0.235808361,-0.181757565,-0.3994291178525387,-30386771724.0,-23083507934,1.750296422,0.4650766638,1.6209708035,4.238917947992118,-0.6357318776959975,0.3655367106,1.098890368,87.6819178530732,13.6763354937,28.0857460912,129.4439994379732,26.6884356681,-1.0988755290999999,-1.6357318777,-0.194568358263007,-0.6764750784960916
DDM,2023,3,12220003016.0,12244492.0,-0.1616122211,0.0549347065,0.9921125075,-1884.8381669080268,0.0,-45.0630540772,-0.27895849896852976,-0.4707550776230463,0.0,0.194006738,-0.1322885095,-0.39186396213813623,-10368072051.0,-19211229115,1.6526541999,0.200072287,1.5439107712,3.517178278234705,-0.6779781329840022,0.3891791036,1.1513128058,81.17723769206857,12.4177665624,27.7344137331,121.32941798756858,29.3933694249,-1.1124571789000002,-1.677978133,-0.21820034574606478,-0.6505681490392213
DDM,2023,2,15917839600.0,12244492.0,-0.4303486262,0.0579196658,0.3865700021,-2139.4407291866414,0.0,11.139534809,-0.3558681777728541,-0.553176435436132,0.0,0.04299445,-0.0624095922,-0.4515881010798335,42432111079.0,-21385521724,1.5724196786,0.1725764902,1.454493713,4.055296120436049,-0.7269773639841413,0.4637092062,1.3296890765,74.75667999227011,11.9829857739,25.4650720387,112.2047378048701,30.4598542372,-1.146595866,-1.726977364,-0.24036267182956744,-0.6317235056741826
DDM,2023,1,24488984000.0,12244492.0,2.3390900407,0.0725040833,0.2803312843,-1749.4144473286437,0.0,5.0813967761,-0.26322033455421673,-0.41400225921458234,0.0,-0.1362380873,0.0171874561,-0.3594946261363132,94409525254.0,-18600438053,1.9017163791,0.1627272504,1.8031433211,3.575194523751796,-0.7815044465217834,0.554493009,1.5306654467,63.83991912973127,12.0499179976,23.0033738042,98.89321093153127,30.2906625649,-1.1823753096,-1.7815044465,-0.2670334125938777,-0.6101505869886835
DDM,2022,4,29582692672.0,12244492.0,0.5140299165,0.076905151,0.32610134,-401.58222350098316,0.0,3.4756970665,0.041158434277746035,-0.06615864619234542,0.0,-0.3474509675,0.0943153265,-0.06365463580096012,145654021817.0,-4731062440,1.6848395664,0.2114673677,1.5592481816,0.8365333639316732,-0.8268430294559057,0.6303985981,1.5903692775,47.2777186934167,16.233670438,27.8934527951,91.40484192651671,22.4841326794,-1.2234586555,-1.8268430295,-0.2943344953187061,-0.5926868306206177
DDM,2022,3,27488884540.0,12244492.0,0.3268859382,0.0647466106,0.2248630879,1269.6307311075054,0.0,2.8040454257,0.36383954094710064,0.15330518288577077,0.0,-0.5625742058,0.1350842124,0.31135853732077634,179795749237.0,31573457203,3.8609195558,0.6002707813,3.7087171368,-5.02411161577103,-0.8662554731545183,0.6819990903,1.7056253084,45.606778185751466,17.0248738536,22.538455483,85.17010752235146,21.439219059,-1.3603614975,-1.8662554732,-0.3158942877040468,-0.5887101336657821
DDM,2022,2,39182374400.0,12244492.0,0.4438228969,0.0956866884,0.3301681684,1736.3992925145444,0.0,3.1323717131,0.32397010212858196,0.19277628753523696,0.0,-0.5313113059,0.1427991835,0.2721542533420609,170306434313.0,30015935651,2.7321091144,0.4647916395,2.5654541106,-4.546428632311339,-0.8529460785729646,0.6623444531,1.5570234591,41.37655528417725,18.2077727389,23.6243819307,83.20870995377724,20.0463837744,-1.3683669928,-1.8529460786,-0.32836294929274035,-0.6014831046719362
DDM,2022,1,39182374400.0,12244492.0,0.6102133894,0.105182831,0.4283701861,2095.667742361218,0.0,3.5054154628,0.371090015725125,0.260128356676003,0.0,-0.398250438,0.1053938756,0.3270219496357733,158623407899.0,32259111854,1.8172844126,0.2541885604,1.5838739725,-4.714629809894026,-0.814349417432038,0.6114377552,1.3444582119,38.72969871434318,18.1348618079,25.3207977508,82.18535827304318,20.1269799498,-1.3425383755,-1.8143494174,-0.33778606866691346,-0.6189212923513792
DDM,2021,4,59544964596.0,12244492.0,2.1300683697,0.1815408555,0.6007835755,1766.1412493062187,0.0,5.7253300549,0.3316419727366266,0.18933157775279108,0.0,-0.2329394518,0.0454900368,0.2595674742577577,108309780655.0,29647864892,1.3352046501,0.4669162098,1.2161304641,-3.8926563212323706,-0.7916557192857894,0.5337470084,1.0995071581,39.59024705356046,14.3691844807,27.8854038275,81.84483536176046,25.4015807571,-1.3275905563000001,-1.7916557193,-0.3447463370976492,-0.639952379113226
DDM,2021,3,61222460000.0,12244492.0,-5.3313356287,0.2302737954,1.0253078627,1611.8748866020737,0.0,7.5706166724,0.303985789715631,0.2286162699488022,0.0,-0.0530568582,-0.0191292969,0.25543719562588124,82131583823.0,22052056863,2.0734325271,0.5487515655,1.9127710046,-2.8046800754888914,-0.7541940119904155,0.4428845315,0.8709923286,41.42522821335954,13.1073371,25.5357482127,80.06831352605954,27.8469987623,-1.4293505873,-1.754194012,-0.352713163571185,-0.6576151164788748
DDM,2021,2,53875764800.0,12244492.0,-1.119140719,0.2311355283,1.2690852912,-229.61671174271663,0.0,12.7959851864,0.12418830429141485,-0.03834572135757317,0.0,0.0927866574,-0.0795410218,0.05679739831017449,50154558406.0,4164432198,1.3680161999,0.2702731677,1.2399019833,-0.5271119613144896,-0.7163193326920423,0.3851316022,0.729764292,41.79638583862403,13.134038908,27.2747799699,82.20520471652404,27.7903851631,-1.4133841748,-1.7141437098,-0.3606453340039682,-0.6752071550611112
DDM,2021,1,33060128400.0,12244492.0,-0.6286406963,0.1555292125,1.7117106738,-865.3741142548013,0.0,26.0360157544,-0.004285190035388279,-0.19576713839592547,0.0,0.1537400484085083,-0.0852607786655426,-0.07209166229109393,24421947392.0,-3902023844,1.1140214204788208,0.16045114398002625,0.9815784692764282,0.4918256200710114,-0.721850599840274,0.344619482755661,0.6372483968734741,46.37710550357746,13.262954711914062,28.49334716796875,88.13340738346028,27.520263671875,-1.4339367151260376,-1.7218506336212158,-0.3801741341554625,-0.6709413846107986
DDM,2020,4,17142288800.0,12244492.0,-0.2352739145,0.0838978477,2.4134342267,-1454.7353512093437,0.0,44.1140557726,-0.10690814731854469,-0.34195102732582805,0.0,0.2169315996,-0.1141529519,-0.2108172521538903,14453478684.0,-10981634877,0.9504819214,0.0865203386,0.876453404,1.3340189725197198,-0.750600030951201,0.320117929,0.5760666998,51.09709520085621,10.4186292323,29.317651929,90.8333763621562,35.0333994868,-1.4603029943,-1.750600031,-0.4025945028335041,-0.6623037218529633
DDM,2020,3,11020042800.0,12244492.0,-0.1634490739,0.0541452619,0.7927948325,-1381.861625292417,0.0,30.1960132294,-0.10108953535983796,-0.3159452853269783,0.0,0.2131718711,-0.1040266304,-0.1854280521182094,20912671947.0,-9930449003,1.1535298239,0.1135867363,1.013182904,1.1898381747406546,-0.7904505942975157,0.3140266721,0.5625446416,45.9528739960657,15.4293918368,36.4555988527,97.8378646855657,23.656149501,-1.5346804482,-1.7904505943,-0.4294830429160535,-0.6477674028663494
DDM,2020,2,8350743544.0,12244492.0,-0.1445643184,0.0414821635,0.5068075934,-593.0101535449572,0.0,24.0238613782,-0.060473385150152034,-0.1375351629054517,0.0,0.1822467764,-0.0876493702,-0.13798204707437733,26510628511.0,-7284701133,1.2023879722,0.0787083818,1.0906731437,0.8756860345738425,-0.8229085280642219,0.3054558967,0.5355107197,43.320944766561055,15.4650444132,36.3497268667,95.13571604646106,23.6016134353,-1.5769698600000002,-1.8229085281,-0.4572365296781243,-0.6337428751581833
DDM,2020,1,4897796800.0,12244492.0,-0.0789977147,0.0244216127,0.166695603,-2520.905258380666,0.0,18.8968568044,-0.20986574607516423,-0.6727252772113229,0.0,0.1529616413,-0.0927090983,-0.29966154270211304,33763456875.0,-13749615725,1.030290434,0.1233240274,0.8784346207,1.6306679504720396,-0.8573988294339027,0.2998903877,0.514208622,40.12629528669089,14.4541584282,36.551989529,91.13244324389089,25.2522484662,-1.6129001909,-1.8573988294,-0.4798035824996914,-0.6278291940859954
