ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
MES,2022,1,1.0573169452,186000000000.0,18600000.0,-63.1859432238,11.3814134416,-24.5544765575,-18.570725376344086,9457.9019524731,-76.2494913711,-0.26754623174943964,-0.7396352984660309,0.0,0.0,0.0,-1.0849377881552194,0.0,-506674466,0.0,0.0,0.0,1.0905039959680374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3976533526742238,0.9219554972688172
MES,2018,4,1.0573169452,186000000000.0,18600000.0,-63.1859432238,11.3814134416,-24.5544765575,-12.550057795698924,9457.9019524731,-76.2494913711,0.17804826253767794,-0.04370813452241985,-0.0165945783,-0.0228159272,-0.0155584799,-0.09838982733903635,-2341185518.0,-525468392,4.3185263123,0.7154245034,3.7940971898,1.0651302560386147,0.0863756715,0.2215184296,251.69644920390022,140.4057693161,150.5013740748,542.6035925948001,2.5996082766,0.065130256,0.41435235405060994,0.9457901952473118
MES,2018,3,1.0559158094,186000000000.0,18600000.0,-30.0367482416,11.70213583,1455.1082670959,-63.843100913978496,9470.4520102688,-29.8440489377,0.04114245110826919,-1.7535664732905614,-0.0348336928,-0.0435091679,-0.032976926,-2.0666482984574075,-5981567894.0,-1399494701,5.5495788008,0.9649580473,4.8196084261,1.0468936570022491,0.0846443451,0.2147142288,219.59558216190362,141.5009717412,117.8269769887,478.92353089180364,2.5794875859,0.046893657,0.4166819349334649,0.9470452010268817
MES,2018,2,1.0488452354,186000000000.0,18600000.0,-29.1762727113,11.124446578,-165.397570074,-72.43033849462365,9534.2951111828,-28.473913744,0.024713359118908713,-0.15998650320541336,0.0,0.0,0.0,-0.19427254785853884,0.0,-1635918067,0.0,0.0,0.0,1.045014318823537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4162429931129691,0.9534295111182796
MES,2018,1,1.0409416049,186000000000.0,18600000.0,-29.6958215852,15.8033489347,-214.0217475552,-9.439551344086022,9606.6868233871,-26.2572057447,0.27246141102075444,-0.0922219480806756,-0.0346169288,-0.0447947082,-0.0328586197,-0.23784993366843932,-6704136573.0,-452827757,4.3531273569,0.900892492,3.8846779869,1.0653443400216402,0.0617441096,0.1571872531,303.08188273555146,269.2818061198,177.8871023441,750.2507911994514,1.3554573376,0.06534434,0.4154470853666584,0.9606686823387097
MES,2017,4,1.0399156003,186000000000.0,18600000.0,-25.9231577988,14.4558014802,88.651952702,-187.21252833333332,9616.1650010215,-25.0775910761,0.18745726276518457,-0.7116923876181424,-0.0393265157,-0.0492057555,-0.0372011769,-0.8534858783735692,-7019489743.0,-4175917133,5.6667358826,1.7167840882,5.18417227,1.0677347831675021,0.0667117613,0.1703122444,639.6374683155383,247.2894426595,187.6687991707,1074.5957101457382,1.4760031649,0.0680332654,0.41728977355407065,0.9618853171989248
MES,2017,3,1.0197769733,186000000000.0,18600000.0,-96.0837509614,8.9458211094,-59.0355442922,-73.66184182795699,9806.0657003226,-53.0352208328,0.39995908848442097,-0.9118388484854145,-0.0105038456,-0.020244232,-0.0101035038,-1.114812855475436,-3239804337.0,-1675094817,9.6695889594,2.1393518101,8.4546640728,1.039744147666988,0.1085179923,0.2744427348,560.3870312017692,178.3698834968,108.1684890504,846.9254037489693,2.0463095722,0.0397441477,0.4116460369492896,0.980606570032258
MES,2017,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22527062278020268,-0.3560530798194946,0.0,0.0,0.0,-0.4899275538376533,0.0,-1700274732,0.0,0.0,0.0,1.041822069431949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41103980920518124,0.9879727542150538
MES,2017,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14300336202188632,-0.345592936455291,0.0,0.0,0.0,-0.3997643345578898,0.0,-1199687693,0.0,0.0,0.0,1.0302118491206955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4107408302829055,0.9946161333494624
MES,2016,4,0.9998079895,186000000000.0,18600000.0,1299.848499862,6.6311770986,79.9579494094,91.77890349462366,10001.920474086,-203.9071233112,0.2764383890154397,0.13318098628033367,0.0007688548,-0.0137244564,0.0007243026,0.06886161816763231,-833702590.0,882654635,8.2656084998,1.7587433917,7.2772712854,1.046695173970871,0.1419783664,0.3630585417,526.0019536505165,99.5549258996,134.9742504736,760.5311300237165,3.6663178311,0.0466491291,0.41090194716156814,1.000148048204301
MES,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18036354372585686,0.008388447147112583,0.0,0.0,0.0,-0.00681168063338869,0.0,-85989449,0.0,0.0,0.0,1.0518910103920913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4176941740461745,1.0010192354301075
