ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Dividend yield (%),Financial Leverage,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
MBB,2024,2,1.3670254117,137168476744200.0,5306324052.0,6.3511609636,2.7454859751,2.6317628028,1135.767235649407,18909.6704265886,0.5722803468161437,0.2164211217,0.0,0.0233628213,0.0,9.486301142722278,8.4863011427,0.047168925986759466,1.9711044306280305
MBB,2024,1,1.2373823055,122045453196000.0,5306324052.0,5.9664522485,2.5751765548,3.2399106267,854.2067833741866,18587.6263932326,0.5001712039105335,0.2148086782,0.0,0.0232842679,0.0,8.887255630037329,7.88725563,0.049770318996109626,1.916773461576888
MBB,2023,4,1.3878847764,130326621881800.0,5287084052.0,6.2230229745,2.7549666231,3.1159543711,943.122135180309,17760.840394523,0.5441556559442623,0.2345312456,0.0,0.0247110377,0.060851927,9.770885281190766,8.7708852812,0.050192615311331346,1.8291965485855302
MBB,2023,3,1.267188724,111320694510200.0,5214084052.0,4.9772280168,2.353148292,7.1475591048,1107.2443294782545,16848.3191148987,0.5884006113867262,0.2235398773,0.0,0.0245863339,0.0702576112,8.89117159918331,7.8911715992,0.05260073518742495,1.735606888361986
MBB,2023,2,1.1643459061,95678442354200.0,5214084052.0,5.2482676006,2.0696972453,-4.0765711991,938.5147901716257,15759.9214321219,0.516116869186626,0.2234403437,0.0,0.0246997409,0.0817438692,9.367326510724101,8.3673265107,0.05726198630765662,1.6279129129305547
MBB,2023,1,1.1766142342,95213708793000.0,4533986133.0,5.3013759809,2.0748575069,-8.6296830386,1108.0011832052069,17847.8207974704,0.4912063358929474,0.2308526861,0.0,0.025617408,0.0714285714,8.974684372780066,7.9746843728,0.05903898314404357,1.6032936523476324
MBB,2022,4,1.0924678869,82971946233900.0,4533986133.0,4.7459362997,1.819854554,44.2203614903,757.4198286591892,16751.0644655957,0.3566223193855779,0.2460637334,0.0,0.0261781704,0.0819672131,9.150897076526952,8.1508970765,0.06372695469077817,1.5058058131283893
MBB,2022,3,1.1409716638,82745246927250.0,4533986133.0,4.7082111222,1.8823684182,-6.2152034597,1076.1376097927293,15995.1386864994,0.539815606990839,0.2543677864,0.0,0.0273401771,0.0821917808,8.652421260706578,7.6524212607,0.05812548027347588,1.435760719016464
MBB,2022,2,1.1657482138,78891358714200.0,4533986133.0,5.0192843194,1.8931512854,3.1890907085,1019.6771371554612,14926.0361665954,0.5154412677940992,0.2424592747,0.0,0.0254531778,0.0862068966,9.283656014628553,8.2836560146,0.06373441782161221,1.3411325657510087
MBB,2022,1,1.4942663391,95591540958100.0,3778321777.0,6.9823393028,2.4277401722,7.7144956066,1203.2349991137348,16931.3858839186,0.5421521832070536,0.224129297,0.0,0.0234515352,0.0592885375,9.677981755453798,8.6779817555,0.06804699626091956,1.2684411168880732
MBB,2021,4,1.9914331915,118639303797800.0,3778321777.0,9.3434776188,3.212154225,26.5503411114,933.2354966335627,15767.5387423732,0.49179473646919547,0.2255543204,0.0,0.0230411303,0.0477707006,9.716419606349406,8.7164196063,0.07487189575179076,1.1818617291768374
MBB,2021,3,2.0133089953,112971821132300.0,3778321777.0,10.1580540843,3.271515453,4.086990251,799.8725832185785,14851.1729047475,0.46386584958176225,0.203137064,0.0,0.0212995961,0.0501672241,9.441279548271577,8.4412795483,0.07394691214273502,1.1130406178759196
MBB,2021,2,2.0273951399,108060002822200.0,3778321777.0,10.3176201379,3.3180609033,294.1739259469,687.0844129271735,14106.7715101598,0.39558274423180306,0.2006933782,0.0,0.0213379577,0.0524475524,9.356156763384265,8.3561567634,0.078352336509968,1.0579512345532123
MBB,2021,1,2.1897754268,112593988954600.0,3778321777.0,11.0862338913,3.7262721325,-52.6251472789,940.3140361488593,13608.70143803,0.5969065039257155,0.2042335505,0.0,0.0217888413,0.0503355705,9.510828140954008,8.510828141,0.0804533710546906,1.0161322284951637
MBB,2020,4,1.7292683977,82843203411200.0,2798756872.0,10.026216045,3.0276543976,5.6203525583,689.8437728963261,17117.0652511041,0.3332300639809731,0.1836446214,0.0,0.0182304134,0.0,9.879983061705513,8.8799830617,0.08604715476672968,0.9475827224847758
