ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
VEF,2024,2,10.5533820768,34360466956200.0,166601050.0,88.7525096919,4952.0200436127,-17.7476050678,529.1434400143337,19542.9293186147,-1922.3905756611,-10.937590537431166,356.5126400171095,0.1240379716,-0.0052570739,0.0381837532,-18.293697226059226,-17852353053.0,-4523532400,0.566167859,0.0234415578,0.3966682518,3.3750834892890937,0.0006843355,0.0,155.31135415670983,36160.8746975217,299.4146726063,36615.600724284704,0.0100937824,0.0429992262,2.3750834893,0.0,1.9542577413676319
VEF,2024,1,11.3682778054,36011483361700.0,166601050.0,84.9418526428,5189.9640241584,27.9990509298,549.9057034754583,19013.7858785944,-2012.0449615057,-10.14747644034727,341.36841659540204,0.1401749427,-0.0054250003,0.0440136649,-16.643697881669816,-17936343961.0,-4466758211,0.8882376157,0.0081662735,0.728127416,3.4258619737968363,0.0007203393,0.0,101.40283067675954,31969.3223777038,213.8830266728,32284.608235053358,0.0114171954,0.0441958715,2.4258619738,0.0,1.9013443501817633
VEF,2023,4,10.6724046154,32829403306700.0,166601050.0,75.5146771031,3648.705142556,-31.5369316569,546.3271499969538,18463.8801751249,-1773.8841775365,-0.011305176598401497,14.738062158112408,0.1520781328,-0.005237883,0.0470074437,-0.6649300494473708,-17887250854.0,-4106445789,1.01034476,0.0015051118,0.822058849,3.186731280406908,0.0009728624,560.9380341565,49.17047548141176,23749.6427352774,351.6842339502,24150.497444709014,0.0153686522,0.112154935,2.1855871697,0.0,1.846448623478841
VEF,2023,3,6.2260263105,18586179739050.0,166601050.0,42.0103199714,6055.9733170081,-96.7081981211,698.4758946957417,17918.4915764456,-935.139194861,-13.224640190710234,470.6010967185953,0.1574562089,-0.005247465,0.0500747086,-19.232273094701032,-18699555957.0,-4755616653,1.1100835966,0.2848492665,0.9041428131,2.9856756965932925,0.0003473623,153.068854349,32.39740117229841,26816.2099892558,258.0403548395,27106.647745267597,0.0136111703,0.1973041017,1.9856756966,0.0,1.7918168922376136
VEF,2023,2,7.0317009135,20173054740300.0,166601050.0,50.2022737624,6573.028074894,14.3257272625,750.0661252194989,17220.0156817499,-1049.3478795676,-16.82550931849828,505.3602333599837,0.1488727094,-0.0047754911,0.0457321127,-18.665800384319777,-18548382086.0,-4615543400,0.6426732584,0.2925260005,0.4579984455,3.1237787594098125,0.0003492781,95.6680355586,35.8929181572656,25791.5791252942,283.4684680063,26110.940511457764,0.0141519059,0.4085228329,2.1237787594,0.0,1.721970560497179
VEF,2023,1,7.3615283146,20199377706200.0,166601050.0,59.1969936933,6881.2346257517,-26.3181604283,615.5958460405861,16469.9495565304,-1037.5791606359,-0.4897686884242107,44.068761728146804,0.1313037922,-0.0050341995,0.0387889211,-1.8245892991993762,-18912447683.0,-4246270834,0.7780444317,0.2812880542,0.5937723579,3.2093928723268728,0.0003336823,66.5471742246,37.52695481548134,26916.2005478907,267.0587292126,27220.786231918784,0.0135606063,0.5018384545,2.2093928723,2.9228689716200834e-06,1.6469652986016847
VEF,2022,4,4.583283641,12106065298250.0,166601050.0,37.8832083277,12239.5879917777,11.1095691471,591.4717310425115,15854.3537104898,-587.5662094549,-13.207773421710407,398.50658758653486,0.1287768968,-0.0052764526,0.0368582396,-20.77975089197968,-19286026383.0,-5138265711,0.7948084515,0.3140630445,0.6145698482,3.2787803540557565,0.0001140793,12.3326640434,57.432396978240035,26036.7098865538,330.3883085588,26424.53059209084,0.0140186683,0.5213239329,2.2929627147,1.2145434346021696e-05,1.5854068224866082
VEF,2022,3,4.2395007763,10780254142350.0,166601050.0,32.5552008028,2507.5682090373,9.4239024112,454.87219566743426,15262.8819794473,-509.1297973256,-12.018248947298996,306.4720712246436,0.1360728192,-0.0052277334,0.0375287304,-18.7182107372625,-19653153899.0,-4628503051,1.138231479,0.3596133146,0.9647895262,3.4289228308831254,0.0004872184,46.6121459017,48.61260775382932,17879.6021314271,87.8433123198,18016.058051500728,0.0204143245,0.7173160590000001,2.4289228309,2.2078170695887656e-05,1.526260714431612
VEF,2022,2,5.6580864832,13958668974250.0,166601050.0,40.4755696676,3246.8914088768,-6.2414888091,386.2416582128384,14808.0097837799,-739.7116405428,-27.67394908311261,566.2647323504232,0.1467049806,-0.0049223877,0.0395615471,-43.96171225645945,-19947869313.0,-4995649180,1.3156633101,0.4340520225,1.1490392919,3.649126949606179,0.0004931632,36.9682537533,46.09361710655723,13475.3286102345,33.9940107914,13555.416238132457,0.027086538,1.0121482194,2.6491269496,3.250909421554928e-05,1.4807743139425482
VEF,2022,1,8.3731758096,20118076393800.0,166601050.0,56.5837182865,4536.7963948529,-73.7051772407,485.5811093147372,14421.768125567,-918.1274433009,-6.635004730643172,212.38223019265124,0.157006098,-0.0052385538,0.0422802251,-12.12848319428279,-20922275294.0,-4619849533,1.1257368819,0.5018077917,0.9783585621,3.717065545451228,0.0005273169,31.5951052684,39.54245147894789,10601.1872517134,36.4275153848,10677.157218577147,0.0344301059,1.0392554232,2.7170655455,4.3393673183710174e-05,1.4421508436175472
