ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
VNR,2024,2,1.0185079233,3879968437800.0,165810617.0,9.5793706364,2.2917250875,48.8882942225,942.9813484742053,22974.7844516615,-31.0782568727,0.4301217917082137,0.1083860581,-0.0337994242,0.0489333057,-0.11255576463754427,-124223516195.0,-40915864771,0.0427350427,1.3419225037,0.0111241662,1.3411164738,2.225842944455335,0.2045403589,0.0,190.70416337326694,0.0,0.0,190.70416337326694,0.0,1.2258429445,0.005778118851208143,2.317312968109877
VNR,2024,1,1.1275316707,4311076042000.0,165810617.0,12.1072929681,2.5835633101,54.3203269139,870.48793004612,23059.2192455565,-35.5118173266,0.32746331503850384,0.096756313,-0.0315995174,0.0437415968,-0.0957782098685568,-121856840067.0,-42216201167,0.0384615385,1.3498121215,0.0036928584,1.3489681422,2.17425133478953,0.2049852331,0.0,198.63671250931918,0.0,0.0,198.63671250931918,0.0,1.1742513348,0.006122726843508704,2.325718390468929
VNR,2023,4,1.0803670844,3979454808000.0,165810617.0,9.4414348976,2.4413039589,12.3520900372,323.6035875314305,22214.6716112274,-31.0069886315,0.2235914376839902,0.1185820283,-0.034088553,0.0557198966,-0.1335815804578994,-126720617765.0,-32056571499,0.05,1.3181989826,0.0157957498,1.3173183821,2.1526764059175214,0.2154896665,0.0,145.23723378300696,0.0,0.0,145.23723378300696,0.0,1.1526764059,0.006733692174599174,2.2419523549647007
VNR,2023,3,1.0638654223,3863387376100.0,165810617.0,7.8156859015,2.3032175959,21.814172485,305.67633828297016,21901.2663747581,-29.5008732296,0.15764669909737247,0.1385805125,-0.0352532717,0.0637004239,-0.045661993484407734,-129255744155.0,-14680611427,0.0515021459,1.3519408501,0.0189776844,1.3511084917,2.2282042694474753,0.2161595611,0.0,187.9711968846952,0.0,0.0,187.9711968846952,0.0,1.2282042694,0.0049385175342838185,2.21125123632041
VNR,2023,2,1.1824877871,4235713353000.0,150737130.0,8.1879050967,2.559503903,81.1482486614,712.466987364029,23763.4589604764,-30.1528271615,0.31320976958191815,0.1484526915,-0.0384289474,0.0682825216,-0.09596035103329559,-138904338188.0,-32903455974,0.0427046263,1.2773202879,0.0182426007,1.2764679558,2.2146151224954127,0.2184371767,0.0,187.92273618196378,0.0,0.0,187.92273618196378,0.0,1.2146151225,0.004826732852718365,2.179942234438462
VNR,2023,1,1.0758018315,3904091667000.0,150737130.0,7.711513924,2.407685835,44.4643433307,1391.507370659107,24075.0659094213,-29.7532278503,0.4876060936367325,0.1490387292,-0.0363986952,0.0677499811,-0.10944593362769214,-130396468826.0,-47079978865,0.0463320463,1.2687296534,0.0136979165,1.267807799,2.114240393780632,0.2169946405,0.0,185.20582562742635,0.0,0.0,185.20582562742635,0.0,1.1142403938,0.0023871398331649094,2.207522919932805
VNR,2022,4,1.0649447753,3647838546000.0,150737130.0,9.5956198437,2.408913962,98.5832376646,839.0803739463528,22724.183039421,-31.5841981844,0.4269604366101608,0.1127558464,-0.0336937109,0.0532316959,-0.11677119051918523,-113741121276.0,-34591697889,0.0495867769,1.3933462866,0.0170316585,1.3923283374,2.0612664779685046,0.212042076,0.0,138.47053374028584,0.0,0.0,138.47053374028584,0.0,1.0612662693,0.002162131607482364,2.0850973795845653
VNR,2022,3,0.9357148292,3090111165000.0,150737130.0,9.5123813434,1.9537831463,326.4613093222,488.8365354508209,21908.384220968,-32.8569195401,0.22359809864122873,0.0980570085,-0.0284513361,0.0441154758,-0.0738264750069945,-92360902287.0,-24329205460,0.0585365854,1.4432817862,0.0213158039,1.4423584446,2.2296834147947266,0.2147849569,0.0,176.96357956397782,0.0,0.0,176.96357956397782,0.0,1.2296834148,0.0021757915710811644,2.0108426626281717
VNR,2022,2,1.073101878,3466953990000.0,150737130.0,10.0302178682,2.1870658687,71.5797946397,639.1898980894754,21433.1933161723,-35.5523649888,0.29700379285383277,0.1052827509,-0.0287799834,0.047134521,-0.08393672052128652,-91120727130.0,-27229530070,0.052173913,1.416128554,0.0604447513,1.4143985746,2.3251983627230146,0.2161661072,0.0,165.93643295660775,0.0,0.0,165.93643295660775,0.0,1.3251983627,0.002187750706181037,1.968903057151642
VNR,2022,1,1.0400719412,3466953990000.0,150737130.0,10.9253145168,2.1565697015,-452.2934021798,554.7561366399905,22113.8549062199,-38.8530132616,0.2530597889744995,0.0977209842,-0.0270066825,0.0437800145,-0.07191105780668022,-88211099894.0,-23762651179,0.052173913,1.4612742742,0.0188331453,1.4584713331,2.1594138566729906,0.2217922416,0.0,154.47401692903748,0.0,0.0,154.47401692903748,0.0,1.1594138567,0.002206188596660301,2.0306418361762684
VNR,2021,4,1.2607972391,4100049936000.0,150737130.0,11.8174419698,2.5531773565,-102.3636336381,472.3034445594128,21573.6513029537,-46.0778739253,0.1972767528905061,0.1078996438,-0.0272453003,0.0490999613,-0.05414728717219839,-86911036700.0,-19540791331,0.0,1.3988908714,0.0065777816,1.3960727041,2.178764754771032,0.2272603356,0.0,129.43769738730435,0.0,0.0,129.43769738730435,0.0,1.1781262103,0.0023628829228241445,1.9815828483118183
VNR,2021,3,1.2792657052,4069902510000.0,150737130.0,11.5539807621,2.5506461759,-3368.5750202797,626.8213495109002,21105.857751418,-46.4767246419,0.28132805305842046,0.1106181947,-0.027437106,0.0494240216,-0.06974335418003849,-85516533198.0,-23423609096,0.0444444444,1.3948385964,0.0315023778,1.3886500266,2.2745897545399973,0.2238821677,0.0,145.43935277354163,0.0,0.0,145.43935277354163,0.0,1.2745897545,0.0025004058940673525,1.938926272893008
VNR,2021,2,1.9475722853,6014411487000.0,150737130.0,16.08150777,4.0045635758,-157.1800472517,451.32162109627535,20487.0444607443,-65.8146588448,0.19344774931263042,0.1187953449,-0.0295485532,0.0530386407,-0.06882751111420325,-89668461318.0,-24204982085,0.030075188,1.4509404409,0.0355125314,1.4448352113,2.3228400753045597,0.2129923264,0.0,173.36570810860738,0.0,0.0,173.36570810860738,0.0,1.3228400753,0.002406593225816785,1.8826756252339378
VNR,2021,1,0.9885052149,3185145269100.0,131075937.0,7.8918397687,2.0573607691,536.8909495993,863.9204259894019,24582.5713761405,-42.2570376846,0.33688526821559744,0.12989872694015503,-0.023535137996077538,0.05697956308722496,-0.06649043797726165,-74216734720.0,-22349812652,0.049382716,1.4965404272079468,0.022251583635807037,1.486729621887207,2.1405662009392237,0.21856816112995148,0.0,197.6743924200675,0.0,0.0,197.6743924200675,0.0,1.1405662298202515,0.002379997552250297,1.9634702421425765
VNR,2020,4,1.006764789,3132714894300.0,131075937.0,10.0328971704,1.9847427459,714.2420534875,583.5987289642644,23739.4079151919,-36.3200877108,0.21917210966333173,0.0998762322,-0.0269157755,0.0447017284,-0.05223290406629769,-82431130456.0,-18230399796,0.0,1.2780051815,0.0145204106,1.2684940254,2.217841779865104,0.2259677458,0.0,171.14819845139797,0.0,0.0,171.14819845139797,0.0,1.2178417799,0.002549941042573975,1.8969128777700646
VNR,2020,3,0.9972820313,3027854144700.0,131075937.0,9.4317676129,2.1706263221,-229.8917611544,886.7351550803714,23162.9561910132,-39.2416428828,0.47229967629324526,0.1070075822,-0.0246003434,0.0451860493,-0.11156683628786887,-73621921164.0,-27455816754,0.0519480519,1.3397685283,0.043990082,1.3294853903,2.2830419812161304,0.196341633,0.0,274.0757957278376,0.0,0.0,274.0757957278376,0.0,1.2830419812,0.002511294974674978,1.8517109025515537
VNR,2020,2,0.8970366663,2621518740000.0,131075937.0,9.5274209463,1.8142467557,52.3172218267,744.8756155754202,22295.6326671844,-37.1635073103,0.24765721645579805,0.0920640665,-0.0242868429,0.0384388473,-0.021778745707562826,-69975233781.0,-8585954941,0.06,1.2928211018,0.0125886986,1.2836580399,2.495399650919039,0.2018595748,0.0,270.36620102314373,0.0,0.0,270.36620102314373,0.0,1.4953996509,0.0015709125656974186,1.7832876206720827
