ticker,yearReport,lengthReport,Outstanding Share,EPS (VND),BVPS (VND),Gross Profit Margin (%),Net Profit Margin (%),Biên EBIT (%),EBIT (Bn. VND),Financial Leverage,Owners' Equity/Charter Capital
NHV,2016,1,0.0,0.0,0.0,0.05171877022086094,0.031146529739765488,0.03892557415984839,530954975,1.4270978846667044,0.6486445187616603
NHV,2015,4,3223600.0,303.9784095421268,11411.3610767465,0.1159745452547784,0.08927361669163382,0.09622757454365134,1056234370,1.2708347691164685,0.6408919987036761
