ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
PIA,2024,3,1.661520171,107640000000.0,3900000.0,8.3576083104,0.7068923495,-469.1457784165,0.0,16611.2939717949,3.8992331398,0.40095454209685205,0.0,0.1938671853,0.2760069736,0.1393213118,0.04879654463385316,18996467230.0,1429468462,0.0362318841,3.68446775,1.5950247993,2.9837663925,1.3267109500834764,1.6471998238,80.7107627026,77.83301478771392,56.9193777644,50.4121653156,185.1645578677139,6.412578885,0.3267109501,0.03302900928441217,1.6611293971794872
PIA,2024,2,1.7201901721,109200000000.0,3900000.0,7.1884738707,0.7385352173,18.566723429,1468.543373076923,16277.2700682051,4.1913362351,0.3595666011505754,0.10830039757679884,0.2318841659,0.3001252813,0.1698924558,0.14589350173095236,20518872595.0,7715379313,0.0357142857,2.6296551672,0.6631655081,2.1824808091,1.5529414607769556,1.6536347228,84.8061337114,75.29897896176121,59.730151688,46.3990616563,181.42819230606122,6.1108165589,0.5529414608,0.022269793132421657,1.6277270068205127
PIA,2024,1,1.6460438777,112320000000.0,3900000.0,8.0186322698,0.9153116889,3.4791334957,-252.59808692307692,17496.4959258974,4.5062162152,0.36038079671155787,-0.05851885739473499,0.2177208683,0.2389339415,0.1641077554,-0.07444325208978554,17759610793.0,-1253210900,0.0347222222,3.6256098246,1.4391816482,2.7663589227,1.3305761176634439,1.4376739192,66.2483825458,72.03779978166736,77.7991250982,46.4825494555,196.31947433536735,4.6915694687,0.3305761177,0.026410431663407386,1.7496495925897435
PIA,2023,4,1.6169839418,111930000000.0,3900000.0,8.5024931961,0.9447854066,7.3552569579,2086.4348894871796,17749.0940128205,5.374650379,0.38913243946515047,0.1527818328741011,0.1918920202,0.2247680905,0.1370643588,0.1875570922229921,17005364298.0,9989211735,0.0348432056,3.347982743,0.984983361,2.9727114339,1.364186351740452,1.2334957439,49.7628137503,127.61736238051401,60.04873749,89.8048076658,277.47090753631403,6.078395904,0.3641586683,0.03164613261130324,1.7751900292820513
PIA,2023,3,1.7235657857,105300000000.0,3900000.0,7.6330963952,0.7405445069,5.672945469,592.7442282051283,15665.1984064103,4.6755643034,0.4694277559774069,0.09290444006714899,0.2172306506,0.2724447029,0.1680046201,0.10453009644989988,18129980077.0,2600978856,0.037037037,5.0160280981,1.6263625757,3.842196523,1.208604824371103,1.7316926235,69.5539595926,67.92048144869888,63.3918170226,35.494795158,166.8070936292989,5.7578409508,0.2086048244,0.025652646768751505,1.5665198406410257
PIA,2023,2,1.6984626191,99840000000.0,3900000.0,7.5535779317,0.7006351358,11.8682368333,1165.0539302564102,15072.4541782051,4.4575080841,0.5196886830648857,0.16382179417705087,0.2096839293,0.2718339157,0.1582057493,0.17908322293137957,17509716914.0,4966996569,0.0390625,3.0278651226,0.9296976214,2.3443568613,1.4007658247505725,1.7056230771,61.3600596158,68.56226575115839,76.7997057052,37.0584444821,182.4204159384584,4.7526223785,0.4007658248,0.03145330805148475,1.5072454178205128
PIA,2023,1,1.508923848,99840000000.0,3900000.0,8.2713473367,0.6500703621,-35.7043946651,-466.21326307692306,16965.7335812821,5.4781976114,0.5528628184579211,-0.14456302499316157,0.1924794071,0.2272881388,0.1406139682,-0.15777561807242188,16613265845.0,-1984412227,0.0390625,7.4474007171,1.0582208446,5.3371508561,1.1279121600207256,1.7891401292,58.4187406991,76.2997575669376,59.8379790601,43.7794622895,179.91719891653761,6.0998049355,0.12791216,0.033109919511708184,1.6965733581282052
PIA,2022,4,1.5201973845,103350000000.0,3900000.0,6.4453247845,0.5564367924,6.5938060582,2245.642803846154,17431.946844359,4.3128392768,0.2914657449189204,0.11374483486891529,0.2434039116,0.2877790633,0.1568416344,0.14365823694038302,21188428205.0,11061248072,0.0377358491,2.8503411936,0.7020034872,2.4514355474,1.4363682212612876,1.8167297479,57.7499012711,89.33968188743006,48.793790085,64.6192190229,202.75269099533006,7.4804601029,0.4365216495,0.037814871650914066,1.7429737335641025
PIA,2022,3,1.6596313957,98280000000.0,3900000.0,6.3079377236,0.5338973214,22.2133996411,444.6389066666667,15184.0945317949,4.2005516998,0.5201973268625629,0.06884269259364267,0.2529118209,0.3184232178,0.171063364,0.07682914907081378,20547845032.0,1935264114,0.0396825397,3.3257178683,0.5912882712,2.0105340923,1.3438157054336652,2.0210947007,56.2963000851,70.90045551360876,49.8681780498,45.8076550575,166.57628862090877,7.3192968798,0.3438157054,0.04524321330151136,1.5184094531794872
PIA,2022,2,1.7504038586,100620000000.0,3900000.0,6.8927817143,0.5821856008,8.4621579812,870.9533135897436,14739.4556251282,4.4282253738,0.3570430307967437,0.08749965364216254,0.2405996907,0.3070855238,0.163963858,0.1037287779771361,19249597767.0,4026729074,0.0387596899,2.3126942918,0.4534042483,2.0844171954,1.5921265492011238,1.9412487715,51.5175491608,74.83350692276387,37.7507289456,46.6905187169,159.27475458526388,9.6686874716,0.5921265492,0.05350296294937072,1.4739455625128206
