ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Inventory Outstanding,Days Payable Outstanding,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
DPD,2022,4,1.4082978202,187416000000,12000000,27.3507541195,3.3698942598,19.6310461911,351.35866641666667,11089.983792,12.2282016972,0.22225463197148065,0.17695261343355584,0.0520084697,0.052874853,0.0458159677,0.17315382675916155,15640915191.0,4125789146,0.0302855679,1.5205788875,0.9096353922,1.2703796345,-41.66426091230995,1.0996166205893767,0.3718518066,0.435089977,30.6755031731,0.2782381299,11.8987453259,0.0375714405,0.0996166206,0.9284293116831034,1.1089983792
DPD,2022,3,2.1770978535,282000000000,12000000,40.6744857504,5.110092133,78.3922053569,173.15394316666666,10794.1863808333,17.4906729897,0.18081415467392498,0.12153843530683556,0.0535937718,0.0589429739,0.0464366477,0.13641169556364632,16342668224.0,2332123785,0.0201276596,1.0639392574,0.2534949402,0.4805455798,-60.27249695623247,1.1539727226331584,0.3696189256,0.4282072035,66.9205318593,11.9462445917,5.4542304112,0.0687098259,0.1539727226,0.9705127077341831,1.0794186380833333
DPD,2022,2,2.2713012918,288000000000,12000000,24.4292328816,4.8058874043,15.5426610858,24.047425,10566.6298375833,13.2236525629,0.12664994537502394,0.026581922725463898,0.0917309326,0.1025212599,0.0773482296,0.03963811413948621,22127421184.0,430305025,0.0197083333,0.8219812261,0.1773280053,0.4080901979,-3.4608700528926244,1.1560264872456625,0.393175652,0.4575367087,54.87318102,24.1776665475,6.6517011264,0.0639876284,0.1560264872,1.0076415683295228,1.0566629837583332
DPD,2022,1,2.2035621487,288000000000,12000000,30.7100573577,5.214230867,28.0413401322,22.466268083333333,10891.4559158333,18.6580071203,0.3369916014850969,0.07029055779780155,0.0738819964,0.0822014857,0.0607872771,0.10760993679994994,15882837747.0,412731456,0.0197083333,0.8975036503,0.2070520113,0.462803061,-3.0997321733603123,1.1351715263438549,0.3580165156,0.4150673086,52.3049247045,0.0,6.9783103993,0.0918150895,0.1351715263,0.9940964747125135,1.0891455915833332
DPD,2021,4,2.2081169251,288000000000,12000000,24.389428447,4.3274243655,12.320187718,358.09012925,10868.98964775,13.0240313174,0.26642239653508454,0.18365621927225204,0.0905358209,0.1029833088,0.0772867957,0.21302903180877317,22691249699.0,4984329559,0.0,0.8087570516,0.4214365489,0.6221168473,-19.75191279812256,1.1714267623426902,0.4355895366,0.503832227,31.7386760903,0.0,11.5001646244,0.0920048719,0.1714267623,1.0127602268467255,1.086898964775
DPD,2021,3,0.0,288000000000,12000000,0.0,0.0,0.0,577.82571675,0.0,0.0,0.4040865321844898,0.31751866529732226,0.0,0.0,0.0,0.3665250982443358,0.0,8004101204,0.0,0.0,0.0,0.0,-20.00522699679546,1.2836413153257835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0631658136450621,1.0512543108333334
DPD,2021,2,0.0,248400000000,12000000,0.0,0.0,0.0,-176.87917775,0.0,0.0,-0.1643380181982583,-0.3444132700436738,0.0,0.0,0.0,-0.2711783730624445,0.0,-1671218103,0.0,0.0,0.0,0.0,3.473249753284932,1.278675597609398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1302794432234147,1.003788405825
DPD,2021,1,0.0,250800000000,12000000,0.0,0.0,0.0,224.99623158333333,0.0,0.0,0.2980203026578908,0.17816459800906306,0.0,0.0,0.0,0.22109153491503913,0.0,3350481257,0.0,0.0,0.0,0.0,-6.261874501281798,1.3406277523355323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1326326649114986,1.012626932925
