ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Financial Leverage,Asset Turnover,Days Sales Outstanding,Cash Cycle,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
BLI,2024,2,0.6613774585,590574822582.0,59999474.0,5.6307719668,0.4716860681,-41.0984632126,362.48223299424257,14882.5755592624,-1.0400457211,0.07769004675455372,0.1227698231,-0.2542736195,0.0446769019,-0.25527212405640637,-224523417263.0,-71461508047,1.4891507232,0.2729885086,1.4889003876,2.6819771269149655,0.5333323656,86.61399373511506,86.61399373511506,1.6819771269,0.10521717318081743,1.4882445088683334
BLI,2024,1,0.82719854,720653682214.0,59999474.0,7.3029301849,0.5647138719,-44.8504344673,571.5589374833519,14520.0933262682,-1.5215079734,0.12352740984947667,0.1191660407,-0.2676862712,0.0421745962,-0.1524324565118879,-232108609274.0,-42317750789,1.4135504753,0.2905619577,1.4132219316,2.700530373923322,0.5454056416,83.29371449927356,83.29371449927356,1.7005303739,0.10860552964222817,1.451996603345
BLI,2023,4,0.7577140154,634134440706.0,59999474.0,7.1301206993,0.5041574083,-13.7088009296,345.25563194104,13948.5343887848,-2.0170346813,0.06695452271911284,0.1122329167,-0.2924385547,0.03666297,-0.1865140259570376,-243611200087.0,-57705843387,1.3231301803,0.4226781138,1.3228505203,2.7828725055537764,0.5185114746,86.25611504270361,86.25611504270361,1.7828725056,0.11211455626835402,1.3948412106633334
BLI,2023,3,0.793044103,647274325512.0,59999474.0,24.7290264995,0.5153123391,-14.846276853,468.77611868730713,13603.2787568438,-1.8894794546,0.10789041340360919,0.0335029195,-0.328746477,0.01083795,-0.21315340126437535,-267011172256.0,-55567688547,1.2910100841,0.8542400636,1.2907429412,2.83492737643682,0.5200961287,88.61781766626456,88.61781766626456,1.8349273764,0.11568418456640062,1.3603159501433333
BLI,2023,2,0.9209332346,725753637504.0,59999474.0,13.9435135492,0.583543343,-10.7950086137,259.0916100697816,13134.5026381565,-1.5411942216,0.05018281089898139,0.0671777852,-0.3346186509,0.0212020148,-0.25055782651836184,-262237909177.0,-77616451230,1.2828909614,0.2439181876,1.2826064737,2.9993298610862675,0.5066128919,90.3959804604561,90.3959804604561,1.9993298611,0.14288589104438587,1.313438749235
BLI,2023,1,0.9786095351,755993372400.0,59999474.0,-49.4286497808,0.6331180907,-20.5926566593,409.179737075695,12875.4110280867,-1.384045204,0.09880142386127477,-0.0200750838,-0.3478545084,-0.0061661045,-0.2167271704327955,-265497339206.0,-53853225420,1.2891248484,0.8094916843,1.2888481687,3.1846401058999474,0.4813986935,89.23806139886635,89.23806139886635,2.1846401059,0.1459405313137532,1.287529815365
BLI,2022,4,1.0749038492,803992951600.0,59999474.0,9.1524852733,0.6828319605,12.5087805941,-700.798994821188,12466.231291011,-0.8975445876,-0.14069728605874152,0.1186867735,-0.3514046026,0.0365014133,-0.2719816591122027,-259586818914.0,-81282080567,1.307498398,0.3973970692,1.3072286421,3.371263693620971,0.4892545559,86.42320381893644,86.42320381893644,2.3726356194,0.14953168500084965,1.2471528801333334
BLI,2022,3,0.911524563,720413684318.0,59999474.0,7.1325004257,0.6301955443,5.9907869069,900.0277908269662,13172.4371308488,-0.5538711266,0.2283646761886538,0.1295219954,-0.3453765379,0.0416867959,-0.21545690256474004,-269758559082.0,-50948904164,1.3550317707,0.377863761,1.3547315087,3.129282802390087,0.4718076673,87.16874923866293,87.16874923866293,2.1292828024,0.14235482275036046,1.3172321652483334
BLI,2022,2,1.1638301498,856972487142.0,59999474.0,8.8459024396,0.7679839533,5.0842021686,-863.3214238011486,12272.4093400219,-1.3316387321,-0.20395164573025434,0.1253891702,-0.379673781,0.0413151021,-0.3253835302370434,-276452793284.0,-82639620470,1.3060534325,0.3177803324,1.3057648518,3.3485652842131044,0.4758815087,87.48499759024732,87.48499759024732,2.3485652842,0.13217622937893717,1.22723017519
BLI,2022,1,1.2098699868,1040870874952.0,59999474.0,6.1235333964,0.9549999205,5.9685891101,2133.5826808081683,14338.730763823,-1.0942936152,0.5528141491801511,0.2217761365,-0.3304364682,0.0750956697,-0.20714709825263367,-282699778963.0,-47968553696,1.4302922221,0.947039897,1.4298275973,2.862076644571753,0.4815192459,91.26249960398576,91.26249960398576,1.8620766446,0.10879063400188123,1.433860506095
BLI,2021,4,1.4238254122,1042670859172.0,59999474.0,12.5672593587,0.9546202493,13.566395606,-486.86818791111403,12205.1480830149,-1.5225008133,-0.11201969913425927,0.1153462512,-0.3857011182,0.036291643,-0.3505239814903937,-280955529383.0,-91407572541,1.3528791455,0.4880794052,1.3524581217,3.1279076107830153,0.477767458,91.1639553019097,91.1639553019097,2.1279076108,0.12856168670907722,1.220504108455
BLI,2021,3,1.4182143811,1079990532000.0,59999474.0,16.1590017441,1.0290900782,15.3894098778,831.252818933046,12692.016270926,-1.8055414315,0.23414109525204563,0.0918495574,-0.340188799,0.0305126364,-0.270185139894613,-257581845926.0,-57552525755,1.4305171042,0.9622610284,1.4301219963,2.8376042557354615,0.4791162163,92.54468174132349,92.54468174132349,1.8376042557,0.12220110581618587,1.269190500425
BLI,2021,2,1.3779888678,980631403056.0,59999474.0,17.7081446878,0.9570063741,53.3285098592,355.03756899602155,11860.7634519929,-1.8546317258,0.09329454090593844,0.0770449068,-0.3543416213,0.0256040183,-0.3825634690139968,-252145269773.0,-87351228901,1.391020037,0.4091754347,1.3906433048,3.007484591052588,0.4737686949,90.79226201780666,90.79226201780666,2.0074845911,0.13992306617204223,1.1860659472633333
