ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Payable Outstanding,Cash Cycle,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
SSI,2024,2,2.0118457386,54251279629400,1962071596,17.6424590494,6.5614672257,-2.8695650122,432.46028399312297,13743.5984625532,19.4353266273,0.6313417489375623,0.3677944008032803,0.1205095281,0.0700777373,0.0434955215,0.6033329972435126,5008056379451.0,1391916056747.0,0.0,1.4622399043,0.9122258813,1.4622399043,-3.9607809554873294,2.862652659416107,0.1266570744,32.305703006,0.0,47.9850770184,0.0,1.8145512935,1.8626526594,0.009184894439816672,1.6547360741130068
SSI,2024,1,2.168020352,51989827147050,1509138669,20.2546483608,6.8039711284,-4.8434318192,506.4155772374553,15890.0722347769,19.4208973686,0.6978090789929167,0.3873896381729272,0.1117690297,0.0722845752,0.0425379905,0.6556180438154804,4741037997473.0,1293418596449.0,0.0,1.4960802872,0.9525835094,1.4960802872,-3.3764024940966557,2.7263053077993193,0.1272730924,29.2565953727,0.0,53.9100272182,0.0,1.6693725249,1.7263053078,0.010371995684189159,1.6001880212033874
SSI,2023,4,2.4368736992,56292657020950,1499138669,24.5252039079,7.8646374213,-3.8270478541,343.87004104688333,15409.0874762727,19.3486339848,0.5475359716105076,0.251829383457386,0.1011252049,0.0656743205,0.0377512902,0.4916663185279054,4467174009103.0,1006468536660.0,0.0,1.4313572587,0.9701113416,1.4313572587,-2.558087479712286,2.979288693932577,0.1178534212,25.9615535332,0.0,88.5806203187,0.0,1.8574558529,1.9792886939,0.011594929813887137,1.5482263354768022
SSI,2023,3,2.2487700323,50745843945650,1499138669,25.1574605014,7.8531484364,-6.3448950953,474.3427986934276,15052.6730230217,19.8257941211,0.663786201426839,0.3663153588197346,0.0899043574,0.0749241955,0.038250329,0.6220370720511016,4079882060683.0,1207522574540.0,0.0,1.594308419,0.9226665812,1.594308419,-3.3841945456031914,2.4345187437510614,0.1228757699,24.1850404636,0.0,33.1238353584,0.0,1.339203927,1.4345187438,0.012197097842407906,1.512710582817311
SSI,2023,2,2.3052193031,50371059278400,1499138669,30.7419948304,8.583184128,-8.4028051319,375.5419448846196,14575.6197490214,20.9162018793,0.7245444264110489,0.335116338172552,0.0736090454,0.0746961955,0.0326540051,0.6711565245461478,3591920720479.0,1127530951262.0,0.0,1.6599070269,0.9500657894,1.6599070269,-2.632903459271966,2.27957940134956,0.1170742877,23.5264828108,0.0,25.0399569383,0.0,1.1262825243,1.2795794013,0.011326553791684199,1.4651339493264735
SSI,2023,1,1.8349999941,41900925798550,1499138669,27.0161674056,7.2023443641,-9.2918068155,335.6443515773256,15231.6076779906,21.0792538396,0.7361956263575905,0.3378355050915107,0.0696979324,0.0631182141,0.0292694085,0.6847639056086875,3325746984787.0,1019897952046.0,0.0,1.6571471878,1.0556374052,1.6571471878,-2.602213848408254,2.2944095793353587,0.1201730718,24.1530243797,0.0,22.3306340979,0.0,1.2278629105,1.2944095793,0.011349267476028655,1.5303638627005327
SSI,2022,4,1.4223174148,31781739782800,1499138669,15.5262584046,5.0161974998,-3.6908073283,156.25855262159206,14905.2523570613,15.3990104754,0.5257593265181948,0.1733654609719332,0.0928489529,0.0663256195,0.0329902765,0.4624572139006283,3423274464691.0,624877062948.0,0.0,1.6359189056,1.071240161,1.6359189056,-2.4933915440231984,2.3332138263120212,0.1230024759,26.9096466059,0.0,23.0490697214,0.0,1.2460881349,1.3332138263,0.012595250319855875,1.491135339497884
SSI,2022,3,1.2985592383,28591462444800,1489138669,8.9570193904,3.8595712945,-25.8774079095,225.9191876851329,14785.6173473681,12.1751000127,0.5900675910883608,0.24957958326350085,0.1448633624,0.0914553431,0.0502916674,0.534751352969673,4067708844484.0,720827083458.0,0.0,1.8097168793,0.9436252679,1.8097168793,-3.036320457740457,2.0502101723588613,0.1563000028,37.910507237,0.0,2.5311257403,0.0,0.9658493806,1.0502101724,0.009295998032182042,1.4763414212428139
SSI,2022,2,1.2026699868,26059926707500,1489138669,7.046457484,3.3375682781,-4.1088096213,230.40221037198785,14550.9576124102,11.8170638681,0.5732737982830195,0.21060941991496362,0.1959532357,0.1071456249,0.0569545356,0.5308481392615754,4376727091860.0,864797230048.0,0.0,1.3465855503,0.6145364282,1.3465855503,-3.1024411159773306,3.0119336735354514,0.1628801565,41.8543662097,0.0,1.8511880425,0.0,1.7926506926,2.0119336735,0.014951149918370528,0.9570621305256627
SSI,2022,1,1.375254812,30845799509400,1490135242,6.6249340624,3.8823373917,-1.3614134442,474.1421330299629,15051.7560959417,14.1935677048,0.5933931916996454,0.3519376673569919,0.2257764255,0.0910290307,0.0625737827,0.5599319509745729,4457784025412.0,1124096858096.0,0.0,1.3023241562,0.5154006347,1.3023241562,-4.259753208596655,3.323690627884722,0.166925751,46.0968589163,0.0,3.7122673013,0.0,2.1987961161,2.3236906279,0.011404469250706883,1.0037780171179123
