ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
CID,2016,1,0.9759125814,3806850000,928500,-15.2611316068,1.0748650658,1.9269033235,89.1474690360797,4201.1959658041,-75.0639120407,0.4729999063627056,0.08517230291150246,-0.0542531638,-0.015515781,0.08517230291150246,-30601057.0,82773425,0.0,0.899002627,0.1277282867,0.8128404569,3.6003777042596314,0.2201536436,0.6495797348,107.23708776217848,156.5649962605,3.1254318482,266.9275158708785,2.3313001547,2.6003777043,1.1360933840326102,0.42011959658040665
CID,2015,4,1.2364548873,4735350000,928500,-6.6065497062,1.6720207068,3.7665019868,84.25649757673668,4124.6955730129,-8.4192743209,0.460697380429397,0.07458954981141563,0.0,0.0,0.03019676675300983,0.0,31671437,0.0,0.0,0.0,0.0,3.5098308135157357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1957206139312297,0.4254199896487985
CID,2015,3,1.0509526964,4423500000,983000,-3.809475436,1.4153570931,2.5592794961,11.564484231943032,4281.829254159,-1.5681681461,0.3365678797445013,0.011179678118868844,0.0,0.0,-0.0025848225129937504,0.0,-2628338,0.0,0.0,0.0,0.0,3.6668493935031528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2140054123001902,0.4281829254158965
CID,2015,2,0.999681631,4620100000,983000,-3.1174907717,1.7683106323,22.1623480962,-429.2798484231943,4701.4968107833,-2.2411095201,-0.09666851119110662,-0.8369422366346354,-0.2515317443,-0.0926544481,-0.9674284592270848,-549507572.0,-487772592,0.0,0.8561201881,0.3316418891,0.756441299,3.210855763556948,0.1631053522,0.4299297092,176.25223910186625,163.2515265702,6.8179577428,346.32172341486626,2.2358137021,2.2108557636,1.193637088410513,0.42713228881700555
CID,2015,1,0.9868439075,4521800000,983000,-1.0854893719,0.8190236148,-3.1942864321,-259.03272227873856,4661.3248207024,-0.2122301662,-0.3217503534208112,-1.1720738791845138,0.0,0.0,-1.3071110368974743,0.0,-283965541,0.0,0.0,0.0,0.0,2.9077072429070334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1827426775666556,0.4661324820702403
CID,2014,4,0.9394164669,4521800000,983000,-0.8028379837,0.7785585686,-9.9730021089,-505.6882309257375,4896.6567670979,-0.007726919,0.04984265829802542,-0.35837187176254054,-0.6948553909,-0.2770134452,-0.3998507847043039,-4356576363.0,-554626226,0.0,1.0263500354,0.5114139067,0.907231217,2.437260309131528,0.2849519121,0.8405662134,111.55318024098148,165.6722350863,8.9622189126,286.18763423988145,2.2031452633,1.9418967629,0.9304722371825718,0.6206831004621072
CID,2014,3,0.6261504259,4521800000,983000,-0.7926408057,1.0040362887,11.7649721569,-315.8615666327569,7346.4774750763,-0.1247112583,0.29815585636509684,-0.6158171342436954,-0.627272656,-0.2671249457,-0.6724976070766271,-4448533053.0,-339069931,0.1086956521,1.2348009432,0.5432274437,1.0955715904,2.520484633456123,0.2106971855,0.6369454996,124.49221037730359,211.2997568319,20.5328521532,356.32481936240356,1.7274037863,1.5204846334,0.9108496978456132,0.6674295155268022
CID,2014,2,0.6442627873,4235070000,984900,-0.7857459113,0.9068371235,-3.5806057217,-3159.396542796223,6674.295155268,-0.0651494293,-0.6154839049458942,-0.9118666294750909,-0.5117502552,-0.2263592524,-0.897139693859095,-4114420613.0,-3061434879,0.1162790697,1.2348009432,0.5432274437,1.0955715904,2.419965501722644,0.1958592014,0.6305672443,146.72451169994574,284.2316569374,23.7662173397,454.72238597704575,1.2841637836,1.5204846334,0.915951881859627,0.6961256264325324
CID,2014,1,1.0918895433,11621820000,984900,-5.6142881112,8.9535647558,-1.2006004272,-313.969289267946,10806.9539374556,-8.5709760313,0.3057335872033638,-0.6133110264877676,-0.1685484423,-0.0754862432,-0.7030370630410853,-868907036.0,-354467772,0.0423728813,1.3353188952,0.3437447376,0.7975134062,2.2356898606866817,0.0472190081,0.1633570013,608.1208062604267,2859.9623874497,146.5162468386,3614.5994405487268,0.127624056,1.2356898606,0.6797993838974294,0.983712470702403
CID,2013,4,1.3038485838,14281050000,984900,-6.898913357,11.0022617762,-1.4753140843,-2008.6784668494263,11120.9232267235,-10.7815644837,-4.839829812883359,-23.895209979786124,-0.1685484423,-0.0754862432,-11.778122911800997,-868907036.0,-975141843,0.1379310344,1.3641135788,0.386479159,0.8503328448,2.2950031639677437,0.0472190081,0.1633570013,608.1208062604267,2859.9623874497,146.5162468386,3614.5994405487268,0.127624056,1.2986814893,0.6874108045217718,1.0178017959334567
CID,2013,3,0.8182626045,10636920000,984900,19.9599361938,0.9974943626,-3.0488136412,1.8818022134226826,13198.6967753071,2.5249533449,0.4763864189358428,0.0027632468004914063,0.0396905204,0.0165139328,-0.057917692417790816,2085771994.0,-38847018,0.1851851851,1.5237498206,0.4152335823,1.0119128074,2.160121624982021,0.3211267793,1.1917888279,96.72043776001259,41.0659652463,15.1668236485,152.95322665481257,8.8881388227,1.1601216249,0.6092793345465576,1.2014229624768946
