ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Financial Leverage,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
NVB,2021,4,3.7479449389,21603979175600,556803587,11597.6017619048,12.6924918208,-1.9045083859,-292.78726611364306,10352.3399176665,-0.9525771147767046,0.0003283672,0.0,1.71375e-05,17.303054016912824,16.3027388362,0.16604044819451155,0.7612563542992922
NVB,2021,3,2.9121305424,17260911197000,556803587,87.3687627893,8.9746700953,4.1422688117,114.70472082285633,10645.1271837802,0.14535573100040738,0.0333348695,0.0,0.0017208333,18.318903742620975,17.3189037426,0.1590201129596397,0.7903598754965199
NVB,2021,2,2.7876177675,12163427251300,406803587,145.8216902641,6.5907645036,2.0649482143,194.0445033489835,10726.0042424356,0.3110207523157725,0.0194058275,0.0,0.0010138604,19.244262643360866,18.2442626434,0.1270637398510374,0.7789580433123485
NVB,2021,1,1.8230225405,7810628870400,406803587,719.7408035385,4.29378851,12.8438068552,53.143582531881655,10531.9597390866,0.0547477233820565,0.002536999,0.0,0.0001371665,18.948742880923266,17.9487428809,0.13006136859458145,0.7648658871628822
NVB,2020,4,1.6509498536,7037702055100,406803587,5854.5298267327,4.2525858031,-5.7897061367,-49.00645086986413,10478.8161565547,-0.03309516853037265,0.0002828639,0.0,1.42592e-05,21.019240784269567,20.0192407843,0.13219394673009885,0.7610064237384818
NVB,2020,3,1.2633191588,5410487707100,406803587,119.4737126264,3.7100597376,-10.9194887273,6.863262982978565,10527.8226074246,0.00795362285811956,0.0105389543,0.0,0.0006108826,17.356751587062163,16.3567515871,0.13385306097288754,0.7645654349244222
NVB,2020,2,0.8554352988,3661232283000,406803587,81.2812250244,2.7805722276,-1.1077712151,15.675869642712861,10520.9593444416,0.026091297036549093,0.0104827715,0.0,0.0006149616,16.66867571783314,15.6686757178,0.13406678187012788,0.7640670019774345
NVB,2020,1,0.8477722055,3661232283000,406803587,82.1166264757,2.793827173,-1.5183060137,29.446643006124724,10616.0592925155,0.05077740852521279,0.0103491765,0.0,0.0006085406,16.314878187656284,15.3148781877,0.1347647679796307,0.7709734759817722
NVB,2019,4,0.755671362,3254428696000,406803587,76.0568355663,2.6207581932,0.5956858919,59.33575998679677,10586.6126495094,0.053211587595867055,0.0114443543,0.0,0.000564626,18.667319452235972,17.6673194522,0.1368878335754383,0.7688349629903808
NVB,2019,3,0.8739202071,3742593000400,406803587,72.4725593341,3.3148629717,-2.0104464548,6.268381306087156,10527.2768895226,0.01053771261384862,0.0118244535,0.0,0.0006279097,16.530819370027185,15.53081937,0.13850374567954393,0.7645258030783508
NVB,2019,2,0.8174121324,3498510848200,406803587,64.1955508301,3.1244654651,-0.7909260712,14.264869301656379,10521.0085082165,0.020084032450092753,0.0123663784,0.0,0.0006126637,16.509365455571796,15.5093654556,0.14026968325115233,0.7640705724140175
NVB,2019,1,1.2042916034,3906019859400,482224674,73.6193011549,3.3188406203,-0.8434706169,22.087214890211115,6725.9457569772,0.061261582528571674,0.0121331496,0.0,0.0005494571,21.38852111831442,20.3885211183,0.18723216903654386,0.5790207355371785
NVB,2018,4,1.3275936454,4291799598600,482224674,73.9263863135,3.5063235221,-0.7042327531,52.79904030792087,6703.858542087,0.1059184717721303,0.0112356293,0.0,0.0005024132,22.384674459750755,21.4025401158,0.19003546291074008,0.577656471718812
NVB,2018,3,0.7603275961,2440890326400,297669552,86.3451384909,1.8823616305,-1.3086664944,4.2765542913169705,10784.8249121563,0.00503080528451911,0.0087884634,0.0,0.0003939583,21.650598664180514,20.6505986642,0.35421581814115377,0.5731111274268161
NVB,2018,2,0.8626648378,2768326833600,297669552,97.2776470588,2.1091322978,1.5644368241,5.845408065115104,10780.548357865,0.006633094567343064,0.0,0.0,0.0,22.909559584935188,0.0,0.35037695062169666,0.5728838691383078
NVB,2018,1,0.6339424376,2024152953600,297669552,86.5059737596,1.6214730848,-1.0667451979,36.19785741472141,10726.5259370092,0.047797966534769414,0.0072820818,0.0,0.0003453591,22.348316277041583,21.348316277,0.4233011945804722,0.57643199049267
NVB,2017,4,0.8979741285,2857627699200,297669552,131.6241111364,2.3323650873,9.001225245,48.64790470743208,10690.731163478,0.03453794379862526,0.0068116531,0.0,0.0003117444,22.323926663273404,21.3239332894,0.42738356480229894,0.5745085963054047
NVB,2017,3,0.8080710662,2559958147200,297669552,197.4514893945,2.1714545312,1.0208180713,4.91148654666568,10642.6283030852,0.006418107667926582,0.0040282988,0.0,0.0001963212,19.91698154080597,18.9169815408,0.42904040096626955,0.5719234216974792
NVB,2017,2,0.6580325583,2083686864000,297669552,175.7199527745,1.7856953766,-2.2660473614,-11.149947912710937,10637.7715087555,-0.013543843039958214,0.0036782297,0.0,0.000183738,19.736740596071638,18.7367405961,0.4206915310385145,0.5716624227832615
NVB,2017,1,0.6601562936,2113453819200,297669552,152.9825667752,1.8757744399,0.2346990773,31.34684060666037,10755.0288750043,0.04140137279870795,0.0042778003,0.0,0.000217556,21.047030482817586,20.0470304828,0.3810447951132604,0.5779637077867796
NVB,2016,4,0.4196183281,1339512984000,297669552,124.9743703294,1.2468832726,0.456040666,18.44662970433738,10724.0310994294,0.01955505222634145,0.0033632817,0.0,0.0001849012,21.361905425211997,20.3777827342,0.3660585687023787,0.5767263729889389
NVB,2016,3,0.4106867129,1309746028800,297669552,82.0385862073,1.541982466,0.4733039112,1.1925976224803805,10713.7627333055,0.0013317977018048673,0.004951652,0.0,0.0002989141,17.92162815488885,16.9216281549,0.3650328643621821,0.5757461096250746
NVB,2016,2,0.5414193547,1726483401600,297669552,106.2499606201,2.0384562068,0.5606609069,-4.575543554417686,10712.5834159409,-0.005535865253300383,0.0050445092,0.0,0.000332917,18.31300308647048,17.3130030865,0.36439981282090006,0.5756827343757263
NVB,2016,1,0.5505076588,1756250356800,297669552,567.1757639919,2.3352958082,-0.4775670663,29.41180897131192,10717.3804138972,0.05489785424948896,0.0009621812,0.0,7.02217e-05,15.004399033774797,14.0043990338,0.3642258621154604,0.5759405198970192
NVB,2015,4,0.5426634887,1726483401600,297669552,269.0110200314,2.2519621656,0.6017746007,27.604435673017708,10688.0232791305,0.039582450190758796,0.0,0.0,0.0,15.021484747341457,0.0,0.362805868198401,0.5749741812358287
NVB,2015,3,0.5527491983,1756250356800,297669552,-7549.1099183193,2.3513158508,-0.5870106938,2.1475544364712182,10673.918692247,0.0027178220895850776,0.0,0.0,0.0,12.260391585381628,0.0,0.3646680563991105,0.5736048421600408
NVB,2015,2,0.6183885936,1964619043200,297669552,328.9121913166,2.7836118536,-1.0701813623,-48.76137998151722,10672.9006137972,-0.09037834659250445,0.0018564847,0.0,0.0001619254,12.513329332406252,11.5133293324,0.3610031387872834,0.5735501317256343
NVB,2015,1,0.6435895348,2053919908800,297669552,98.972933281,2.8690397221,-0.9760888336,52.46174758915215,10721.1190155614,0.09792241218258388,0.0,0.0,0.0,11.33438055046193,0.0,0.35795591074259947,0.5761413364678267
NVB,2014,4,0.6186006784,1964619043200,297669552,241.5238020478,2.9606436001,-2.222084302,-6.6294711358318565,10669.2414513197,-0.015443774439454766,0.0025359319,0.0,0.0002468241,11.468965383981713,10.4697494723,0.35729814082702027,0.5733696716901621
NVB,2014,3,0.6475432613,2083686864000,297669552,89.7920921438,3.0112330073,-0.9578222658,22.995249369676884,10810.088558117,0.03494617530200257,0.0072251697,27.7334144697,0.0007138944,10.545611763430355,9.5456117634,0.32562176035820134,0.5744536505310265
NVB,2014,2,0.6313127844,2024152953600,297669552,107.5336618779,2.9514452403,28.4261325975,0.888504320388133,10771.2059185247,0.001777813398083857,0.0058694802,26.9410311991,0.0006237113,10.937742839939652,9.9377428399,0.3281613657448012,0.5723874071199794
NVB,2014,1,0.6313648649,2024152953600,297669552,-1910.7593796028,3.1218947614,14.3714039746,8.258170926396932,10770.3174142043,0.019195274901066133,-0.0003308113,26.9410311991,-3.88172e-05,9.917133687252058,8.9171336872,0.32438826263500675,0.5723401915446753
NVB,2013,4,0.6411412392,2053919908800,297669552,111.2989377356,3.0814362491,0.371076996,45.81594263964223,10762.0592432779,0.10980418666982845,0.0057773312,0.0,0.0007285527,9.084574573459665,8.0757037811,0.3246048273449761,0.5743128462082089
NVB,2013,3,0.6514153007,2083686864000,297669552,-22.8920198505,3.1137086256,0.7896586549,8.273394737396588,10745.8329448724,0.01361253854819576,-0.0284962585,23.1520762666,-0.0039495588,7.699943884062446,6.699943884,0.04449646564776113,0.571039074286159
NVB,2013,2,0.6237005467,1994385998400,297669552,-25.371985689,3.1322538576,-10.3590051741,-65.90630281863696,10742.3346591928,-0.15720649177422005,-0.0244304444,22.1598444266,-0.0035479091,7.37695573159076,6.4003910608,0.04532247948541416,0.5690029327123358
NVB,2013,1,0.6498110638,2083686864000,297669552,-88.6200192432,3.0406013636,-3.9640991789,73.33853055955149,10772.3619829884,0.14504999204490304,-0.0072638128,23.1520762666,-0.0010748492,7.0037931211666296,6.0037931211,0.049733823495866976,0.5724488409785333
