ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Financial Leverage,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
NVB,2024,2,0.9824577918,5011232283000,556803587,-7.4357676397,6.0421280942,2.6925819061,86.09319537303915,9160.6988875235,0.17563329400816302,-0.1297338337,0.0,-0.0069557054,20.253801921693256,19.2538019217,0.15199589861019347,0.9105880791652267
NVB,2024,1,1.0909564929,5512355511300,556803587,-7.7002927236,7.6310259154,1.4382112876,-75.24915603677675,9074.6056921505,-0.18906808418468649,-0.133475772,0.0,-0.0077628518,19.078676599958083,18.0786766,0.15506693057455778,0.9020302782412487
NVB,2023,4,1.1257009178,5735076946100,556803587,-8.565491236,7.9747771627,-1.2254244859,-783.4162893063402,9149.8548481872,21.14747660832889,-0.1233193049,0.0,-0.0071957843,18.892187563792135,17.8921875638,0.15422896704635744,0.9095101643608171
NVB,2023,3,1.1979940782,6625962685300,556803587,-126.4882721823,5.1201595908,5.6885168304,-437.79351586684373,9933.2711374936,-34.62571022727273,-0.0091747269,0.0,-0.0006003969,16.56159100150591,15.5615910015,0.13737485944825065,0.9873829929326403
NVB,2023,2,1.1570653931,6681643044000,556803587,-1015.3165557404,5.4078289377,-10.3603730178,10.793752303898144,10371.0646533604,0.028453610199743396,-0.0008401638,0.0,-5.73074e-05,14.653032584161869,13.6530325842,0.12988986684205403,1.0309003666154632
NVB,2023,1,1.3899250452,8017971652800,556803587,-503.8197218394,6.4526908192,-7.8115681961,7.916615666486359,10360.2709010565,0.016980296230667002,-0.0029841673,0.0,-0.000195585,14.376409431969707,13.376409432,0.13005622126270405,1.02982745042227
NVB,2022,4,1.3909879437,8017971652800,556803587,937746.3,5.9970139378,0.8250773472,325.00329420471206,10352.35428539,0.37629755626902667,1.5955e-06,0.0,9.78e-08,15.587038194880563,14.5870381949,0.1289183911531605,1.0290405261993754
NVB,2022,3,1.954653828,10913350305200,556803587,-27.500674264,8.673208098,-27.9885495566,-352.3486640182151,10027.3509911853,91.9348641049672,-0.0747314035,0.0,-0.0045658874,14.005761682456413,13.0057616825,0.1237910075914362,0.9967346804308497
NVB,2022,2,2.3159739183,9911103848600,556803587,-94.2364107575,5.9922320353,-3.0544130358,-9.238446231489526,7685.751492833,-0.026647741106627227,-0.0194541838,0.0,-0.0011033348,17.635172150465923,16.6351721505,0.16280908732749552,0.7639759558445679
NVB,2022,1,2.9550662156,17093870120900,556803587,86832.7617400419,10.1669464794,8.4455317981,36.59818376852518,10388.938101435,0.0783859676116475,3.66794e-05,0.0,2.0336e-06,17.247116298891985,16.2471162989,0.16464905225647775,0.764894272133717
