ticker,yearReport,lengthReport,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
VVN,2024,2,231000000000.0,55000000.0,-0.4853636341,0.0580770034,-3.049044378,-2722.8706312,102.6170759388,0.013148062661472682,-0.08704734826046301,-0.0667973445,-0.1010503666,-0.02468394944632288,46847019898.0,-42466727929,0.8986402199,0.0384803485,0.528076548,0.7911469204709323,-2.515269986943248,0.8445024753,2.0527381808,93.87428125642323,96.441654226,103.2977617453,293.61369722772326,3.7846717057,-4.2806873893,-3.5152699869,-0.991059455563007,-3.4218828332763636
VVN,2024,1,143000000000.0,55000000.0,-0.3118574756,0.0493493335,-2.4244456096,-1904.8823816727272,132.2227676909,-0.05128336084949604,-0.25183913564823923,-0.0707738932,-0.0975275801,-0.15920561817919707,35097803547.0,-66231718511,0.9140805563,0.0294764628,0.4756299784,1.6190339683401473,-2.7849319801848997,0.6163144014,1.4579769524,125.72795793124396,126.9290773189,136.0331353949,388.69017064504396,2.8756216283,-4.5819204022,-3.7849319802,-1.113132802584991,-3.1260470486745455
VVN,2023,4,126500000000.0,55000000.0,-0.2747390158,0.0442382149,-4.8540938758,-1834.4678547636363,72.0132289306,0.07378375004089818,-0.08372479033271214,-0.0643727696,-0.0972554531,0.007039573234293436,60108930959.0,8483304547,0.9125850586,0.0603470396,0.5895933534,-0.27233302011569716,-2.947649396856498,0.6039996763,1.3826770625,137.2499970565704,112.6941785125,142.3602100138,392.3043855828704,3.2388540812,-4.7238751922999995,-3.8681556408,-1.2340951594841243,-2.891191095538182
VVN,2023,3,302500000000.0,55000000.0,-0.9656377374,0.1146597456,-3.1498840161,-2191.085034618182,41.489979095,-0.02096226787073332,-0.1894932426559799,0.0,0.0,-0.1146552107121944,0.0,-72915858131,0.0,0.0,0.0,1.2961560941682289,-3.038656663132954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3185476941599565,-2.7704451715636362
VVN,2023,2,291500000000.0,55000000.0,-4.2115082571,0.0683740879,2.0502897773,-2406.706543981818,17.9493495712,-0.017747626829423515,-0.2066166306759662,0.0,0.0,-0.08759730334138022,0.0,-56119176551,0.0,0.0,0.0,1.0001357553081924,-3.3924451154980835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4898442967779106,-2.51957161772
VVN,2023,1,225500000000.0,55000000.0,-3.2579592178,0.0528931623,1.586073224,-1578.489949690909,16.85685264,-0.009032291583863376,-0.23700826364130873,0.0,0.0,-0.11446954741656226,0.0,-41930591386,0.0,0.0,0.0,0.8748635859478356,-3.822271168720225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.709581222258229,-2.2559158566054545
VVN,2022,2,390500000000.0,55000000.0,-5.6418318161,0.0915954762,2.7466146073,-639.3191085454546,17.4971576882,0.03388172198179665,-0.049122429856620076,0.0,0.0,-0.043815521497937535,0.0,-31363788649,0.0,0.0,0.0,0.6938941529813994,-5.38145394760715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4955359230045295,-1.6585525352036363
VVN,2022,1,445500000000.0,55000000.0,-6.4364560156,0.1044962475,3.1334617351,-884.5859414545455,17.9278158763,0.05381301146282876,-0.07840718551499219,0.0,0.0,-0.0026044072062628948,0.0,-1616053544,0.0,0.0,0.0,0.03779921519291761,-5.782702624677695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7276849592094656,-1.5514089850454544
VVN,2021,3,236500000000.0,55000000.0,-1.0958071258,0.0527181566,0.6976934845,-693.1523239090909,14.7749547263,0.05082111262319564,-0.036203358440926724,0.0217620623,-0.0396762681,0.00843560342607139,300129183871.0,8882979656,0.9865743351,0.0780499096,0.5870573956,-0.19453513236134998,-5.984300156151173,0.8247165711,1.811662496,83.19087730732097,91.3232880581,93.0699744495,267.58413981492095,3.996789951,-8.803237855799999,-6.9843001562,-2.761640506424457,-1.5858502214018182
VVN,2021,2,209000000000.0,55000000.0,-1.0020941046,0.045731602,1.0609798736,-1013.4559611090909,12.5026316774,0.06478655692618195,-0.05103589131771415,0.0,0.0,-0.0010517809501464994,0.0,-1148727896,0.0,0.0,0.0,0.02588226096150832,-6.431751955058445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9172279513057218,-1.5289404297927274
VVN,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05880658929710666,-0.04500619049975047,0.0,0.0,0.009243728099689803,0.0,8598038091,0.0,0.0,0.0,-0.19699788038324773,-7.053838681558746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3055383094293984,-1.3740955526254546
VVN,2020,4,434500000000.0,55000000.0,-2.0833009016,0.0950735937,2.2057213162,-1456.3048038363636,13.3795271105,0.09516373408224861,-0.05677546200609462,0.0313694954,-0.0373900618,0.039196765655995496,342916997455.0,55297376466,0.9899976744,0.0959692541,0.6395922819,-1.317530221884473,-7.988608490592768,0.8193100364,1.7940308054,92.53278855041613,82.0656860565,104.6351136333,279.23358824021614,4.4476567191,-10.5316906427,-8.7430662796,-3.5056961576045667,-1.3198845175545455
VVN,2020,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061565334363748954,-0.03715753252997089,0.0,0.0,0.002408997612375577,0.0,3208284256,0.0,0.0,0.0,-0.07865126683118762,-8.499703755572149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9262194955755585,-1.2028651900236365
VVN,2019,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04634297499317602,-0.005497033146396313,0.0,0.0,-0.0018148324582928554,0.0,-1790782904,0.0,0.0,0.0,0.04565321454923403,-13.046228934939124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.172327371637779,-0.8208215119927272
VVN,2018,2,407000000000.0,55000000.0,-4.3921641461,0.0952019255,-18.8820556834,-811.3515378909091,26.9067168336,0.06192793977730262,-0.05444646909938206,0.0,0.0,-0.014721776832530644,0.0,-12065970593,0.0,0.0,0.0,0.284039683922295,-37.862753281955065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.003322434076715,-0.28906302690545455
VVN,2018,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04664500619548846,-0.1361942123187008,0.0,0.0,-0.04076275756666406,0.0,-20339193542,0.0,0.0,0.0,0.4821308317917372,-55.97032587316985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.404204057274182,-0.1940064381290909
