ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Payable Outstanding,Cash Cycle,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
VNL,2024,2,0.7912944124,222005645900,14140487,6.0667598483,0.2472869313,-18.1577232943,983.0175996060108,19840.9084577497,5.408486811,0.07618584428554084,0.048661189946564626,0.1351599768,0.1031079528,0.0921570187,0.05738343745646529,31154590708.0,16391907541,0.0636942675,3.0760844724,0.4871355388,3.0760844724,1.5424956066940672,2.2609140641,20.988699655,87.98508637512694,23.0445279987,111.02961437382694,0.5424956067,0.15086016705785943,1.9840908457749722
VNL,2024,1,0.8619482903,230489938100,14140487,5.8320489693,0.2941381646,-84.9409743798,538.2114826738288,18910.6471741037,8.7064132772,0.05491537802929501,0.034858636804202,0.148562565,0.0694334809,0.1040428915,0.03165138025125501,20752292902.0,6910342612,0.0613496933,3.690140043,0.6252128872,3.690140043,1.4563638658811846,2.0629191,18.1766515207,90.59435138681678,21.4607801623,112.05513154911678,0.4563638659,0.1595115292054196,1.8910647174103692
VNL,2023,4,0.7366652182,198673842350,14140487,5.3244244119,0.2724715663,-50.2486733635,309.48464610872315,19072.4356914299,6.2410377259,0.05514523228667674,0.02004865607689449,0.1441898232,0.0620226231,0.0993264518,0.012808279193743596,18865367381.0,2795818632,8.5409252669,3.757580141,0.8564938488,3.757580141,1.447938652213836,1.9409591678,16.6266246881,92.35677129389255,22.7658708689,115.12264216279254,0.4479386522,0.15939637959385977,1.9072435691429863
VNL,2023,3,0.7648050653,202915988450,14140487,5.476668609,0.2830094315,246.4262504499,757.1586108031498,18762.9510453211,5.6319716897,0.04533415813534255,0.061005950989880695,0.1452127246,0.0735499947,0.1020151933,0.016124770024446053,21658776421.0,2829909587,8.362369338,4.1226177968,1.1912282685,4.1226177968,1.4157403816162502,1.9741511921,16.3205925405,89.73864131881946,21.2931257203,111.03176703911946,0.4157403816,0.16254946342469753,1.8762951045321141
VNL,2023,2,0.8105570217,212107305000,14140487,5.9675598921,0.2681150514,8.2035099626,1190.0463467771654,18505.792434518,5.1862569662,0.06835778696547659,0.09812064429021938,0.1413766574,0.0995035579,0.0980814442,0.035164957318594245,28232052389.0,6030841931,8.0,4.5845943875,1.0980774193,4.5845943875,1.3904788525343053,2.1830437696,17.7904388682,81.59601976876112,19.2756553884,100.87167515716112,0.3904788525,0.1668971415994407,1.8505792434517991
VNL,2023,1,0.9245501128,227190700000,9427000,5.425765229,0.2399550807,6.9991001315,573.1393920653442,26066.731987801,4.5296395945,0.06141707960136967,0.03297116315290187,0.170021565,0.1258509975,0.1143772093,0.030942389993812228,33187730024.0,5070529958,4.979253112,4.0594963335,1.1707977479,4.0594963335,1.4395395870826253,2.586250241,21.1602074618,71.20307857876978,17.6171828034,88.82026138216978,0.4395395871,0.17989308263098766,1.737783730143099
VNL,2022,4,0.7758544187,192310800000,9427000,4.3297339493,0.1753496111,4.3573733866,436.3612573459213,26293.5925957357,2.5736633116,0.0789900265008381,0.019957055126629618,0.1881388572,0.1373449282,0.114544408,0.02708500929880138,36386666061.0,5582801977,0.0735294118,3.8757245212,1.2176869678,3.8757245212,1.4505274398378316,2.8607258546,24.2698883316,69.82055447414112,25.3935907825,95.21414525664112,0.4557423412,0.18042172906610407,1.7529077845763021
VNL,2022,3,0.7869796265,197024300000,9427000,3.8093323974,0.1364677566,5.3799058837,975.8132894876419,26557.2313383897,2.2740980737,0.056521176895380165,0.03685307661215241,0.2157739828,0.1656060928,0.1330012764,0.0374741052084316,43252544211.0,9354008436,0.0717703349,3.5629904277,1.2381308454,3.5629904277,1.4874985267255165,3.7995776722,31.9467492192,54.7555173066455,17.8990708688,72.6545881754455,0.4874985267,0.1808306944166077,1.7704837169115888
VNL,2022,2,0.8756355866,211164800000,9427000,3.9929570343,0.1443222537,10.6082125506,2456.45583600297,25581.4180489021,3.6186687063,0.05221340454562759,0.07077302897271767,0.2188123825,0.1539724914,0.1321903221,0.033368357428391365,38949784994.0,10918161481,0.0669642857,3.0505944228,0.737870109,3.0505944228,1.570283125787032,3.7878904188,32.198140038,56.0373910409813,19.9907300692,76.0281211101813,0.5702831258,0.18568951786202725,1.705429437805077
VNL,2022,1,0.7846892549,180998400000,9427000,4.2152974014,0.1199088565,-111.5199917357,789.6219608571125,24468.2845848096,3.5458136393,0.03170219855648696,0.01960795431126309,0.1787046775,0.1649816627,0.1045813474,0.02157014862973994,39221529191.0,8188673907,0.078125,2.9257093436,0.4453436691,2.9257093436,1.6029609546287544,3.8013030995,32.8357146419,56.44015634683719,22.7154878842,79.1556442310372,0.6029609546,0.19903497558410338,1.6010234921965558
VNL,2021,4,1.0558028719,235675000000,9427000,5.9802071916,0.1609760959,194.609866807,1138.9966871751353,23678.6626239525,4.4598153942,0.039958287015755385,0.02203436316886996,0.1716047023,0.1728019911,0.0933633736,0.026676587641268568,40373838098.0,12999472825,0.06,2.1954905294,0.3842287806,2.1954905294,1.853920284835514,3.6215199734,31.2454262087,58.60871955137298,27.4855122654,86.09423181677298,0.8539202848,0.20852632623390957,1.5483819797436962
