ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Dividend yield (%),Financial Leverage,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
EIB,2019,3,1.3578312992,21453604174800,1229432904,33.7458774106,4.9141123511,-83.6991709712,221.12796811886858,12851.3755802326,0.35776352723343946,0.0414008955,0.0,0.0040909168,0.0,10.037796622055426,9.0377966221,0.2185693026995607,0.8454523931327408
EIB,2019,2,1.3163949878,20408586206400,1229432904,38.2325738243,4.8312178913,6.0786352116,268.4522261655688,12610.1969042468,0.3954825142145027,0.035112755,0.0,0.0035002993,0.0,10.29397368614389,9.2939736861,0.2252989039623654,0.8295859913213773
EIB,2019,1,1.4484329858,22068320626800,1229432904,44.4355143797,5.3538571148,7.2512084531,228.1767464391859,12392.7031320125,0.33837242823420993,0.0329525521,0.0,0.0033263838,0.0,9.892017174852423,8.8920171749,0.23093316440007175,0.8152777463339815
EIB,2018,4,1.4042605317,20900359368000,1229432904,31.7956513117,4.6950450757,6.26393708,-200.65674116690144,12106.015669156,-0.2742394311866841,0.0453472773,0.0,0.0043744551,0.0,10.26025216860458,9.2564392973,0.2391159250215708,0.7964174616866352
EIB,2018,3,1.3357239026,20285642916000,1229432904,14.9704790549,4.4206366509,2.9511094205,138.21250386836888,12352.8522382869,0.2115498817896266,0.0917098857,0.0,0.0092434126,0.0,9.678741223663417,8.6787412237,0.21158644664783433,0.8126560788511192
EIB,2018,2,1.1244886467,16843230784800,1229432904,13.653179089,3.7698712972,7.1704872399,238.22365502591103,12183.3155361848,0.35002216918614587,0.0,0.0,0.0,0.0,9.80032698717748,0.0,0.2162567732605164,0.8015027817101854
EIB,2018,1,1.1779280251,17212060656000,1229432904,15.2201669154,3.9656613132,77.8833319759,361.5333529417234,11885.2762664294,0.6660268340121254,0.0801023925,0.0,0.007980528,0.0,9.781064168818194,8.7810641688,0.21685329957082047,0.7857688170752126
EIB,2017,4,1.3091122616,18564436850400,1229432904,22.673451126,4.8493614009,2.3105440847,364.1996228856422,11534.5340826949,0.6455337602685021,0.0594109662,0.0,0.005916,0.0,10.45287741415957,9.481205312,0.230214253822192,0.7625802714635385
EIB,2017,3,1.442745932,19793869754400,1229432904,37.7048353141,5.7174105611,-14.1269144614,39.472670563891135,11159.2759632379,0.08061523332054227,0.0384725595,0.0,0.0039189271,0.0,10.03393389727726,9.0339338973,0.23769699034802508,0.7377709088527236
EIB,2017,2,1.0020374741,13708176879600,1229432904,23.8495570195,3.8918155334,3.3036113769,154.6265757012796,11127.3283562773,0.2776093553314466,0.0424753391,0.0,0.0044087903,0.0,9.88329088252321,8.8832908825,0.2407658850126516,0.7356587633066661
EIB,2017,1,1.1040292053,14937609783600,1229432904,35.447326514,4.2203159029,4.3951041577,110.9771826962588,11005.143652133,0.19847895691590187,0.0314450459,0.0,0.00332292,0.0,9.768714624368258,8.7687146244,0.2440325725170803,0.727580791176449
EIB,2016,4,1.0289578634,13769648524800,1229432904,44.7925643184,3.686741722,8.6615822981,121.92450642267828,10884.7994642592,0.21503608609017866,0.0232339618,0.0,0.0024358806,0.0,9.576115080887947,8.5774460924,0.2504330806468775,0.7196245007186006
EIB,2016,3,0.8876473986,11777967220320,1229432904,-38.7448425004,3.0452240088,2.284670856,79.98565816813375,10792.5737353796,0.13666724111093817,-0.022575245,0.0,-0.0024628924,0.0,9.298957918993718,8.298957919,0.3503792276139618,0.713527200137515
EIB,2016,2,0.962258928,12663158911200,1229432904,-39.7098668828,3.1993105036,-12.1968959323,29.874749472298163,10703.9796672324,0.04938406060166025,0.0,0.0,0.0,0.0,9.199367456150512,0.0,0.3556909437964971,0.707669998792981
EIB,2016,1,1.1149462422,14630251557600,1229432904,-44.5111960923,3.804503268,-0.8978708497,19.49516717994071,10673.1603275018,0.026003614988532285,-0.0233329523,0.0,-0.0026024686,0.0,9.268350019799902,8.2683500198,0.3575779631565609,0.7056324461454643
EIB,2015,4,0.9963347826,13031988782400,1229432904,327.4626879032,3.4300457162,-0.4711199957,-376.61428980267476,10638.994226655,-0.48635283168895066,0.0,0.0,0.0,0.0,8.91410179227964,0.0,0.4030382056489177,0.7553342188409358
EIB,2015,3,0.9165823023,13277875363200,1229432904,-87.1343141012,4.2828208705,-0.6826388233,67.86299579956581,11782.9026074709,0.09355625452037744,0.0,0.0,0.0,0.0444444444,8.722544426635277,0.0,0.3730633905127103,0.7790006084870215
EIB,2015,2,0.9893382681,14261421686400,1229432904,-846.726927507,4.7950430003,-1.7695617136,21.90766158313264,11725.0089010896,0.0409252317561808,0.0,0.0,0.0,0.0413793103,8.984833345379016,0.0,0.35896012823510304,0.7751730938243759
EIB,2015,1,1.1520836273,16597344204000,1229432904,132.4724768336,5.537389265,4.386763005,337.6548640022408,11717.8993606675,0.46344303418741395,0.0,0.0,0.0,0.0,10.004273942612425,0.0,0.3573320491543807,0.7747030622456222
EIB,2014,4,1.0626607534,14876138138400,1229432904,265.2875989289,5.0550982715,17.8901843421,-551.3720983019989,11386.5125446076,-1.4287234804894806,0.0039016837,0.0,0.0003389485,0.0,11.451532794021395,10.450841278,0.37227223538657417,0.752794100552748
EIB,2014,3,1.0821649837,15982627752000,1229432904,31.2395047764,5.2178801364,1.862572707,178.1097604330915,12012.9556903416,0.3099445996710517,0.0347417665,11.383638,0.0034353657,0.0,9.555899426120291,8.5558994261,0.308293796456296,0.7902953324793496
EIB,2014,2,1.0122694693,14753194848000,1229432904,25.0025433912,4.6211840724,-4.0648326972,137.51543451451337,11854.5509499394,0.24399839514618313,0.0401073089,10.5079735384,0.0038803555,0.0,9.060094652429349,8.0600946524,0.31645988249924956,0.7798743727913783
EIB,2014,1,1.0597565198,15859684461600,1229432904,22.3631550368,4.7710165691,-1.1594845808,281.36468356633475,12172.6073471025,0.4135912068571784,0.0483317576,11.2960715538,0.0044908458,0.0,10.25417001772889,9.2541700177,0.2885442317494402,0.8007983229517276
EIB,2013,4,1.138959567,16720287494400,1229432904,25.3835359629,5.1465059132,3.191027915,-180.26034546412302,11940.7223869128,-0.44866211967535374,0.0432044289,0.0,0.0038748383,0.0882352941,11.574837437424973,10.5689232051,0.2943348235214936,0.7855037821925205
EIB,2013,3,1.0694676626,15814693171200,1235522904,13.2593287622,3.9006161369,2.5993385931,241.42328647595835,11968.5713248421,0.433155056917275,0.0792892827,6.589455488,0.0074514062,0.09375,10.446488047562513,9.4464880475,0.2648424568843676,0.791275688644462
EIB,2013,2,1.1935858392,17297320656000,1235522904,13.2192283207,4.0175089852,-3.2177792916,234.2279524427173,11729.3616760018,0.3891226272641584,0.0859148388,7.20721694,0.0080943847,0.0857142857,10.786158814978993,9.7861588149,0.259013538257074,0.7754608704444281
EIB,2013,1,1.2060486342,18162186688800,1235522904,10.9508991076,3.7798074962,-3.7886122582,236.26109969710444,12188.5631996345,0.3604115941742682,0.1075393587,7.567577787,0.0098101698,0.081632653,10.573319692104167,9.5733196921,0.23468540828297613,0.8058199661106696
