ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
S96,2014,1,0.0,0,11155532,0.0,0.0,0.0,-31.806403137026546,7474.2736895918,86.1170649154,0.0,0.0,0.001381073,0.0002708182,0.0,259957468,-324104219,1.1455370437,0.0004218394,1.08837875,0.0,5.120968030884537,0.0407151061,0.4975119704,6396.089958408277,457.0869756307,347.7868425564,7200.963776595378,0.7985351135,0.3157864608,4.1209680308,0.43600180617592127,0.7474273689591855
S96,2013,4,0.1998379955,16733298000,11155532,144.7975469882,0.9631269308,-25.055961335,125.24703877860777,7506.0800927289,150.4864332153,0.04444103071818348,0.0802547317659423,0.0013810731,0.0002708182,0.09323523184163902,259957468,1623181785,1.1488604111,0.0008898702,1.0917122695,-7.18052676355066,5.130248448245087,0.0407151061,0.4975119705,6396.089958408277,457.0869756308,347.7868425565,7200.963776595578,0.7985351136,0.3151648936,4.0964021101,0.42649519488132814,0.7506080092728881
S96,2013,3,0.4471040024,36813255600,11155532,-7.1449938718,8.3786529532,9.2509645173,-27.643072782185556,7380.8330539502,-14.3574524898,0.0,0.0,-0.0597751593,-0.011787648,0.0,-4123881752,-359108676,1.1454532106,0.0005753201,1.0868266396,0.0,5.162046829548955,0.0100520541,0.1400090572,25634.47034780751,1905.0046775408,1211.7291560587,28751.20418140701,0.1916005794,0.3212417098,4.1620468295,0.4317788529840444,0.7380833053950273
S96,2013,2,0.3104552084,25657723600,11155532,-4.9798442137,5.8396672098,6.4476419363,-16.632019432152585,7408.4761267324,-11.6496050517,0.0,0.0,-0.0597751593,-0.011787648,0.0,-4123881752,-492457150,1.1488006967,0.0006048864,1.0834478598,10.42430154436394,5.17975722493832,0.0100520541,0.1400090572,25634.47034780751,1905.0046775408,1211.7291560587,28751.20418140701,0.1916005794,0.32742540659999997,4.1797572249,0.4237096603632542,0.7408476126732458
S96,2013,1,0.3905667019,32351042800,11155532,-6.2789340086,7.3630586559,8.1296354849,-70.61265504863417,7425.1081461646,-13.2974240188,1.0,22.12434264962378,-0.0597751593,-0.011787648,18.182250205733578,-4123881752,-647366291,1.1637700658,0.0003395595,1.0975176039,0.0,5.156548995066138,0.0100520541,0.1400090572,25634.47034780751,1905.0046775408,1211.7291560587,28751.20418140701,0.1916005794,0.3706851578,4.156548995,0.41670515437601735,0.7425108146164612
