ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),Net Profit Margin (%),ROE (%),ROA (%),Financial Leverage,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
VPB,2024,2,1.2294070279,163835522360650.0,7933923601.0,13.499973671,3.0255412104,-6.0421763416,449.5689874742972,16796.7154338622,0.2874578505896082,0.0873027141,0.0141120553,6.260287062710436,5.2602870627,0.013951725030895028,1.7403194301316036
VPB,2024,1,1.0907888894,150744548419000.0,7933923601.0,12.4583264742,2.9676875826,-9.1851322222,449.55020735899825,17418.5859292345,0.31498468922491285,0.0885886761,0.0140293309,5.75333623996685,4.75333624,0.01340660223240368,1.8015980136484302
VPB,2023,4,1.1609380947,156298294939700.0,7933923601.0,13.7446064836,3.1423382352,11.9627314971,255.87339910156516,16969.0357218755,0.1838534823375388,0.0819896725,0.0137706448,5.842940777120709,4.8483053038,0.013746681742610446,1.7639011923729766
VPB,2023,3,1.1076927672,155901598759650.0,7933923601.0,13.3687793748,3.170658695,2.3744292327,305.6175130920573,17739.5759750271,0.27439347597102465,0.0965634681,0.0145483274,7.093388030142098,6.0933880301,0.01726401741341071,1.3863449351357071
VPB,2023,2,1.4386879169,147343805681850.0,6743423601.0,12.6473208815,2.8676595981,2.6220625907,454.04132695237456,15187.449441084,0.349433866311168,0.1107958154,0.0175365586,6.877420698976338,5.877420699,0.016354320460950318,1.3557462285929063
VPB,2023,1,1.3278204054,131914458619650.0,6713204001.0,10.9385688215,2.5423810017,4.5323955698,377.7561354641158,14798.6880757983,0.26599226196014053,0.1176022132,0.0191647652,6.447563803027012,5.447563803,0.0169621603012414,1.324661596019823
VPB,2022,4,1.4211483927,137620682020500.0,6713204001.0,7.5539391061,2.3811005779,198.1695186736,337.4869882789966,14424.953864887,0.22033409082267,0.1914633954,0.0308343921,6.096335275299859,5.096629763,0.01794997915750733,1.3047376582622074
VPB,2022,3,1.3770069471,130236157619400.0,6713204001.0,7.074017277,2.3215139573,-3.8377979561,555.6040006298625,14088.5273240485,0.35916404017717646,0.1917533708,0.0316764582,5.821272643228696,4.8212726432,0.018012635296784426,1.2902349347944018
VPB,2022,2,1.1862208548,107411264016000.0,6713204001.0,6.3796154645,2.0358798518,-17.9447771019,522.582957329677,13488.2133756865,0.3352113814589496,0.1958476027,0.0305001988,6.173888855552338,5.1738888556,0.01810819888598721,1.2418045465875416
VPB,2022,1,1.4172491111,123361886489250.0,4445473387.0,7.1312899322,2.394465424,191.5471810584,1950.641752880209,19580.1851507069,0.8770000831334726,0.2273460496,0.0338320604,5.923442495479009,4.9234424955,0.019012138807686423,1.1999361701441218
VPB,2021,4,2.1838342112,171150725399500.0,4445473387.0,14.5716900546,3.863318894,33.3863997627,546.3739828255101,17629.5433978267,0.28498510478277855,0.168563587,0.0242565641,6.334489688836975,5.3447055603,0.021665014738495164,1.0896437040193274
VPB,2021,3,2.3717277384,147811990117750.0,4445473387.0,11.9959643211,3.3640627781,7.5540707495,486.07196846998016,14019.3157341243,0.2891026128169423,0.2124621582,0.0274871559,7.692758866601858,6.6927588666,0.027650866673421853,0.7855192226976424
VPB,2021,2,2.7297760208,163818431381550.0,4445547663.0,13.1861670391,3.7853067547,24.7424240743,903.457415028507,13499.2760283448,0.4350557137280168,0.2263689058,0.0287447813,7.5279858127606,6.5279858128,0.029152477413769903,0.7563934065666584
VPB,2021,1,2.805661578,157103895424000.0,2454748366.0,13.8326037487,3.9101019278,-57.4511497605,1304.3332849701956,22811.0191560058,0.3510798539149207,0.2194588757,0.0270918178,7.7906733692277665,6.7906733692,0.032205588925015724,0.7057707486991971
VPB,2020,4,2.3016098481,121510044117000.0,2454748366.0,12.0257636051,3.1129989812,94.9059386019,1180.2549866734487,21506.6858710356,0.33149080812146636,0.2192295665,0.0261576466,7.937085268562028,6.9370852686,0.03528521369921624,0.6654148017425559
VPB,2020,3,1.6734809304,83215969607400.0,2454748366.0,8.2308791234,2.1700434644,9.758237583,917.2076580985083,20257.1773501284,0.28558577699079574,0.2181294504,0.0253337119,8.323407426894834,7.3234074269,0.03668167529868969,0.6267551277369554
VPB,2020,2,1.2734379437,60456159476800.0,2437748366.0,6.0109326974,1.5753074358,22.1475914687,1210.5523445979002,19474.839840791,0.38320969686027506,0.2303715501,0.0263377572,8.414433657261958,7.4144336573,0.039392932989928395,0.5983768106112873
VPB,2020,1,1.2620256884,56190099836300.0,2437748366.0,6.1488397192,1.4671686374,4.3932754883,949.234560987908,18264.2874961935,0.28848568128010627,0.2214722464,0.0248008504,8.83144393292953,7.8314439329,0.04140041075168511,0.5611818217456516
VPB,2019,4,1.1290753816,47657980555300.0,2437748366.0,5.987808669,1.3108876322,-15.6157798043,1031.392753685062,17315.0529352052,0.31178754941054565,0.2146643266,0.0235840659,8.935009310947265,7.9364233972,0.04554915828880382,0.5321138836612803
VPB,2019,3,1.354597475,54849338235000.0,2437748366.0,6.6045249116,1.5534986127,8.8485475089,936.3566936752487,16610.1003552062,0.2861490731816901,0.2194532753,0.0242810859,8.847257277468252,7.8472572775,0.0455529831201782,0.5103558722811049
VPB,2019,2,1.4402899603,55031163398400.0,2456748366.0,7.4928275338,1.6472837305,7.0449985786,834.1383384479678,15552.4238985085,0.2673240927040633,0.2076374823,0.022709497,9.127111394795154,8.1271113948,0.04962833819334768,0.48158255513305137
VPB,2019,1,1.2664034992,45818357025900.0,2456748366.0,6.8610046703,1.4597232099,-6.2264388547,578.7666411741901,14726.7438947795,0.20954889961641465,0.1968472697,0.0216670196,8.902188297680391,7.9021882977,0.053988783386489915,0.45601528095682503
VPB,2018,4,1.3715344939,47660918300400.0,2456748366.0,6.6726837683,1.5332122175,5.6504232921,999.460520247681,14144.7408619137,0.37702358072004777,0.2282715211,0.0244759949,9.303821583778726,8.3033230812,0.05649185905213598,0.43799349158870227
VPB,2018,3,1.5360934948,49134967320000.0,2456748366.0,7.2551180484,1.6621555637,6.8722685446,569.5137602871616,13020.0408160157,0.23309821681743378,0.2165490782,0.0237532184,9.260527413605118,8.2605274136,0.029770471495825613,0.40316702817718497
VPB,2018,2,1.7314874179,57119399509500.0,2456748366.0,7.5885768715,2.0228628942,10.5447774433,574.6217315282016,13427.7614494606,0.2291873457893491,0.0,0.0,8.88524910294095,0.0,0.02873868879251158,0.41579214344642895
VPB,2018,1,1.4745429715,71964682178400.0,2423053272.0,9.9799872437,2.6382427403,7.3624799512,862.2559083381143,20141.8341638955,0.34666021560612426,0.257765338,0.0262621342,8.989601023264317,7.9896010233,0.024523957911730555,0.3987337109726222
VPB,2017,4,3.2369028254,91641088998000.0,1497403415.0,13.8284406933,3.6618219361,9.6644825668,1293.9826239143445,18906.9623964503,0.3410970973684697,0.2748163888,0.0254312797,9.353972978730033,8.3532807938,0.02722794976303557,0.37425713295572227
VPB,2017,3,2.8001839375,73747118188750.0,1497403415.0,11.7070762242,3.2622602383,-12.221360771,1265.2181643381653,17588.1303151679,0.35329329369275897,0.2860550764,0.0248159588,9.189267812618171,8.1892678126,0.02732027233102771,0.3481798337019303
VPB,2017,2,2.2718852753,61693020698000.0,1497403415.0,10.8059588261,3.0087151269,2682.8662391379,713.8149875262573,18134.7185297265,0.2249045511404942,0.3039835722,0.023809991,12.739614756987788,11.739614757,0.03407720370277981,0.24606798580136718
VPB,2017,1,0.0,0.0,1076545300.0,0.0,0.0,0.0,1428.0002894443921,17350.5527356814,0.3183437915063704,0.2861530342,0.0219130856,12.305335726510515,11.3053357265,0.03745237344699747,0.23542772705355675
VPB,2016,4,0.0,0.0,918100000.0,0.0,0.0,0.0,1573.397233416839,18709.8660276658,0.31961165220392684,0.2574747804,0.0186209379,13.050603539101896,12.3180349349,0.03606294037428391,0.21815904551713114
VPB,2016,3,0.0,0.0,918100000.0,0.0,0.0,0.0,1489.1395272846096,17189.650364884,0.36146781665537725,0.2158279763,0.0154776121,13.036511192816949,12.0365111928,0.035310127134909296,0.19891567897138362
VPB,2016,2,0.0,0.0,918100000.0,0.0,0.0,0.0,419.8442435464546,15697.7006861998,0.11046126423540066,0.2034660948,0.0140115869,14.068406672495582,13.0684066725,0.038095597582552224,0.18165109376883196
VPB,2016,1,0.0,0.0,577000000.0,0.0,0.0,0.0,1505.9168110918545,15475.3011654504,0.26182084438799724,0.2258722132,0.0152991072,14.322523341634364,13.3225233416,0.03517549494034083,0.17907752474714056
VPB,2015,4,0.0,0.0,577000000.0,0.0,0.0,0.0,860.7608318890815,16618.8524844516,0.16250739474593484,0.0,0.0,14.480361301679105,0.0,0.03805937475772882,0.16875536838182367
VPB,2015,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3579349892486292,0.0,0.0,15.297787894527549,0.0,0.04710297817312806,0.16066674751434878
VPB,2015,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2357560263746488,0.0,0.0,15.036915005778352,0.0,0.05056876541600195,0.15022355393613526
VPB,2015,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15157417427199787,0.0,0.0,17.50034678342825,0.0,0.06484940457949706,0.11857801351671977
VPB,2014,4,0.0,0.0,577000000.0,0.0,0.0,0.0,317.5944540727903,14147.9595614589,0.10373181387460843,0.0,0.0,18.17774013979504,0.0,0.06714115023011506,0.1131885111531464
VPB,2014,3,0.0,0.0,577000000.0,0.0,0.0,0.0,826.5753899480069,15172.1143847487,0.43410044125999386,0.1416931581,0.0090923612,16.863186704606075,14.6942054282,0.0699836994577528,0.1103402356798167
VPB,2014,2,0.0,0.0,577000000.0,0.0,0.0,0.0,721.6412478336222,14327.9740034662,0.33135131736951046,0.1416931581,0.0090923612,16.34610192203179,14.6942054282,0.06524740236797258,0.10420116723783411
VPB,2014,1,0.0,0.0,577000000.0,0.0,0.0,0.0,272.35701906412476,13667.9185441941,0.1346099651633008,0.1416931581,0.0090923612,16.48470370913735,14.6942054282,0.05168258882487283,0.09940086893458353
VPB,2013,4,0.0,0.0,577000000.0,0.0,0.0,0.0,1029.6967071057193,13391.1559792028,0.335987065740669,0.1416931581,0.0090923612,15.69420542827032,14.6942054282,0.054164800302121334,0.09738809432228612
VPB,2013,3,0.0,0.0,577000000.0,0.0,0.0,0.0,318.73830155979203,12316.5407279029,0.19364559587674457,0.0649019515,0.003950909,16.826128479209032,15.8261284792,0.054735259005516526,0.0895728816837141
VPB,2013,2,0.0,0.0,577000000.0,0.0,0.0,0.0,122.44413906759098,11870.8388214905,0.08556093754990908,0.101857145,0.0069408204,16.672998886979777,14.4551773786,0.05842820285479924,0.08584903690201288
VPB,2013,1,0.0,0.0,577000000.0,0.0,0.0,0.0,226.41721275216636,11697.3329094298,0.18528476873307634,0.101857145,0.0069408204,16.68472401485902,14.4551773786,0.06367298356075424,0.08506965063150222
